date,CV
2020-02-15,-3
2020-02-16,-5
2020-02-17,-5
2020-02-18,-6
2020-02-19,-5
2020-02-20,-2
2020-02-21,0
2020-02-22,2
2020-02-23,5
2020-02-24,6
2020-02-25,5
2020-02-26,-28
2020-02-27,-4
2020-02-28,-3
2020-02-29,-2
2020-03-01,-4
2020-03-02,3
2020-03-03,-1
2020-03-04,-1
2020-03-05,-2
2020-03-06,-4
2020-03-07,-2
2020-03-08,-6
2020-03-09,-3
2020-03-10,-6
2020-03-11,-5
2020-03-12,0
2020-03-13,0
2020-03-14,-1
2020-03-15,-12
2020-03-16,1
2020-03-17,0
2020-03-18,1
2020-03-19,-1
2020-03-20,-3
2020-03-21,-17
2020-03-22,-35
2020-03-23,-17
2020-03-24,-26
2020-03-25,-27
2020-03-26,-23
2020-03-27,-37
2020-03-28,-40
2020-03-29,-48
2020-03-30,-42
2020-03-31,-44
2020-04-01,-46
2020-04-02,-47
2020-04-03,-47
2020-04-04,-50
2020-04-05,-48
2020-04-06,-46
2020-04-07,-49
2020-04-08,-49
2020-04-09,-48
2020-04-10,-61
2020-04-11,-47
