date,MU,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Rivière du Rempart District,Rivière Noire District,Rodrigues District,Savanne District
2020-02-15,-1,-3,8,22,-8,3,9,4,-10,NA,-3
2020-02-16,1,3,8,19,-4,-6,8,-13,0,NA,0
2020-02-17,-3,6,-8,0,2,-8,1,-10,-5,0,-12
2020-02-18,-3,-7,-10,0,-7,1,-6,-10,-5,0,-4
2020-02-19,-6,-17,-15,0,-15,-1,-8,-21,-9,0,12
2020-02-20,-2,-10,-13,0,9,-2,-8,-7,1,0,0
2020-02-21,-30,-29,-34,-14,-26,-32,-56,-32,-9,0,2
2020-02-22,-1,-2,7,5,-1,1,0,4,2,NA,-6
2020-02-23,-3,-3,1,-8,-4,-10,-2,-8,-3,NA,0
2020-02-24,-6,2,-9,0,-7,-7,-2,3,-8,0,-15
2020-02-25,-4,0,0,0,0,-4,-6,-2,-3,0,0
2020-02-26,-4,5,-5,0,-4,-1,-7,-6,-4,0,2
2020-02-27,-3,1,-8,0,1,-2,-6,-10,5,0,0
2020-02-28,-1,2,-2,20,2,-2,1,-11,-1,0,0
2020-02-29,10,16,16,30,17,12,22,10,-2,NA,5
2020-03-01,11,10,11,19,13,4,25,7,6,NA,0
2020-03-02,4,8,4,0,7,1,11,5,2,0,2
2020-03-03,3,6,-4,0,14,3,7,-3,-4,0,7
2020-03-04,0,8,-3,0,4,-1,5,5,-5,0,2
2020-03-05,1,3,-8,0,5,2,3,1,0,0,0
2020-03-06,-3,1,-14,0,2,-6,3,-8,-12,0,-6
2020-03-07,-3,7,-3,7,2,-1,3,2,-14,NA,-9
2020-03-08,2,-3,-3,6,3,-1,8,-4,-7,NA,0
2020-03-09,-2,6,-10,0,4,-2,-5,-2,-4,0,-10
2020-03-10,-8,-6,-11,0,-1,-10,-6,-14,-10,0,-26
2020-03-11,-1,4,-7,0,5,-1,-3,8,0,0,-10
2020-03-12,-31,-20,-22,-11,-19,-32,-60,-19,-21,0,0
2020-03-13,-15,-22,-13,10,-7,-14,-34,-7,-12,0,-13
2020-03-14,1,9,-1,23,10,4,-2,8,-8,NA,-15
2020-03-15,12,23,15,36,11,1,12,11,12,NA,0
2020-03-16,5,7,1,0,9,7,7,-2,-1,0,-10
2020-03-17,-8,-1,-11,0,1,-8,-11,-4,-11,0,-8
2020-03-18,-8,-2,-5,0,-5,-7,-10,-14,-8,0,-27
2020-03-19,37,43,49,0,78,36,8,53,47,0,0
2020-03-20,-40,-44,-26,-24,-7,-47,-59,-39,-36,0,-41
2020-03-21,-58,-61,-61,-50,-45,-59,-64,-67,-57,0,-63
2020-03-22,-90,-91,-90,-89,-84,-93,-93,-93,-90,0,0
2020-03-23,-63,-63,-64,-53,-50,-66,-82,-62,-57,0,-62
2020-03-24,-72,-75,-76,-67,-58,-76,-84,-71,-69,0,-67
2020-03-25,-94,-95,-94,0,-94,-96,-97,-100,-94,0,0
2020-03-26,-90,-89,-90,-84,-83,-92,-96,-91,-91,0,0
2020-03-27,-87,-90,-86,-78,-78,-90,-93,-91,-88,0,-88
2020-03-28,-87,-88,-87,-77,-80,-90,-92,-90,-90,0,-83
2020-03-29,-86,-89,-90,-76,-82,-88,-89,-93,-88,0,-83
2020-03-30,-81,-81,-84,-60,-71,-83,-87,-83,-85,0,-79
2020-03-31,-80,-79,-82,-59,-68,-84,-90,-81,-82,0,-83
2020-04-01,-81,-83,-85,-64,-71,-84,-90,-82,-81,0,-75
2020-04-02,-56,-50,-57,-47,-42,-59,-74,-55,-49,0,-48
2020-04-03,-60,-58,-59,-48,-45,-64,-75,-68,-56,0,-53
2020-04-04,-62,-54,-61,-33,-46,-63,-75,-69,-63,0,-60
2020-04-05,-90,-92,-90,0,-86,-92,-93,-91,-90,0,0
2020-04-06,-57,0,0,0,-41,-61,-72,0,-55,0,0
2020-04-07,-58,0,0,0,-35,-64,-73,0,-55,0,0
2020-04-08,-62,-67,0,0,-42,-63,-79,0,-57,0,0
2020-04-09,-63,0,0,0,-47,-66,-76,0,-59,0,0
2020-04-10,-63,0,0,0,-47,-67,-77,0,-62,0,0
2020-04-11,-63,-62,0,0,-48,-66,-76,-73,-62,0,0
