date,NZ,Auckland,Bay Of Plenty,Canterbury,Gisborne,Hawke's Bay,Manawatu-Wanganui,Marlborough,Nelson,Northland,Otago,Southland,Taranaki,Tasman,Waikato,Wellington,West Coast
2020-02-15,8,14,-3,7,-6,29,2,1,9,21,10,6,-9,0,5,15,5
2020-02-16,4,11,-4,4,-15,9,0,1,1,-4,6,0,-10,1,0,3,-2
2020-02-17,-2,1,-6,0,-12,-2,-1,-2,-1,-9,3,-4,-10,-5,-8,0,5
2020-02-18,-1,4,-5,0,-4,1,0,-1,-3,-5,5,0,-1,-3,-4,-3,-2
2020-02-19,1,3,-5,0,-3,-1,-1,-3,-5,-7,5,-1,0,-8,-3,0,-1
2020-02-20,1,4,-4,1,-3,2,1,3,-4,-5,4,0,4,-2,-3,1,5
2020-02-21,4,4,-7,8,-2,10,4,-5,-2,-6,3,5,11,3,0,4,14
2020-02-22,7,14,-4,6,-9,22,9,-2,3,1,5,16,15,3,5,13,13
2020-02-23,5,11,-5,7,-8,4,4,-1,2,-4,2,6,-1,4,2,5,8
2020-02-24,-1,3,-7,1,-13,-4,3,-6,-6,-5,-1,0,-7,-3,-7,3,11
2020-02-25,-1,3,-6,0,-10,-5,1,-9,-3,-5,0,2,-7,-2,-4,2,2
2020-02-26,0,2,-4,0,-4,-4,1,-3,-4,-6,-1,1,-5,-7,-4,3,1
2020-02-27,0,3,-6,1,-4,-5,-1,-6,-5,-6,-2,4,-6,-6,-4,2,6
2020-02-28,4,8,-6,4,-4,-3,6,-5,-2,-8,6,2,0,-2,1,3,8
2020-02-29,6,13,3,8,-11,7,8,1,-1,-1,5,12,0,0,5,7,5
2020-03-01,1,4,-3,5,-12,-1,2,-4,-4,-9,-2,4,-9,-3,2,5,5
2020-03-02,-4,0,-7,-3,-17,-9,-3,-5,-8,-10,-5,-5,-13,-10,-10,-2,-1
2020-03-03,-4,0,-8,-3,-7,-6,-1,-6,-7,-7,-3,0,-5,-8,-7,-3,-4
2020-03-04,-2,1,-9,-1,-12,-6,-2,-3,-7,-8,-2,1,-6,-8,-6,-1,8
2020-03-05,0,1,-6,3,0,-6,-1,0,-1,-5,-2,-2,-6,-4,-4,2,5
2020-03-06,4,4,-4,6,-2,-4,3,-7,-4,-3,4,4,-3,-5,2,8,21
2020-03-07,7,10,5,6,-8,6,5,-3,-4,2,19,11,-7,-4,6,16,16
2020-03-08,3,5,-1,3,-8,3,-1,0,-6,-7,2,9,-7,-5,4,10,14
2020-03-09,-6,-4,-9,-2,-7,-7,0,-2,-6,-10,-3,-5,-22,-10,-11,-5,5
2020-03-10,-4,1,-7,-3,-11,-6,-4,-8,-7,-9,-4,0,-10,-9,-8,-4,1
2020-03-11,-3,-1,-7,-2,-6,-4,-3,-1,-4,-9,-4,6,-6,-14,-8,-1,1
2020-03-12,-2,0,-8,-1,-4,-5,-1,3,-4,-8,0,5,1,-9,-6,-1,-2
2020-03-13,2,2,-9,2,-8,-6,5,6,-3,-7,2,5,2,-5,4,4,9
2020-03-14,4,10,-4,4,-8,6,7,3,-3,-3,7,21,-1,-8,2,6,5
2020-03-15,-1,1,-7,1,-11,0,2,5,-1,-16,-1,2,-2,-5,-1,2,-1
2020-03-16,-7,-4,-13,-5,-17,-10,-2,-5,-9,-19,-10,-6,-4,-11,-11,-8,-5
2020-03-17,-9,-4,-10,-5,-18,-11,-3,-9,-10,-17,-10,-2,-9,-10,-10,-12,0
2020-03-18,-8,-5,-12,-7,-12,-14,-6,-6,-11,-19,-17,-6,-8,-12,-11,-11,-2
2020-03-19,-10,-8,-12,-7,-10,-13,-8,-9,-12,-18,-18,-13,-12,-11,-14,-12,-7
2020-03-20,-13,-12,-18,-11,-13,-16,-9,-14,-12,-22,-19,-13,-17,-10,-15,-13,-10
2020-03-21,-17,-13,-20,-13,-14,-14,-11,-12,-21,-17,-28,-18,-22,-18,-17,-15,-22
2020-03-22,-25,-24,-31,-19,-23,-25,-24,-21,-23,-29,-32,-28,-33,-26,-30,-24,-29
2020-03-23,-12,-8,-16,-5,-11,-10,0,-16,-22,-14,-34,-10,-14,-11,-17,-15,-31
2020-03-24,-19,-14,-21,-16,-17,-19,-9,-20,-23,-20,-33,-23,-21,-22,-21,-25,-42
2020-03-25,-38,-34,-41,-36,-36,-38,-36,-41,-38,-38,-51,-42,-43,-40,-42,-47,-60
2020-03-26,-92,-90,-92,-90,-100,-95,-94,-89,-98,-93,-95,-93,-94,-89,-94,-93,-100
2020-03-27,-91,-89,-92,-89,-97,-94,-94,-89,-98,-92,-95,-93,-94,-88,-94,-91,-100
2020-03-28,-92,-89,-92,-90,-100,-95,-95,-93,-98,-93,-95,-96,-95,-88,-94,-94,-100
2020-03-29,-91,-89,-92,-90,-100,-94,-93,-92,-100,-93,-95,-96,-95,-90,-94,-93,-100
2020-03-30,-88,-85,-89,-87,-100,-94,-90,-87,-94,-90,-94,-92,-92,-84,-91,-89,-100
2020-03-31,-87,-84,-88,-84,-97,-91,-90,-89,-97,-89,-93,-90,-92,-83,-91,-90,-100
2020-04-01,-87,-84,-89,-85,-94,-91,-89,-88,-96,-89,-93,-91,-91,-83,-90,-89,-96
2020-04-02,-88,-85,-88,-85,-96,-92,-90,-90,-97,-88,-94,-92,-93,-85,-91,-90,-96
2020-04-03,-89,-87,-89,-87,-100,-93,-92,-90,-95,-91,-94,-91,-93,-86,-92,-92,-100
2020-04-04,-91,-88,-91,-90,-97,-95,-94,-94,-98,-93,-95,-92,-94,-87,-93,-92,-100
2020-04-05,-90,-88,-91,-89,-100,-94,-94,-93,-100,-93,-95,-95,-94,-89,-93,-92,-100
2020-04-06,-88,-85,-87,-86,0,-91,-91,-90,-96,-89,-93,-92,-91,-84,-90,-91,0
2020-04-07,-88,-85,-87,-85,-95,-91,-91,-88,-95,-89,-93,-91,-92,-83,-90,-91,0
2020-04-08,-87,-85,-87,-85,-92,-91,-91,-89,-94,-90,-93,-90,-91,-83,-90,-90,0
2020-04-09,-86,-84,-86,-84,-91,-90,-91,-89,-95,-87,-92,-87,-90,-79,-89,-84,0
2020-04-10,-95,-95,-95,-96,-98,-96,-96,-96,-99,-96,-96,-98,-98,-100,-95,-92,0
2020-04-11,-88,-85,-89,-87,-96,-93,-93,-95,-95,-90,-94,-89,-93,-80,-91,-89,0
