date,HN
2020-02-15,4
2020-02-16,7
2020-02-17,5
2020-02-18,2
2020-02-19,0
2020-02-20,-1
2020-02-21,0
2020-02-22,-1
2020-02-23,0
2020-02-24,1
2020-02-25,1
2020-02-26,-3
2020-02-27,-5
2020-02-28,0
2020-02-29,6
2020-03-01,9
2020-03-02,7
2020-03-03,6
2020-03-04,3
2020-03-05,2
2020-03-06,3
2020-03-07,1
2020-03-08,0
2020-03-09,3
2020-03-10,1
2020-03-11,17
2020-03-12,9
2020-03-13,8
2020-03-14,10
2020-03-15,5
2020-03-16,12
2020-03-17,-35
2020-03-18,-55
2020-03-19,-45
2020-03-20,-69
2020-03-21,-72
2020-03-22,-73
2020-03-23,-63
2020-03-24,-67
2020-03-25,-53
2020-03-26,-59
2020-03-27,-52
2020-03-28,-63
2020-03-29,-64
2020-03-30,-46
2020-03-31,-80
2020-04-01,-40
2020-04-02,-83
2020-04-03,-32
2020-04-04,-83
2020-04-05,-83
2020-04-06,-49
2020-04-07,-78
2020-04-08,-46
2020-04-09,-79
2020-04-10,-59
2020-04-11,-68
