date,BE,Brussels,Flanders,Wallonia
2020-02-15,2,8,1,1
2020-02-16,-3,-2,-3,-4
2020-02-17,2,1,2,2
2020-02-18,3,3,4,2
2020-02-19,1,1,1,0
2020-02-20,-1,-3,0,-2
2020-02-21,3,1,4,1
2020-02-22,0,-4,1,1
2020-02-23,-7,-13,-5,-7
2020-02-24,0,-5,1,-1
2020-02-25,2,-1,3,0
2020-02-26,-5,-5,-4,-6
2020-02-27,-2,-7,0,-3
2020-02-28,3,-3,3,4
2020-02-29,2,-1,3,4
2020-03-01,6,1,7,6
2020-03-02,7,1,6,8
2020-03-03,6,7,6,6
2020-03-04,4,4,4,5
2020-03-05,1,-2,1,1
2020-03-06,5,3,6,4
2020-03-07,3,1,3,2
2020-03-08,1,-9,3,0
2020-03-09,4,2,4,3
2020-03-10,4,2,4,3
2020-03-11,4,3,5,3
2020-03-12,23,16,30,13
2020-03-13,40,32,45,34
2020-03-14,-8,-13,-7,-8
2020-03-15,-18,-27,-15,-19
2020-03-16,16,2,17,18
2020-03-17,30,13,40,23
2020-03-18,-12,-16,-9,-14
2020-03-19,-23,-35,-16,-30
2020-03-20,-22,-37,-17,-28
2020-03-21,-39,-48,-34,-46
2020-03-22,-45,-56,-38,-52
2020-03-23,-25,-38,-20,-31
2020-03-24,-21,-35,-15,-27
2020-03-25,-29,-38,-25,-35
2020-03-26,-25,-38,-18,-32
2020-03-27,-21,-36,-15,-28
2020-03-28,-36,-47,-30,-44
2020-03-29,-53,-65,-46,-62
2020-03-30,-30,-42,-25,-34
2020-03-31,-25,-37,-19,-32
2020-04-01,-31,-39,-27,-36
2020-04-02,-27,-41,-21,-33
2020-04-03,-21,-37,-14,-30
2020-04-04,-32,-44,-26,-38
2020-04-05,-36,-49,-26,-48
2020-04-06,-27,-39,-22,-33
2020-04-07,-19,-32,-13,-27
2020-04-08,-25,-35,-18,-32
2020-04-09,-18,-32,-11,-27
2020-04-10,-14,-30,-6,-23
2020-04-11,-25,-39,-18,-33
