date,AU,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-02-15,0,-1,-1,0,1,0,1,1,0
2020-02-16,0,-2,0,2,1,0,1,0,1
2020-02-17,-2,-4,-1,-1,-1,-2,-2,-3,-1
2020-02-18,-1,-2,-2,-1,-2,-1,-1,0,-1
2020-02-19,-1,-3,-2,-1,-1,-1,0,-1,-1
2020-02-20,-2,-4,-2,-1,-2,-1,-1,-2,-1
2020-02-21,-3,-4,-3,-2,-2,-3,-1,-3,-2
2020-02-22,-1,-4,-1,0,0,-1,0,-1,0
2020-02-23,0,-3,0,1,1,-1,0,-1,0
2020-02-24,-1,-3,-2,-2,-1,-1,-1,-2,-1
2020-02-25,-1,-3,-2,-2,-1,-1,-1,-1,-1
2020-02-26,-1,-3,-1,-1,-1,-2,1,-2,-1
2020-02-27,-1,-4,-2,1,-1,-1,0,-2,0
2020-02-28,-3,-4,-4,-2,-2,-3,-1,-3,-1
2020-02-29,-1,-3,-2,1,0,-1,0,-1,0
2020-03-01,0,-2,-1,1,0,0,2,0,-1
2020-03-02,0,-3,-2,-1,-2,-2,-1,-2,12
2020-03-03,-1,-2,-1,-1,-2,-1,-1,-2,-2
2020-03-04,-1,0,0,-2,-1,-1,-2,-2,-1
2020-03-05,0,-2,1,-1,-2,-2,2,0,-1
2020-03-06,-2,-4,-2,-2,-2,-3,-2,-3,-1
2020-03-07,0,-3,0,1,1,-1,0,-1,1
2020-03-08,0,-3,1,2,1,-2,1,-2,1
2020-03-09,4,10,0,0,1,12,9,11,-1
2020-03-10,-1,-3,-1,-2,0,-2,-1,-1,-1
2020-03-11,-1,-2,-1,-1,0,-1,-1,-1,-1
2020-03-12,-1,-3,-1,0,-1,-1,-1,-1,-1
2020-03-13,-1,-2,-2,-2,-1,-2,1,0,-1
2020-03-14,2,2,2,1,2,1,2,3,3
2020-03-15,2,0,3,2,2,1,3,3,3
2020-03-16,1,0,3,-1,1,0,0,0,1
2020-03-17,3,1,4,0,2,2,1,4,2
2020-03-18,5,3,5,1,4,3,3,6,3
2020-03-19,5,3,6,1,3,4,4,7,4
2020-03-20,6,5,6,1,4,4,5,7,5
2020-03-21,7,4,6,4,6,6,7,8,7
2020-03-22,6,4,6,4,5,6,7,8,7
2020-03-23,8,7,9,3,6,6,5,9,7
2020-03-24,12,14,14,6,9,9,7,16,9
2020-03-25,14,16,16,7,10,11,9,17,11
2020-03-26,16,17,18,9,12,12,11,19,13
2020-03-27,17,20,18,10,13,13,12,20,15
2020-03-28,15,13,15,12,13,14,12,17,15
2020-03-29,13,11,14,0,12,12,13,16,13
2020-03-30,16,18,18,10,13,13,11,18,15
2020-03-31,18,20,19,10,14,14,14,21,15
2020-04-01,19,22,20,11,16,15,15,21,17
2020-04-02,20,23,22,13,15,15,18,24,18
2020-04-03,20,25,21,12,16,16,17,23,18
2020-04-04,17,15,17,12,15,16,18,21,16
2020-04-05,14,13,14,0,12,12,15,18,14
2020-04-06,17,20,18,11,15,13,14,20,16
2020-04-07,19,21,20,11,15,15,15,22,16
2020-04-08,19,22,20,12,16,14,14,21,16
2020-04-09,18,20,19,11,14,14,14,21,16
2020-04-10,33,38,34,30,31,29,31,36,31
2020-04-11,18,15,18,12,15,15,18,22,16
