date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-15,6,6,8,2,12,2,10,11,4,6,6,3,12,18,5,3,3,-1,10,4,1,6,10,7,4,0,6,12,8,11,11,5,2
2020-02-16,7,5,10,0,3,-3,12,14,1,6,4,0,10,10,7,1,6,-1,9,3,1,5,8,12,4,-1,4,11,10,1,7,-1,12
2020-02-17,3,0,7,-3,6,0,8,9,-1,2,1,-6,3,5,2,3,-2,-5,3,1,-5,5,3,3,2,2,1,10,5,1,1,2,-2
2020-02-18,3,3,9,-2,6,-4,8,3,1,2,-2,-4,2,5,2,0,0,-6,2,1,-2,6,1,8,3,5,3,8,3,1,2,5,0
2020-02-19,2,-2,2,-1,13,-4,3,0,-4,5,-1,-1,1,4,4,1,0,-2,-11,-2,-2,3,6,6,3,3,2,6,-5,4,5,7,-3
2020-02-20,2,2,3,5,16,-3,2,-12,-4,1,2,-4,-3,7,2,3,1,-3,-15,2,-3,3,5,3,12,12,1,8,-15,20,4,4,2
2020-02-21,-1,1,11,7,24,-9,-1,-13,-3,6,-6,-2,-2,5,3,3,3,-4,-16,-4,-6,-4,7,-8,28,3,4,5,-7,5,-13,-2,4
2020-02-22,7,4,2,14,51,-5,10,4,1,9,0,-3,10,11,15,5,4,2,2,3,2,5,12,0,61,5,4,-7,14,20,8,1,12
2020-02-23,8,3,10,16,33,-4,-5,13,-4,-3,0,-7,6,6,12,1,3,1,8,0,1,5,14,2,58,6,1,9,11,20,20,6,16
2020-02-24,6,-2,6,1,16,-3,7,6,2,-2,-1,1,2,5,2,8,1,-3,10,3,-3,4,12,7,40,8,2,8,4,15,12,10,10
2020-02-25,7,-1,20,5,6,-4,4,2,-4,0,2,-3,5,8,4,8,3,-2,10,0,6,7,8,5,45,10,3,4,2,13,5,14,1
2020-02-26,3,1,3,1,-12,-1,-1,-6,5,0,12,5,-1,11,7,12,2,7,0,-4,7,9,-3,7,9,4,12,-9,-12,28,-22,-11,3
2020-02-27,0,9,3,-4,-10,-9,6,-3,-1,-5,-2,-6,2,6,3,3,4,-1,0,-5,-3,0,-5,2,0,6,2,-23,-4,0,-8,-9,-3
2020-02-28,3,20,10,2,-9,-4,10,9,4,7,-3,-1,7,6,6,2,6,2,12,1,-2,1,-4,4,1,5,6,2,9,4,-6,-4,3
2020-02-29,5,39,8,9,1,2,8,13,4,3,3,0,13,8,11,4,1,8,18,1,3,5,1,9,-2,6,5,7,7,8,4,-7,8
2020-03-01,7,18,-10,13,-2,-4,5,30,1,6,3,-3,13,4,10,0,7,5,15,-1,6,5,-2,12,8,6,3,7,12,7,8,-8,16
2020-03-02,2,1,-10,-7,5,-1,5,10,-1,-3,-1,-6,4,2,1,4,0,-1,3,0,0,4,-2,6,-2,-4,0,9,5,1,2,0,-4
2020-03-03,2,-1,9,-6,5,-7,-8,1,3,-17,-2,-8,3,3,3,-1,2,-5,1,3,0,4,-1,7,-4,-5,4,4,4,1,1,2,-11
2020-03-04,2,-4,5,-4,7,-7,-3,3,-1,-1,0,-5,5,5,3,2,-2,-5,11,-4,0,3,-5,8,1,2,5,6,8,2,3,2,-10
2020-03-05,3,2,7,-3,1,-7,12,5,2,-2,0,-11,-1,6,2,3,2,-3,7,-5,8,2,0,3,0,8,4,-3,3,1,-2,-3,-3
