date,JO
2020-02-15,4
2020-02-16,-1
2020-02-17,-3
2020-02-18,-4
2020-02-19,-5
2020-02-20,-4
2020-02-21,3
2020-02-22,-7
2020-02-23,-2
2020-02-24,-1
2020-02-25,-6
2020-02-26,3
2020-02-27,6
2020-02-28,15
2020-02-29,2
2020-03-01,-2
2020-03-02,-2
2020-03-03,0
2020-03-04,3
2020-03-05,4
2020-03-06,-4
2020-03-07,2
2020-03-08,1
2020-03-09,-1
2020-03-10,-1
2020-03-11,3
2020-03-12,-12
2020-03-13,-14
2020-03-14,-8
2020-03-15,-10
2020-03-16,-15
2020-03-17,-9
2020-03-18,-51
2020-03-19,-60
2020-03-20,-29
2020-03-21,-87
2020-03-22,-91
2020-03-23,-91
2020-03-24,-82
2020-03-25,-64
2020-03-26,-66
2020-03-27,-70
2020-03-28,-76
2020-03-29,-74
2020-03-30,-73
2020-03-31,-73
2020-04-01,-70
2020-04-02,-69
2020-04-03,-91
2020-04-04,-71
2020-04-05,-69
2020-04-06,-71
2020-04-07,-70
2020-04-08,-70
2020-04-09,-65
2020-04-10,-92
2020-04-11,-93
