date,SV
2020-02-15,-1
2020-02-16,1
2020-02-17,1
2020-02-18,3
2020-02-19,2
2020-02-20,3
2020-02-21,2
2020-02-22,-3
2020-02-23,-3
2020-02-24,0
2020-02-25,-1
2020-02-26,-1
2020-02-27,-2
2020-02-28,-1
2020-02-29,0
2020-03-01,2
2020-03-02,4
2020-03-03,0
2020-03-04,-1
2020-03-05,-5
2020-03-06,-2
2020-03-07,-6
2020-03-08,-6
2020-03-09,-2
2020-03-10,-2
2020-03-11,-2
2020-03-12,-13
2020-03-13,-16
2020-03-14,-16
2020-03-15,-23
2020-03-16,-22
2020-03-17,-25
2020-03-18,-30
2020-03-19,-40
2020-03-20,-48
2020-03-21,-53
2020-03-22,-74
2020-03-23,-69
2020-03-24,-70
2020-03-25,-70
2020-03-26,-70
2020-03-27,-69
2020-03-28,-71
2020-03-29,-73
2020-03-30,-64
2020-03-31,-65
2020-04-01,-63
2020-04-02,-65
2020-04-03,-66
2020-04-04,-69
2020-04-05,-70
2020-04-06,-67
2020-04-07,-69
2020-04-08,-70
2020-04-09,-74
2020-04-10,-82
2020-04-11,-80
