date,BE,Brussels,Flanders,Wallonia
2020-02-15,9,18,6,7
2020-02-16,-3,8,-5,-3
2020-02-17,4,4,6,1
2020-02-18,6,7,6,3
2020-02-19,5,3,6,3
2020-02-20,3,3,4,1
2020-02-21,7,7,8,5
2020-02-22,2,4,0,3
2020-02-23,-2,0,0,-3
2020-02-24,-11,-9,-10,-15
2020-02-25,-8,-7,-6,-12
2020-02-26,-11,-9,-11,-15
2020-02-27,-15,-13,-15,-17
2020-02-28,-10,-7,-10,-13
2020-02-29,-2,-2,-4,-1
2020-03-01,5,7,7,6
2020-03-02,0,-1,1,-1
2020-03-03,1,-2,2,1
2020-03-04,1,-1,2,1
2020-03-05,-2,0,-1,-1
2020-03-06,3,6,3,-1
2020-03-07,8,6,8,8
2020-03-08,-2,3,-2,-1
2020-03-09,-1,-4,-1,-2
2020-03-10,-4,-8,-3,-5
2020-03-11,-4,-7,-3,-5
2020-03-12,-7,-10,-7,-5
2020-03-13,-16,-19,-17,-15
2020-03-14,-34,-41,-35,-29
2020-03-15,-34,-44,-33,-26
2020-03-16,-43,-51,-45,-39
2020-03-17,-46,-57,-46,-42
2020-03-18,-56,-66,-56,-52
2020-03-19,-67,-77,-66,-63
2020-03-20,-71,-78,-71,-68
2020-03-21,-67,-76,-64,-69
2020-03-22,-63,-76,-59,-64
2020-03-23,-70,-79,-68,-68
2020-03-24,-69,-80,-67,-67
2020-03-25,-69,-79,-67,-68
2020-03-26,-72,-81,-70,-69
2020-03-27,-70,-79,-69,-70
2020-03-28,-67,-77,-64,-67
2020-03-29,-76,-82,-74,-77
2020-03-30,-72,-81,-70,-70
2020-03-31,-71,-81,-69,-69
2020-04-01,-69,-80,-67,-67
2020-04-02,-73,-82,-72,-70
2020-04-03,-72,-80,-70,-71
2020-04-04,-64,-74,-61,-65
2020-04-05,-60,-72,-55,-62
2020-04-06,-69,-79,-68,-67
2020-04-07,-67,-79,-64,-65
2020-04-08,-66,-78,-63,-65
2020-04-09,-67,-79,-65,-65
2020-04-10,-67,-77,-65,-66
2020-04-11,-60,-71,-56,-61
