date,RO,Alba County,Arad County,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Botoșani County,Brăila County,Brașov County,Bucharest,Buzău County,Călărași County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Dâmbovița County,Dolj County,Galați,Giurgiu County,Gorj County,Harghita County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Sălaj,Satu Mare County,Sibiu,Suceava County,Teleorman County,Timiș County,Tulcea County,Vâlcea County,Vaslui County,Vrancea County
2020-02-15,5,7,11,7,6,10,4,3,8,0,3,6,9,5,1,7,4,8,6,2,10,12,5,9,13,-3,4,7,13,7,1,10,9,10,3,5,-6,12,5,7,12,4,6
2020-02-16,10,12,19,9,11,16,12,9,10,3,8,9,3,9,7,14,5,6,11,7,10,13,10,14,13,3,7,13,10,11,3,11,11,19,8,11,0,11,11,9,8,10,6
2020-02-17,3,4,8,1,5,4,2,1,6,-1,5,8,2,3,2,5,3,0,5,1,4,7,4,5,1,0,2,3,9,2,-4,3,6,7,3,4,-5,7,5,2,9,0,3
2020-02-18,5,2,6,6,2,6,3,-1,7,0,5,8,3,6,2,6,5,4,7,4,4,8,1,6,5,0,4,4,11,1,-2,3,7,7,6,5,-5,5,6,2,10,3,4
2020-02-19,4,6,3,7,5,5,-1,1,10,-3,5,8,3,7,1,5,3,4,5,5,4,5,5,4,8,-1,5,4,8,1,-1,2,4,8,2,4,-4,4,3,1,4,1,2
2020-02-20,1,-3,0,3,1,0,0,-3,6,-3,3,5,3,0,-4,5,1,5,2,4,3,3,-3,-1,2,-3,5,-6,-4,2,-7,2,2,5,-2,0,-10,5,1,-6,3,1,1
2020-02-21,6,4,-1,9,2,-3,0,-1,12,-5,8,12,9,-3,2,9,1,13,6,11,11,6,-3,4,12,0,8,-6,5,7,-3,8,6,7,-6,4,-9,12,-2,4,5,1,12
2020-02-22,-3,-1,5,-4,-5,2,3,0,-5,-8,-4,-7,0,-1,-2,0,-4,-7,-11,-3,2,-10,-3,2,0,-8,-5,0,-8,4,-9,-7,-5,2,-2,1,-10,3,-1,-1,-5,-5,1
2020-02-23,3,6,11,3,-3,2,5,4,-1,-1,3,0,1,4,8,5,-1,-3,-1,0,4,-5,2,7,4,-4,2,1,-6,6,-6,-1,0,12,1,4,-5,3,4,0,-2,-1,0
2020-02-24,1,2,9,-3,-1,2,1,-5,-1,-7,8,1,-2,-4,3,2,-6,-4,1,-2,2,-4,-3,-1,-2,-6,6,0,1,-2,-9,-2,-3,2,0,0,-8,-3,3,-4,2,-7,0
2020-02-25,9,7,9,5,4,7,8,4,9,5,14,7,10,6,10,9,11,4,5,6,5,3,5,9,4,3,15,8,5,7,-3,2,5,9,5,12,-2,5,6,5,8,3,2
2020-02-26,9,7,5,11,6,5,5,5,13,4,16,6,13,5,7,14,3,9,9,8,13,0,4,7,11,2,15,1,3,5,-1,8,6,7,1,8,-2,12,3,3,9,1,3
2020-02-27,1,-1,1,2,-5,2,3,-5,1,-8,5,-3,1,6,3,6,-2,3,3,-2,6,-1,-4,0,-1,-7,5,-1,1,4,-10,1,-3,3,4,-6,-10,5,-1,-7,1,-6,-4
2020-02-28,5,6,-3,8,-2,-2,-4,-4,9,-6,5,13,13,-6,2,10,3,9,0,10,11,-1,-3,4,14,-1,6,-9,2,8,-5,11,6,9,-6,0,-11,12,-5,4,1,0,9
2020-02-29,5,4,4,11,0,3,5,7,10,-6,6,12,20,7,1,10,1,9,8,8,17,7,-2,7,21,-3,9,-2,7,9,0,14,8,4,3,1,-9,23,-1,8,13,5,6
2020-03-01,15,10,9,22,8,8,4,13,23,10,16,18,15,6,13,21,6,16,16,21,25,25,4,13,31,6,17,5,9,14,8,23,20,15,9,9,1,26,5,15,19,20,17
2020-03-02,-1,-4,1,-2,-3,0,-4,-2,1,-5,5,3,-6,-3,0,5,-4,-3,1,-1,-1,-2,-6,-2,-3,-5,1,-8,-2,-2,-9,2,0,0,-4,-3,-8,0,-4,-3,5,-4,1
2020-03-03,1,1,1,-1,-2,1,3,-1,1,-2,4,2,1,-2,0,5,2,-3,0,2,-1,0,-5,3,-1,0,0,1,2,1,-5,2,0,1,2,1,-6,1,-4,-1,3,-2,1
2020-03-04,3,3,-6,6,0,0,3,3,4,-2,7,5,4,-4,-3,8,0,2,2,3,6,-6,0,0,5,0,5,-1,0,2,-3,6,0,0,-2,-2,-6,8,-6,-1,5,-2,1
2020-03-05,1,1,1,2,-2,4,5,0,2,-8,4,1,3,1,-3,7,-3,0,2,0,1,-2,-7,1,2,0,5,-2,5,2,-6,8,-4,4,5,-7,-8,5,0,-4,-2,-1,-4
2020-03-06,8,7,0,11,2,3,4,6,12,-4,6,13,11,-5,3,11,3,11,5,12,10,2,-3,8,16,6,12,-4,5,14,0,16,7,15,-1,3,-6,12,-1,8,3,3,12
2020-03-07,7,7,8,11,3,9,15,15,9,1,5,11,16,6,-3,10,12,10,7,7,17,7,6,11,20,5,12,3,14,18,6,12,10,23,6,6,1,20,2,8,9,11,10
2020-03-08,16,13,14,18,14,17,24,26,20,7,12,13,18,8,7,17,22,15,17,19,23,19,15,15,31,17,19,18,18,22,15,25,15,35,29,1,12,25,9,21,10,33,21
