date,IQ
2020-02-15,16
2020-02-16,11
2020-02-17,12
2020-02-18,15
2020-02-19,11
2020-02-20,9
2020-02-21,14
2020-02-22,11
2020-02-23,11
2020-02-24,9
2020-02-25,1
2020-02-26,8
2020-02-27,5
2020-02-28,7
2020-02-29,12
2020-03-01,7
2020-03-02,9
2020-03-03,11
2020-03-04,11
2020-03-05,0
2020-03-06,-2
2020-03-07,2
2020-03-08,4
2020-03-09,-1
2020-03-10,-1
2020-03-11,-5
2020-03-12,-14
2020-03-13,-21
2020-03-14,-28
2020-03-15,-24
2020-03-16,-30
2020-03-17,-32
2020-03-18,-58
2020-03-19,-62
2020-03-20,-64
2020-03-21,-67
2020-03-22,-65
2020-03-23,-67
2020-03-24,-66
2020-03-25,-67
2020-03-26,-69
2020-03-27,-68
2020-03-28,-68
2020-03-29,-64
2020-03-30,-66
2020-03-31,-62
2020-04-01,-63
2020-04-02,-65
2020-04-03,-65
2020-04-04,-64
2020-04-05,-65
2020-04-06,-67
2020-04-07,-61
2020-04-08,-62
2020-04-09,-66
2020-04-10,-64
2020-04-11,-60
