date,AO
2020-02-15,-2
2020-02-16,0
2020-02-17,-4
2020-02-18,-4
2020-02-19,-12
2020-02-20,-5
2020-02-21,-1
2020-02-22,2
2020-02-23,2
2020-02-24,-8
2020-02-25,-20
2020-02-26,-3
2020-02-27,3
2020-02-28,7
2020-02-29,10
2020-03-01,16
2020-03-02,9
2020-03-03,7
2020-03-04,6
2020-03-05,8
2020-03-06,6
2020-03-07,7
2020-03-08,8
2020-03-09,3
2020-03-10,3
2020-03-11,0
2020-03-12,2
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,0
2020-03-17,-3
2020-03-18,1
2020-03-19,11
2020-03-20,13
2020-03-21,16
2020-03-22,-4
2020-03-23,-25
2020-03-24,-8
2020-03-25,1
2020-03-26,23
2020-03-27,-22
2020-03-28,-33
2020-03-29,-40
2020-03-30,-36
2020-03-31,-37
2020-04-01,-36
2020-04-02,-35
2020-04-03,-35
2020-04-04,-40
2020-04-05,-37
2020-04-06,-33
2020-04-07,-33
2020-04-08,-36
2020-04-09,-30
2020-04-10,-37
2020-04-11,-32
