date,HN
2020-02-15,2
2020-02-16,0
2020-02-17,10
2020-02-18,10
2020-02-19,8
2020-02-20,8
2020-02-21,10
2020-02-22,2
2020-02-23,0
2020-02-24,11
2020-02-25,11
2020-02-26,8
2020-02-27,7
2020-02-28,10
2020-02-29,3
2020-03-01,4
2020-03-02,12
2020-03-03,12
2020-03-04,10
2020-03-05,10
2020-03-06,13
2020-03-07,3
2020-03-08,-1
2020-03-09,12
2020-03-10,11
2020-03-11,9
2020-03-12,6
2020-03-13,2
2020-03-14,-1
2020-03-15,-6
2020-03-16,-34
2020-03-17,-64
2020-03-18,-71
2020-03-19,-70
2020-03-20,-74
2020-03-21,-69
2020-03-22,-54
2020-03-23,-72
2020-03-24,-73
2020-03-25,-69
2020-03-26,-71
2020-03-27,-66
2020-03-28,-63
2020-03-29,-46
2020-03-30,-66
2020-03-31,-75
2020-04-01,-66
2020-04-02,-77
2020-04-03,-63
2020-04-04,-70
2020-04-05,-56
2020-04-06,-68
2020-04-07,-75
2020-04-08,-68
2020-04-09,-78
2020-04-10,-73
2020-04-11,-68
