date,TG
2020-02-15,-4
2020-02-16,-5
2020-02-17,-1
2020-02-18,-6
2020-02-19,-10
2020-02-20,-12
2020-02-21,-4
2020-02-22,-14
2020-02-23,-11
2020-02-24,-4
2020-02-25,2
2020-02-26,-2
2020-02-27,5
2020-02-28,3
2020-02-29,3
2020-03-01,4
2020-03-02,4
2020-03-03,6
2020-03-04,8
2020-03-05,8
2020-03-06,0
2020-03-07,7
2020-03-08,9
2020-03-09,4
2020-03-10,12
2020-03-11,5
2020-03-12,8
2020-03-13,3
2020-03-14,7
2020-03-15,5
2020-03-16,7
2020-03-17,9
2020-03-18,8
2020-03-19,8
2020-03-20,2
2020-03-21,-6
2020-03-22,-21
2020-03-23,-10
2020-03-24,-9
2020-03-25,-10
2020-03-26,-9
2020-03-27,-15
2020-03-28,-12
2020-03-29,-21
2020-03-30,-14
2020-03-31,-11
2020-04-01,-15
2020-04-02,-17
2020-04-03,-20
2020-04-04,-28
2020-04-05,-27
2020-04-06,-11
2020-04-07,-11
2020-04-08,-17
2020-04-09,-14
2020-04-10,-20
2020-04-11,-20
