date,IN
2020-02-15,2
2020-02-16,2
2020-02-17,1
2020-02-18,2
2020-02-19,2
2020-02-20,3
2020-02-21,0
2020-02-22,-2
2020-02-23,-1
2020-02-24,0
2020-02-25,-2
2020-02-26,0
2020-02-27,-1
2020-02-28,1
2020-02-29,-1
2020-03-01,4
2020-03-02,2
2020-03-03,2
2020-03-04,5
2020-03-05,3
2020-03-06,2
2020-03-07,6
2020-03-08,9
2020-03-09,6
2020-03-10,-23
2020-03-11,-1
2020-03-12,1
2020-03-13,1
2020-03-14,-3
2020-03-15,-1
2020-03-16,2
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,-4
2020-03-22,-76
2020-03-23,-27
2020-03-24,-48
2020-03-25,-64
2020-03-26,-64
2020-03-27,-64
2020-03-28,-65
2020-03-29,-65
2020-03-30,-63
2020-03-31,-63
2020-04-01,-64
2020-04-02,-65
2020-04-03,-62
2020-04-04,-64
2020-04-05,-65
2020-04-06,-63
2020-04-07,-53
2020-04-08,-52
2020-04-09,-54
2020-04-10,-53
2020-04-11,-55
