date,PR
2020-02-15,9
2020-02-16,10
2020-02-17,16
2020-02-18,3
2020-02-19,4
2020-02-20,1
2020-02-21,3
2020-02-22,9
2020-02-23,-1
2020-02-24,-13
2020-02-25,-20
2020-02-26,-1
2020-02-27,4
2020-02-28,4
2020-02-29,12
2020-03-01,12
2020-03-02,-9
2020-03-03,0
2020-03-04,3
2020-03-05,1
2020-03-06,2
2020-03-07,8
2020-03-08,0
2020-03-09,-19
2020-03-10,-7
2020-03-11,-7
2020-03-12,-5
2020-03-13,-7
2020-03-14,-16
2020-03-15,-25
2020-03-16,-41
2020-03-17,-55
2020-03-18,-59
2020-03-19,-60
2020-03-20,-59
2020-03-21,-69
2020-03-22,-75
2020-03-23,-63
2020-03-24,-64
2020-03-25,-61
2020-03-26,-62
2020-03-27,-62
2020-03-28,-70
2020-03-29,-75
2020-03-30,-59
2020-03-31,-66
2020-04-01,-67
2020-04-02,-67
2020-04-03,-67
2020-04-04,-73
2020-04-05,-87
2020-04-06,-62
2020-04-07,-64
2020-04-08,-63
2020-04-09,-61
2020-04-10,-79
2020-04-11,-78
