date,LB
2020-02-15,7
2020-02-16,4
2020-02-17,-1
2020-02-18,5
2020-02-19,3
2020-02-20,5
2020-02-21,2
2020-02-22,-6
2020-02-23,-1
2020-02-24,-7
2020-02-25,-1
2020-02-26,1
2020-02-27,4
2020-02-28,7
2020-02-29,-7
2020-03-01,-3
2020-03-02,-2
2020-03-03,7
2020-03-04,9
2020-03-05,9
2020-03-06,-12
2020-03-07,-10
2020-03-08,-6
2020-03-09,-8
2020-03-10,-8
2020-03-11,-11
2020-03-12,-32
2020-03-13,-46
2020-03-14,-50
2020-03-15,-55
2020-03-16,-56
2020-03-17,-62
2020-03-18,-62
2020-03-19,-63
2020-03-20,-65
2020-03-21,-64
2020-03-22,-75
2020-03-23,-70
2020-03-24,-68
2020-03-25,-68
2020-03-26,-65
2020-03-27,-69
2020-03-28,-73
2020-03-29,-73
2020-03-30,-65
2020-03-31,-60
2020-04-01,-63
2020-04-02,-60
2020-04-03,-62
2020-04-04,-65
2020-04-05,-68
2020-04-06,-64
2020-04-07,-60
2020-04-08,-59
2020-04-09,-59
2020-04-10,-68
2020-04-11,-65
