date,GT
2020-02-15,1
2020-02-16,2
2020-02-17,-1
2020-02-18,-2
2020-02-19,-2
2020-02-20,-2
2020-02-21,-1
2020-02-22,-4
2020-02-23,-2
2020-02-24,-4
2020-02-25,-5
2020-02-26,-3
2020-02-27,1
2020-02-28,4
2020-02-29,7
2020-03-01,7
2020-03-02,3
2020-03-03,2
2020-03-04,3
2020-03-05,3
2020-03-06,2
2020-03-07,-1
2020-03-08,0
2020-03-09,-2
2020-03-10,-3
2020-03-11,0
2020-03-12,4
2020-03-13,16
2020-03-14,10
2020-03-15,5
2020-03-16,18
2020-03-17,-8
2020-03-18,-24
2020-03-19,-28
2020-03-20,-30
2020-03-21,-40
2020-03-22,-51
2020-03-23,-46
2020-03-24,-47
2020-03-25,-44
2020-03-26,-42
2020-03-27,-41
2020-03-28,-40
2020-03-29,-39
2020-03-30,-37
2020-03-31,-32
2020-04-01,-30
2020-04-02,-31
2020-04-03,-29
2020-04-04,-33
2020-04-05,-33
2020-04-06,-36
2020-04-07,-33
2020-04-08,-26
2020-04-09,-42
2020-04-10,-71
2020-04-11,-67
