date,IL
2020-02-15,64
2020-02-16,12
2020-02-17,9
2020-02-18,8
2020-02-19,-10
2020-02-20,9
2020-02-21,44
2020-02-22,-13
2020-02-23,9
2020-02-24,2
2020-02-25,-5
2020-02-26,23
2020-02-27,24
2020-02-28,81
2020-02-29,11
2020-03-01,13
2020-03-02,105
2020-03-03,10
2020-03-04,27
2020-03-05,23
2020-03-06,-7
2020-03-07,33
2020-03-08,32
2020-03-09,26
2020-03-10,47
2020-03-11,44
2020-03-12,-17
2020-03-13,-36
2020-03-14,-31
2020-03-15,14
2020-03-16,26
2020-03-17,-43
2020-03-18,-50
2020-03-19,-54
2020-03-20,-60
2020-03-21,-58
2020-03-22,-32
2020-03-23,-32
2020-03-24,-44
2020-03-25,-45
2020-03-26,-66
2020-03-27,-66
2020-03-28,-80
2020-03-29,-56
2020-03-30,-62
2020-03-31,-61
2020-04-01,-62
2020-04-02,-57
2020-04-03,-55
2020-04-04,-72
2020-04-05,-52
2020-04-06,-55
2020-04-07,-54
2020-04-08,-73
2020-04-09,-77
2020-04-10,-68
2020-04-11,-74
