date,TW
2020-02-15,-4
2020-02-16,-8
2020-02-17,-3
2020-02-18,-2
2020-02-19,-4
2020-02-20,-5
2020-02-21,0
2020-02-22,1
2020-02-23,4
2020-02-24,1
2020-02-25,0
2020-02-26,-3
2020-02-27,-1
2020-02-28,11
2020-02-29,1
2020-03-01,2
2020-03-02,-1
2020-03-03,-1
2020-03-04,-7
2020-03-05,-3
2020-03-06,4
2020-03-07,7
2020-03-08,7
2020-03-09,1
2020-03-10,-4
2020-03-11,1
2020-03-12,-4
2020-03-13,-4
2020-03-14,-1
2020-03-15,7
2020-03-16,3
2020-03-17,2
2020-03-18,2
2020-03-19,6
2020-03-20,12
2020-03-21,8
2020-03-22,6
2020-03-23,4
2020-03-24,3
2020-03-25,2
2020-03-26,0
2020-03-27,0
2020-03-28,-6
2020-03-29,3
2020-03-30,-2
2020-03-31,1
2020-04-01,2
2020-04-02,8
2020-04-03,10
2020-04-04,-6
2020-04-05,-7
2020-04-06,-3
2020-04-07,5
2020-04-08,-1
2020-04-09,2
2020-04-10,7
2020-04-11,0
