date,DE,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
2020-02-15,1,1,2,6,5,3,2,3,1,-1,2,0,-3,-1,-1,2,1
2020-02-16,10,43,32,3,0,-20,9,16,8,-8,2,19,-7,13,16,-19,16
2020-02-17,2,-1,2,3,4,0,2,0,2,-1,2,-1,-2,-2,4,2,3
2020-02-18,2,3,3,0,1,1,2,1,1,-3,4,-1,-2,-3,0,2,1
2020-02-19,0,0,-2,-2,-1,-3,-3,0,-1,-4,7,0,-1,-6,-4,0,-1
2020-02-20,-1,0,1,0,1,0,-1,-1,1,-3,-4,-7,-4,-5,-1,1,0
2020-02-21,2,1,2,1,1,-1,1,2,3,-3,3,0,-2,-4,0,2,1
2020-02-22,-2,-2,1,1,1,-4,-5,1,-1,-5,-3,-2,-5,-2,-2,-3,1
2020-02-23,9,36,37,107,-7,-30,-3,25,-3,-13,-6,30,8,-12,-14,-20,0
2020-02-24,-5,-1,2,1,2,-8,-6,-6,-3,0,-16,-9,-10,2,0,-3,-1
2020-02-25,-1,-5,-5,1,0,1,4,-1,2,1,1,-2,-3,1,-1,0,0
2020-02-26,0,-3,-4,1,1,1,4,0,0,1,2,1,-1,0,-3,2,-1
2020-02-27,3,-2,0,7,7,4,6,0,6,5,4,-2,-6,4,4,6,4
2020-02-28,11,10,5,11,10,11,14,14,11,8,14,14,13,7,7,15,8
2020-02-29,5,3,4,12,10,7,3,8,6,3,6,7,4,6,4,7,5
2020-03-01,18,20,27,14,23,16,-1,24,29,15,13,16,21,25,19,39,10
2020-03-02,8,8,10,12,10,9,4,10,10,5,6,9,7,6,8,9,5
2020-03-03,5,5,5,7,4,6,1,6,6,4,5,6,4,2,3,6,2
2020-03-04,2,1,2,7,5,3,-2,2,4,4,2,3,2,3,0,3,1
2020-03-05,0,-3,0,4,5,2,-3,-2,3,4,-2,-2,-3,1,2,3,0
2020-03-06,1,0,1,-3,0,-3,-7,0,0,0,1,2,0,1,-1,2,-2
2020-03-07,0,-1,0,1,4,2,-6,0,1,3,-1,1,-2,0,1,2,0
2020-03-08,19,25,39,13,23,-7,0,21,26,25,13,38,21,21,17,9,14
2020-03-09,2,2,3,2,3,1,-3,1,3,1,1,3,1,1,2,3,-1
2020-03-10,-2,-2,-2,-3,0,-2,-7,-2,0,0,-2,0,-3,0,-1,0,-3
2020-03-11,2,2,3,6,5,5,2,1,5,4,1,2,3,2,1,5,-1
2020-03-12,6,5,6,8,7,7,1,6,9,3,5,7,8,5,7,7,3
2020-03-13,19,20,22,20,17,17,12,20,19,14,18,21,25,15,11,21,13
2020-03-14,9,7,9,18,21,12,12,11,10,15,9,10,3,12,9,12,10
2020-03-15,13,22,30,-8,3,-13,-10,21,18,18,7,27,2,13,20,24,23
2020-03-16,22,22,25,26,27,19,22,21,22,19,20,20,15,21,17,17,21
2020-03-17,11,10,6,14,21,14,14,13,13,9,12,12,5,16,11,9,9
2020-03-18,5,4,-2,10,12,4,5,5,5,2,9,5,-6,9,2,1,3
2020-03-19,-3,-3,-6,0,6,-3,-3,-3,-3,-5,-2,-2,-11,-2,-4,-6,-2
2020-03-20,-2,-2,4,-1,1,-5,-3,0,-4,-10,-1,0,-6,-4,-6,-7,-7
2020-03-21,-24,-30,-43,-11,-8,-19,-18,-21,-21,-17,-19,-25,-41,-15,-15,-21,-20
2020-03-22,-35,-31,-48,-34,-26,-44,-41,-25,-35,-31,-33,-28,-50,-25,-23,-38,-21
2020-03-23,-16,-18,-20,-11,-4,-15,-14,-17,-15,-13,-14,-17,-23,-17,-12,-17,-17
2020-03-24,-18,-20,-23,-14,-10,-17,-15,-18,-19,-17,-15,-19,-28,-19,-17,-18,-19
2020-03-25,-18,-21,-23,-13,-8,-15,-15,-18,-18,-16,-15,-20,-27,-17,-17,-18,-19
2020-03-26,-16,-19,-21,-13,-6,-14,-14,-17,-16,-15,-13,-17,-24,-18,-15,-15,-18
2020-03-27,-14,-16,-17,-13,-9,-13,-11,-14,-15,-15,-12,-15,-22,-17,-17,-14,-18
2020-03-28,-21,-25,-23,-15,-10,-18,-18,-21,-21,-17,-19,-22,-32,-21,-19,-18,-20
2020-03-29,-51,-49,-49,-55,-52,-54,-50,-40,-52,-48,-51,-40,-56,-51,-48,-53,-44
2020-03-30,-16,-17,-18,-18,-9,-17,-19,-16,-17,-17,-14,-15,-22,-16,-14,-15,-19
2020-03-31,-12,-15,-17,-11,-6,-6,-8,-13,-11,-9,-8,-12,-19,-15,-12,-7,-15
2020-04-01,-13,-16,-16,-10,-5,-12,-14,-14,-14,-13,-9,-14,-21,-12,-13,-14,-13
2020-04-02,-11,-13,-14,-11,-4,-11,-12,-12,-13,-10,-10,-11,-20,-13,-12,-11,-12
2020-04-03,-11,-12,-13,-11,-6,-10,-10,-11,-13,-12,-9,-11,-18,-15,-12,-10,-14
2020-04-04,-16,-19,-18,-10,-6,-12,-12,-16,-16,-14,-14,-17,-27,-17,-14,-15,-15
2020-04-05,-13,-2,-19,-17,-7,-22,-20,-6,-17,-13,-6,-3,-26,-11,-7,-32,5
2020-04-06,-6,-8,-8,-5,4,-5,-5,-8,-6,-2,-6,-7,-15,-7,-2,-4,-7
2020-04-07,-2,-4,-6,-2,7,-1,2,-2,-3,2,0,-3,-12,-2,-1,1,-3
2020-04-08,10,8,7,8,22,10,10,9,10,9,11,10,0,12,10,11,11
2020-04-09,14,15,14,14,23,17,19,10,14,8,13,14,6,11,12,16,12
2020-04-10,-92,-92,-93,-91,-92,-92,-91,-92,-93,-92,-91,-92,-93,-92,-93,-93,-93
2020-04-11,0,-4,-2,6,19,5,2,-1,2,3,1,1,-10,1,7,6,3
