date,ZA,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-15,4,-8,4,8,-4,-5,-8,5,-6,-2
2020-02-16,-3,-6,-1,2,-4,-6,-9,-5,-7,-9
2020-02-17,-10,-15,-11,-8,-9,-13,-12,-12,-15,-10
2020-02-18,-12,-19,-11,-10,-11,-11,-14,-12,-11,-10
2020-02-19,-12,-12,-10,-11,-17,-10,-14,-12,-15,-9
2020-02-20,-5,-2,-7,-2,-6,-9,-12,-8,-13,-7
2020-02-21,-3,-8,-2,-1,-9,-6,-7,-8,-8,-6
2020-02-22,-4,-13,-5,-1,-12,-12,-12,-6,-16,-7
2020-02-23,-9,-13,-10,-4,-13,-19,-17,-11,-14,-10
2020-02-24,-11,-13,-14,-9,-13,-18,-12,-14,-16,-10
2020-02-25,-1,-3,-1,2,0,-3,0,-2,3,0
2020-02-26,1,-4,-1,2,-1,0,-1,5,0,1
2020-02-27,6,4,0,10,2,1,6,8,9,5
2020-02-28,12,9,18,14,0,9,10,15,21,9
2020-02-29,20,11,19,24,7,11,11,21,17,13
2020-03-01,18,18,19,23,15,19,18,22,25,13
2020-03-02,4,3,5,5,3,2,5,6,12,4
2020-03-03,2,0,8,5,3,-1,3,3,9,2
2020-03-04,3,2,8,4,2,3,3,4,5,1
2020-03-05,4,5,4,7,4,1,4,6,3,2
2020-03-06,7,-1,7,10,0,-1,3,7,2,2
2020-03-07,8,-5,8,12,-3,-5,0,14,-2,3
2020-03-08,-1,-7,-1,5,-4,-8,-4,1,-7,-6
2020-03-09,-8,-14,-11,-5,-11,-15,-9,-9,-12,-8
2020-03-10,-9,-14,-8,-6,-11,-14,-11,-9,-8,-7
2020-03-11,-9,-10,-9,-7,-10,-12,-12,-8,-10,-7
2020-03-12,-6,-6,-9,-2,-7,-14,-10,-8,-6,-6
2020-03-13,1,-2,3,3,-3,-6,-5,-1,1,-3
2020-03-14,2,-7,3,5,-4,-9,-7,2,-1,-5
2020-03-15,-6,-13,-5,0,-7,-11,-10,-6,-5,-12
2020-03-16,-10,-14,-9,-6,-15,-15,-11,-10,-9,-9
2020-03-17,-15,-15,-9,-13,-12,-13,-14,-18,-9,-15
2020-03-18,-14,-13,-7,-15,-11,-9,-13,-12,-10,-17
2020-03-19,-16,-11,-13,-14,-13,-12,-12,-14,-13,-22
2020-03-20,-14,-12,-11,-12,-17,-8,-13,-13,-10,-24
2020-03-21,-24,-25,-25,-22,-28,-22,-23,-23,-26,-32
2020-03-22,-31,-27,-31,-29,-30,-22,-25,-33,-29,-37
2020-03-23,-20,-21,-21,-19,-19,-14,-14,-20,-16,-25
2020-03-24,-7,-8,-5,-5,-7,-1,-3,-7,2,-13
2020-03-25,9,12,9,11,10,23,19,12,23,-2
2020-03-26,16,17,11,21,14,27,26,20,27,4
2020-03-27,-80,-82,-81,-80,-80,-74,-75,-77,-79,-85
2020-03-28,-80,-83,-80,-79,-81,-73,-74,-78,-79,-85
2020-03-29,-79,-82,-78,-78,-80,-70,-72,-77,-76,-85
2020-03-30,-73,-74,-75,-72,-71,-65,-66,-71,-71,-78
2020-03-31,-72,-71,-71,-72,-68,-61,-64,-70,-66,-77
2020-04-01,-70,-70,-69,-70,-69,-56,-62,-68,-65,-75
2020-04-02,-70,-69,-70,-70,-67,-56,-61,-69,-66,-75
2020-04-03,-72,-73,-73,-72,-71,-61,-65,-72,-70,-77
2020-04-04,-77,-79,-77,-77,-78,-70,-71,-76,-75,-80
2020-04-05,-76,-78,-76,-74,-78,-66,-69,-75,-72,-82
2020-04-06,-72,-74,-73,-71,-72,-65,-64,-71,-69,-78
2020-04-07,-73,-75,-73,-72,-73,-63,-66,-71,-67,-77
2020-04-08,-73,-74,-74,-73,-73,-63,-67,-71,-68,-76
2020-04-09,-68,-70,-71,-68,-68,-60,-63,-67,-64,-72
2020-04-10,-82,-85,-87,-81,-81,-77,-78,-82,-85,-86
2020-04-11,-75,-80,-77,-74,-77,-70,-71,-74,-76,-80
