date,total,Australian Capital Territory,New South Wales,South Australia,Tasmania,Victoria,Western Australia
2020-02-29,4.037111997728038,10.26186343113147,4.119575361760895,3.7040517693919273,2.5238944023614938,5.030029667745693,1.4833881733739762
2020-03-01,-0.9965381649370755,3.245383108421456,0.09111531388365274,-0.7964375793233794,-0.1797922466064214,-2.2520533660846667,-1.0376080723664813
2020-03-02,10.358496542357296,27.002156827524132,18.602063710012548,18.764221252068225,19.817964825935917,18.69356459618252,-61.61692830842352
2020-03-03,15.21662009642554,20.871039791409796,15.016579177505832,14.376695040348727,16.525337088084267,14.764834674182623,17.305240794785593
2020-03-04,14.051026349936638,21.324634272645312,13.453079163736344,14.142225335828018,17.79846056405406,14.354938136690016,16.514864084648107
2020-03-05,13.64820491638253,19.883190722442915,14.24791488059374,12.410756748598168,15.559318206317874,12.76765896946227,16.27908745734864
2020-03-06,15.796585895337783,23.050760551656605,17.14324937602428,12.707878276998905,17.083178977555,13.083402938018057,17.688019853680682
2020-03-07,2.3829557093381695,3.978915606319054,3.6446125553461095,1.2900580098932928,-2.6716155995732564,-0.19591342627256814,4.61434905411184
2020-03-08,-1.8256385050835873,-0.24957185892246872,-0.3508908896370456,-2.283943761444638,-1.6210457694027613,-4.825556917024324,0.7951495163581223
2020-03-09,-14.522602445844363,-70.70095569969023,15.898652960847578,-66.4128318529467,-60.79407560251184,-64.81310679842485,17.93716033839793
2020-03-10,13.585112402693332,22.55256577624103,13.598475941210259,13.249911480567022,12.488272264283864,11.632121925921266,17.037009085185794
2020-03-11,13.697546497601005,22.01071964907476,13.266001976719908,13.862190668485471,17.166758075977448,13.709184658830434,16.036628901340283
2020-03-12,13.254281145015357,19.996114871537113,13.336761741757213,12.183881204547767,18.56913759950753,13.199429336101812,15.771260875472864
2020-03-13,14.633418783990775,24.27015157338806,13.961967884895044,16.316053770453212,16.883949731315454,12.88463640359589,16.470954267418247
2020-03-14,3.079399995061239,7.749063878178249,1.3735148912035737,4.2869035854879405,2.969001693960094,4.428974884229854,3.4335567951262496
2020-03-15,-1.48024743655426,2.9958112494989875,-1.6100269825611404,0.47748283957051235,1.0806971796018412,-2.772270085361826,0.6567381359596496
2020-03-16,12.467242480661644,22.723375413526373,9.047556806276752,16.066395744991894,18.211496806258005,11.33064349811348,15.180387465358006
2020-03-17,5.350730487872366,17.044903916218185,2.053002497931665,8.772204613262634,12.173392870227213,2.723767246818617,11.294368640515371
2020-03-18,1.694600207421407,12.234714741777145,-1.6032417996123578,5.759221446668586,9.403620422506668,-1.2953110999186304,8.925147632591168
2020-03-19,-0.3106092981622054,9.686804318937492,-3.105675166842802,2.960773313360692,9.98867411146378,-3.7242571712785284,6.554017502178713
2020-03-20,0.3219335954910358,11.220295284788099,-2.8730403228845396,6.160762681536035,7.843801201948254,-4.077091545779124,5.291132976198166
2020-03-21,-4.469861931365487,0.6281998882383053,-5.492120941114643,-3.037664188122544,-5.046816954741331,-4.526931597366137,-3.2140077089769483
