date,BO
2020-02-15,4
2020-02-16,7
2020-02-17,2
2020-02-18,1
2020-02-19,3
2020-02-20,5
2020-02-21,6
2020-02-22,8
2020-02-23,6
2020-02-24,-16
2020-02-25,-32
2020-02-26,-12
2020-02-27,-3
2020-02-28,-2
2020-02-29,0
2020-03-01,0
2020-03-02,-1
2020-03-03,0
2020-03-04,1
2020-03-05,2
2020-03-06,3
2020-03-07,6
2020-03-08,5
2020-03-09,2
2020-03-10,2
2020-03-11,8
2020-03-12,8
2020-03-13,3
2020-03-14,1
2020-03-15,-4
2020-03-16,-14
2020-03-17,-8
2020-03-18,-19
2020-03-19,-29
2020-03-20,-28
2020-03-21,-5
2020-03-22,-69
2020-03-23,-75
2020-03-24,-72
2020-03-25,-73
2020-03-26,-76
2020-03-27,-72
2020-03-28,-95
2020-03-29,-94
2020-03-30,-70
2020-03-31,-70
2020-04-01,-69
2020-04-02,-70
2020-04-03,-64
2020-04-04,-95
2020-04-05,-94
2020-04-06,-66
2020-04-07,-67
2020-04-08,-64
2020-04-09,-62
2020-04-10,-92
2020-04-11,-67
