date,HN
2020-02-15,2
2020-02-16,3
2020-02-17,-2
2020-02-18,-2
2020-02-19,-5
2020-02-20,-4
2020-02-21,-3
2020-02-22,-5
2020-02-23,-5
2020-02-24,-5
2020-02-25,-4
2020-02-26,-6
2020-02-27,-9
2020-02-28,-5
2020-02-29,-1
2020-03-01,3
2020-03-02,-1
2020-03-03,0
2020-03-04,-1
2020-03-05,-2
2020-03-06,-1
2020-03-07,-2
2020-03-08,-6
2020-03-09,-5
2020-03-10,-4
2020-03-11,-5
2020-03-12,-8
2020-03-13,-7
2020-03-14,-12
2020-03-15,-23
2020-03-16,-45
2020-03-17,-71
2020-03-18,-79
2020-03-19,-76
2020-03-20,-85
2020-03-21,-86
2020-03-22,-85
2020-03-23,-82
2020-03-24,-83
2020-03-25,-74
2020-03-26,-80
2020-03-27,-75
2020-03-28,-81
2020-03-29,-81
2020-03-30,-75
2020-03-31,-87
2020-04-01,-73
2020-04-02,-89
2020-04-03,-69
2020-04-04,-89
2020-04-05,-88
2020-04-06,-75
2020-04-07,-87
2020-04-08,-75
2020-04-09,-87
2020-04-10,-81
2020-04-11,-84
