date,total,Akwa Ibom,Anambra,Imo,Jigawa,Kaduna,Kano,Oyo,Plateau,Taraba,Yobe
2020-02-29,1.5466351141549817,-9.208695181449318,7.5599683775949424,NA,NA,15.818477468647641,NA,8.88864,NA,NA,NA
2020-03-01,1.4913409054105808,NA,12.430451204872195,NA,NA,9.171684030203908,-7.214915260818078,0.59904,NA,NA,NA
2020-03-02,-0.656318216835715,-11.581078970570758,-4.879969548795129,NA,NA,4.538926818295598,1.474782085379822,7.49952,NA,NA,NA
2020-03-03,2.2237888299378623,-5.749127488966446,2.470342283254766,NA,NA,1.5666832388061445,-4.135912717671953,10.75968,NA,NA,NA
2020-03-04,0.4639905342464945,-1.4479918712896116,-0.6024068163850907,NA,NA,-1.0283432027251462,-4.190949505930773,15.0,NA,NA,NA
2020-03-05,4.736069183759556,-6.374591433369651,2.940883670541388,NA,NA,4.7009974981720966,7.173128069732679,11.72832,NA,NA,NA
2020-03-06,7.635408998792055,-0.6882959388181388,5.399841887974703,NA,NA,7.721577947098402,-1.1292733590883501,6.666239999999999,NA,NA,NA
2020-03-07,4.581405672344057,7.082879370410724,21.600316224050598,NA,NA,4.909509483978117,-1.1669837510434664,10.5552,NA,NA,NA
2020-03-08,3.293611564340402,8.09485528045731,10.565361754457884,NA,NA,16.185269007315505,-5.154093300460096,16.167360000000002,NA,NA,NA
2020-03-09,3.558863493244701,-5.791015485243069,5.48996574239452,NA,NA,27.802229961971832,5.898109141736716,11.25024,NA,NA,NA
2020-03-10,8.354233712469266,-4.31160761674599,12.352660088425617,NA,NA,19.850341048733142,-11.030799246762829,21.51936,NA,NA,NA
2020-03-11,6.410922752974018,-3.61950367826634,12.050982344157177,NA,NA,18.511125430806295,-4.190949505930773,15.62496,NA,NA,NA
2020-03-12,9.492973866466277,NA,12.940836822533894,NA,NA,20.37256879500186,5.739113975655686,24.07392,NA,NA,NA
2020-03-13,8.041701228261783,-2.755087755103311,7.5599683775949424,NA,NA,18.201200797358254,-2.2585467181767003,16.11072,NA,NA,NA
2020-03-14,5.605550582131657,-2.124863811123217,19.440189734430362,NA,NA,19.636142372405143,-1.1669837510434664,25.000320000000002,NA,NA,NA
2020-03-15,6.6986129115137265,-11.130783010597067,9.943981495037042,NA,NA,14.027169954223192,-1.030410980178991,13.77216,NA,NA,NA
2020-03-16,2.838436048879246,-10.134039099196524,4.879969548795129,NA,NA,11.34779093661583,-5.898109141736716,13.12512,NA,NA,NA
2020-03-17,4.073340044170867,-7.185695361271524,11.117488946798233,NA,NA,2.089858766828523,-9.651821940944654,24.05088,NA,NA,NA
2020-03-18,3.447473710411778,0.7235199356871169,4.217796386847422,NA,NA,5.656361505865136,-8.381899011861545,19.374719999999996,NA,NA,NA
2020-03-19,-1.781435159982655,-4.249727622246434,-2.35270693643311,NA,NA,-2.089858766828523,-5.739113975655686,8.64192,NA,NA,NA
2020-03-20,-2.1067894896960864,-12.395990898134144,0.5397944543671128,NA,NA,NA,-20.329978062938014,7.222079999999999,NA,NA,NA
2020-03-21,-7.268383671184293,-11.333558992572534,-1.6203320352531259,NA,NA,2.7277158870442126,-10.499796160043486,2.2224,NA,NA,NA
2020-03-22,-12.418758737854795,-11.130783010597067,1.2427605188416833,NA,NA,-13.486934354634867,-13.399419541457165,1.79616,NA,NA,NA
2020-03-23,-13.641642252984587,-8.686047227906915,-9.759939097590259,NA,NA,-13.050006966195888,-14.745782454233076,-1.24992,NA,NA,NA
2020-03-24,-20.05496910199097,-20.120518211509495,-3.705513424882149,NA,NA,-26.118021785711385,-17.924666576071132,-0.63264,NA,NA,NA
