date,LK
2020-02-15,1
2020-02-16,4
2020-02-17,1
2020-02-18,2
2020-02-19,3
2020-02-20,3
2020-02-21,5
2020-02-22,-1
2020-02-23,1
2020-02-24,1
2020-02-25,8
2020-02-26,7
2020-02-27,5
2020-02-28,9
2020-02-29,5
2020-03-01,7
2020-03-02,4
2020-03-03,3
2020-03-04,5
2020-03-05,4
2020-03-06,9
2020-03-07,5
2020-03-08,8
2020-03-09,-9
2020-03-10,11
2020-03-11,12
2020-03-12,30
2020-03-13,18
2020-03-14,-1
2020-03-15,0
2020-03-16,-17
2020-03-17,-2
2020-03-18,-11
2020-03-19,-14
2020-03-20,1
2020-03-21,-92
2020-03-22,-92
2020-03-23,-67
2020-03-24,-31
2020-03-25,-84
2020-03-26,-57
2020-03-27,-76
2020-03-28,-89
2020-03-29,-87
2020-03-30,-66
2020-03-31,-83
2020-04-01,-68
2020-04-02,-80
2020-04-03,-78
2020-04-04,-85
2020-04-05,-84
2020-04-06,-56
2020-04-07,-85
2020-04-08,-80
2020-04-09,-55
2020-04-10,-78
2020-04-11,-81
