date,IQ
2020-02-15,13
2020-02-16,8
2020-02-17,8
2020-02-18,12
2020-02-19,10
2020-02-20,6
2020-02-21,12
2020-02-22,10
2020-02-23,12
2020-02-24,10
2020-02-25,5
2020-02-26,16
2020-02-27,11
2020-02-28,14
2020-02-29,15
2020-03-01,13
2020-03-02,17
2020-03-03,17
2020-03-04,19
2020-03-05,10
2020-03-06,9
2020-03-07,11
2020-03-08,13
2020-03-09,11
2020-03-10,12
2020-03-11,13
2020-03-12,6
2020-03-13,6
2020-03-14,-11
2020-03-15,2
2020-03-16,-1
2020-03-17,-6
2020-03-18,-35
2020-03-19,-38
2020-03-20,-40
2020-03-21,-48
2020-03-22,-41
2020-03-23,-42
2020-03-24,-42
2020-03-25,-42
2020-03-26,-45
2020-03-27,-46
2020-03-28,-47
2020-03-29,-42
2020-03-30,-43
2020-03-31,-36
2020-04-01,-38
2020-04-02,-40
2020-04-03,-41
2020-04-04,-42
2020-04-05,-43
2020-04-06,-45
2020-04-07,-35
2020-04-08,-36
2020-04-09,-41
2020-04-10,-40
2020-04-11,-37
