date,DO
2020-02-15,0
2020-02-16,-18
2020-02-17,0
2020-02-18,-1
2020-02-19,-4
2020-02-20,0
2020-02-21,-2
2020-02-22,0
2020-02-23,-6
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,-16
2020-02-28,0
2020-02-29,5
2020-03-01,-5
2020-03-02,0
2020-03-03,0
2020-03-04,-1
2020-03-05,1
2020-03-06,-1
2020-03-07,2
2020-03-08,-11
2020-03-09,-6
2020-03-10,-3
2020-03-11,-5
2020-03-12,-4
2020-03-13,-3
2020-03-14,-7
2020-03-15,-22
2020-03-16,-8
2020-03-17,-14
2020-03-18,-25
2020-03-19,-53
2020-03-20,-66
2020-03-21,-73
2020-03-22,-76
2020-03-23,-68
2020-03-24,-74
2020-03-25,-75
2020-03-26,-76
2020-03-27,-78
2020-03-28,-79
2020-03-29,-80
2020-03-30,-70
2020-03-31,-74
2020-04-01,-75
2020-04-02,-75
2020-04-03,-75
2020-04-04,-77
2020-04-05,-78
2020-04-06,-71
2020-04-07,-72
2020-04-08,-72
2020-04-09,-70
2020-04-10,-84
2020-04-11,-78
