date,CI
2020-02-15,3
2020-02-16,5
2020-02-17,2
2020-02-18,1
2020-02-19,0
2020-02-20,4
2020-02-21,1
2020-02-22,-1
2020-02-23,6
2020-02-24,-1
2020-02-25,0
2020-02-26,0
2020-02-27,2
2020-02-28,-1
2020-02-29,1
2020-03-01,4
2020-03-02,3
2020-03-03,6
2020-03-04,7
2020-03-05,11
2020-03-06,6
2020-03-07,3
2020-03-08,8
2020-03-09,6
2020-03-10,8
2020-03-11,10
2020-03-12,8
2020-03-13,2
2020-03-14,-4
2020-03-15,1
2020-03-16,2
2020-03-17,0
2020-03-18,-3
2020-03-19,-6
2020-03-20,-12
2020-03-21,-17
2020-03-22,-18
2020-03-23,-19
2020-03-24,-21
2020-03-25,-25
2020-03-26,-24
2020-03-27,-30
2020-03-28,-30
2020-03-29,-33
2020-03-30,-34
2020-03-31,-34
2020-04-01,-33
2020-04-02,-30
2020-04-03,-33
2020-04-04,-36
2020-04-05,-37
2020-04-06,-33
2020-04-07,-34
2020-04-08,-33
2020-04-09,-30
2020-04-10,-34
2020-04-11,-33
