date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-15,5,4,8,2,12,2,2,3,6,7,11,-1,6,5,2,11,6,3,0,6,4,-2,3,2,-1,5,4,4
2020-02-16,10,11,9,12,14,11,12,9,10,13,13,12,12,11,10,16,11,8,13,11,10,10,10,11,5,9,6,8
2020-02-17,15,15,15,15,19,13,17,14,14,18,17,18,17,13,12,18,16,12,22,17,19,12,13,13,6,16,8,16
2020-02-18,12,12,11,13,17,12,12,12,13,17,13,17,14,11,12,16,11,11,19,15,26,18,15,14,6,13,11,14
2020-02-19,10,8,11,9,15,9,10,11,8,11,10,13,9,10,8,13,12,9,16,9,23,7,7,9,7,12,6,11
2020-02-20,9,8,11,9,14,8,10,10,7,12,10,13,7,9,11,11,4,5,11,6,18,7,10,6,4,7,8,9
2020-02-21,6,8,4,8,5,3,5,6,10,4,7,5,9,5,5,11,4,4,2,7,9,1,5,4,-2,4,3,6
2020-02-22,5,5,8,3,8,2,4,3,6,7,10,0,7,5,2,8,8,4,1,6,7,3,4,2,1,4,4,4
2020-02-23,10,11,9,13,13,9,12,9,11,13,12,14,12,10,10,14,12,6,14,11,15,8,11,13,5,11,8,8
2020-02-24,11,9,13,12,17,11,7,9,9,15,14,12,9,9,12,15,15,11,20,9,18,11,13,13,7,15,5,10
2020-02-25,-8,-17,-3,-6,-4,0,-13,-13,-2,1,4,-5,0,-11,-1,0,4,5,-1,-8,3,3,4,1,1,1,3,-14
2020-02-26,11,7,13,12,15,10,10,9,12,14,13,12,13,10,9,15,13,12,17,14,21,14,10,9,8,11,7,10
2020-02-27,11,10,13,11,13,5,8,12,10,10,12,10,11,11,9,13,5,5,12,13,18,4,9,7,6,9,8,8
2020-02-28,9,9,7,11,6,6,9,9,14,8,12,5,13,8,7,16,6,7,5,10,16,4,7,7,2,9,7,6
2020-02-29,6,6,9,4,10,3,3,5,7,8,12,1,8,6,3,10,8,4,2,8,4,-1,4,4,3,9,7,4
2020-03-01,11,12,9,14,14,11,13,10,11,13,13,14,13,11,10,16,12,9,14,12,15,9,10,14,8,11,7,8
2020-03-02,16,16,15,17,18,13,17,15,15,18,18,20,17,14,13,20,16,12,24,18,22,11,13,14,9,17,8,16
2020-03-03,13,12,13,15,17,13,12,13,13,16,15,21,14,12,11,18,15,11,21,16,27,-8,15,15,8,15,10,13
2020-03-04,13,11,13,13,17,12,11,13,12,15,13,17,13,12,10,16,15,10,17,15,21,5,12,10,8,12,9,12
2020-03-05,12,12,13,13,16,9,12,13,12,13,13,15,12,12,11,14,9,7,16,14,17,7,11,10,8,10,11,11
2020-03-06,9,11,7,10,9,6,10,9,9,10,13,9,9,9,5,14,11,10,6,11,10,-10,6,6,0,10,5,8
2020-03-07,7,6,10,5,13,4,5,4,9,9,14,3,9,6,3,11,8,8,2,9,5,-1,6,3,3,9,7,6
2020-03-08,11,12,9,13,16,9,13,10,12,13,16,17,14,11,10,17,12,10,15,12,12,6,11,13,8,13,9,9
2020-03-09,16,16,14,16,19,12,19,14,15,18,19,20,18,13,12,18,17,12,25,18,24,-3,14,15,8,18,6,16
2020-03-10,13,12,12,15,19,10,12,12,14,17,16,20,15,11,12,17,13,10,20,15,23,13,16,13,7,17,9,13
2020-03-11,12,10,13,11,15,10,11,12,12,15,14,14,11,10,11,14,13,10,15,13,18,7,12,10,9,13,9,12
2020-03-12,-61,-68,-48,-60,-44,-32,-60,-73,-53,-37,-35,-63,-54,-70,-52,-37,-30,-32,-56,-65,-45,-34,-53,-38,-16,-34,-13,-51
2020-03-13,-33,-49,-9,-44,-16,0,-52,-43,-29,-12,-12,-51,-33,-42,-39,-9,0,-15,-38,-43,-3,-26,-42,-7,-3,-4,-9,-36
2020-03-14,-15,-23,1,-27,-3,0,-37,-18,-13,1,2,-33,-12,-20,-12,4,2,-3,-18,-28,0,-12,-18,-5,0,1,-2,-10
2020-03-15,-5,-4,-3,-7,5,2,-14,-6,-7,-4,1,-13,-4,-5,-3,0,2,1,-6,-12,0,-2,-4,2,2,0,-12,-7
2020-03-16,-1,1,-1,-1,5,6,-3,-2,-5,-2,2,-4,-2,-2,0,0,5,4,2,-4,3,-5,0,3,1,3,-2,-1
2020-03-17,-7,-4,-7,-5,2,1,-9,-8,-11,-9,-5,-5,-8,-7,-4,-7,0,1,-3,-8,3,-7,-5,1,-3,-1,-6,-5
2020-03-18,-11,-8,-11,-8,-2,-2,-10,-13,-13,-13,-7,-9,-11,-12,-8,-9,-4,1,-9,-10,1,-11,-10,-5,-11,-5,-14,-8
2020-03-19,-15,-11,-17,-10,-5,-5,-13,-18,-16,-18,-10,-11,-15,-16,-12,-13,-10,-5,-13,-12,-9,-9,-18,-9,-17,-10,-18,-15
2020-03-20,-13,-10,-18,-9,-5,-7,-8,-15,-14,-23,-8,-9,-11,-14,-13,-9,-11,-5,-13,-12,-1,-11,-20,-9,-23,-7,-23,-10
2020-03-21,-18,-15,-18,-16,-12,-12,-16,-22,-20,-24,-13,-17,-19,-19,-19,-14,-17,-7,-19,-16,-6,-15,-22,-14,-26,-12,-25,-13
2020-03-22,-27,-22,-28,-17,-19,-16,-19,-33,-25,-28,-16,-20,-23,-28,-22,-19,-20,-10,-23,-23,-15,-18,-30,-17,-29,-18,-24,-25
2020-03-23,-27,-23,-27,-17,-19,-14,-19,-35,-25,-28,-16,-18,-23,-31,-25,-21,-18,-7,-18,-22,-7,-16,-33,-17,-32,-16,-29,-21
2020-03-24,-31,-29,-31,-21,-21,-16,-24,-39,-27,-28,-18,-19,-26,-35,-28,-20,-20,-9,-20,-24,-8,-14,-34,-19,-34,-18,-26,-23
2020-03-25,-37,-36,-38,-28,-26,-21,-32,-45,-33,-37,-25,-27,-32,-41,-34,-27,-26,-18,-27,-31,-18,-25,-43,-24,-39,-25,-32,-31
2020-03-26,-38,-38,-39,-29,-25,-23,-31,-46,-34,-39,-26,-27,-33,-43,-35,-28,-29,-23,-28,-31,-21,-22,-45,-26,-40,-26,-31,-33
2020-03-27,-50,-53,-57,-36,-38,-42,-36,-58,-41,-53,-36,-40,-46,-56,-50,-37,-42,-37,-40,-38,-30,-32,-57,-36,-53,-36,-43,-44
2020-03-28,-55,-57,-57,-47,-44,-42,-45,-61,-53,-61,-46,-47,-56,-58,-54,-47,-45,-41,-46,-48,-32,-37,-60,-42,-51,-43,-42,-43
2020-03-29,-35,-32,-36,-26,-22,-19,-27,-42,-30,-37,-23,-24,-30,-38,-31,-23,-23,-19,-24,-32,-19,-19,-45,-20,-39,-23,-33,-30
2020-03-30,-35,-33,-36,-26,-25,-19,-27,-44,-29,-35,-23,-23,-30,-39,-31,-24,-23,-24,-21,-31,-19,-26,-46,-22,-42,-21,-36,-30
2020-03-31,-36,-35,-37,-27,-25,-22,-28,-44,-30,-35,-24,-23,-31,-40,-33,-24,-22,-21,-23,-31,-13,-22,-47,-22,-41,-22,-34,-30
2020-04-01,-36,-35,-36,-28,-25,-20,-28,-44,-30,-36,-24,-24,-32,-40,-33,-25,-22,-18,-23,-30,-17,-23,-48,-22,-42,-22,-35,-30
2020-04-02,-36,-35,-37,-26,-24,-20,-31,-44,-30,-37,-23,-22,-32,-40,-32,-25,-25,-22,-23,-29,-19,-25,-48,-22,-41,-23,-35,-31
2020-04-03,-44,-45,-51,-28,-33,-35,-33,-53,-33,-46,-30,-34,-38,-49,-43,-31,-37,-33,-35,-32,-29,-25,-53,-30,-50,-33,-44,-34
2020-04-04,-49,-50,-51,-41,-40,-39,-42,-56,-47,-56,-40,-44,-50,-52,-47,-43,-39,-37,-41,-43,-29,-35,-57,-38,-49,-38,-43,-36
2020-04-05,-35,-31,-35,-26,-25,-20,-30,-43,-29,-37,-22,-25,-28,-38,-30,-23,-25,-18,-25,-32,-18,-23,-45,-21,-41,-23,-39,-31
2020-04-06,-34,-30,-35,-24,-25,-22,-29,-42,-28,-35,-22,-23,-29,-38,-29,-24,-23,-15,-20,-30,-14,-28,-44,-23,-43,-22,-42,-26
2020-04-07,-35,-32,-36,-25,-26,-22,-31,-43,-29,-35,-23,-24,-30,-38,-28,-24,-25,-16,-22,-31,-13,-23,-43,-22,-43,-23,-41,-30
2020-04-08,-35,-33,-36,-26,-26,-22,-30,-43,-30,-35,-23,-24,-30,-39,-29,-24,-24,-16,-23,-30,-14,-20,-45,-25,-43,-24,-41,-29
2020-04-09,-34,-32,-35,-24,-24,-23,-28,-42,-29,-36,-23,-23,-30,-38,-28,-24,-26,-19,-22,-29,-17,-21,-43,-22,-44,-25,-41,-28
2020-04-10,-41,-41,-47,-26,-32,-34,-30,-49,-32,-46,-27,-30,-35,-46,-39,-28,-36,-29,-30,-29,-14,-20,-50,-31,-52,-30,-49,-31
2020-04-11,-45,-46,-46,-38,-37,-36,-39,-51,-44,-51,-37,-38,-45,-48,-43,-38,-37,-32,-38,-39,-25,-32,-49,-38,-52,-37,-48,-34
