date,TR
2020-02-15,-4
2020-02-16,2
2020-02-17,5
2020-02-18,4
2020-02-19,0
2020-02-20,0
2020-02-21,-3
2020-02-22,-4
2020-02-23,3
2020-02-24,3
2020-02-25,4
2020-02-26,3
2020-02-27,3
2020-02-28,0
2020-02-29,-10
2020-03-01,3
2020-03-02,7
2020-03-03,6
2020-03-04,4
2020-03-05,4
2020-03-06,4
2020-03-07,9
2020-03-08,12
2020-03-09,8
2020-03-10,1
2020-03-11,3
2020-03-12,6
2020-03-13,2
2020-03-14,-4
2020-03-15,-16
2020-03-16,-14
2020-03-17,-22
2020-03-18,-33
2020-03-19,-38
2020-03-20,-41
2020-03-21,-46
2020-03-22,-55
2020-03-23,-48
2020-03-24,-54
2020-03-25,-55
2020-03-26,-55
2020-03-27,-57
2020-03-28,-63
2020-03-29,-71
2020-03-30,-58
2020-03-31,-61
2020-04-01,-62
2020-04-02,-64
2020-04-03,-64
2020-04-04,-70
2020-04-05,-76
2020-04-06,-65
2020-04-07,-65
2020-04-08,-65
2020-04-09,-63
2020-04-10,-61
2020-04-11,-90
