date,CV
2020-02-15,-4
2020-02-16,-12
2020-02-17,1
2020-02-18,-9
2020-02-19,-8
2020-02-20,-4
2020-02-21,-6
2020-02-22,-4
2020-02-23,-8
2020-02-24,-5
2020-02-25,-16
2020-02-26,-13
2020-02-27,3
2020-02-28,-14
2020-02-29,-7
2020-03-01,-9
2020-03-02,-2
2020-03-03,-7
2020-03-04,-13
2020-03-05,-6
2020-03-06,-11
2020-03-07,-8
2020-03-08,-14
2020-03-09,-7
2020-03-10,-11
2020-03-11,-17
2020-03-12,-10
2020-03-13,-17
2020-03-14,-21
2020-03-15,-22
2020-03-16,-6
2020-03-17,-18
2020-03-18,-24
2020-03-19,-35
2020-03-20,-42
2020-03-21,-56
2020-03-22,-54
2020-03-23,-46
2020-03-24,-47
2020-03-25,-64
2020-03-26,-54
2020-03-27,-75
2020-03-28,-77
2020-03-29,-88
2020-03-30,-76
2020-03-31,-80
2020-04-01,-83
2020-04-02,-81
2020-04-03,-83
2020-04-04,-86
2020-04-05,-87
2020-04-06,-84
2020-04-07,-85
2020-04-08,-82
2020-04-09,-80
2020-04-10,-88
2020-04-11,-84
