date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-02-15,0,3,0,1,0,12,-1,1,-4,4,3,3,0,4,-3,-1,-2,-2,1,-4,-2
2020-02-16,2,6,6,7,2,6,5,3,5,5,6,6,2,8,16,0,7,2,-1,-2,5
2020-02-17,3,8,2,1,3,9,5,4,-3,2,2,4,3,6,0,3,3,2,2,2,-2
2020-02-18,3,5,0,3,3,5,3,3,-1,0,3,3,0,7,-3,5,2,0,-1,3,1
2020-02-19,3,3,0,-2,3,1,2,2,3,2,2,4,1,3,-3,6,2,2,2,2,-4
2020-02-20,3,4,4,0,1,5,3,2,-1,-2,0,4,3,4,0,5,1,3,-3,-3,-1
2020-02-21,6,6,9,7,4,7,7,5,4,8,5,8,6,4,7,6,9,5,6,4,5
2020-02-22,4,8,7,11,2,19,11,7,6,12,20,11,1,5,5,1,4,3,7,4,7
2020-02-23,5,8,10,14,2,22,17,9,6,17,29,12,3,6,14,0,8,3,5,3,7
2020-02-24,12,28,12,13,18,26,28,14,6,13,30,16,6,9,15,14,11,9,22,18,15
2020-02-25,0,5,-21,-1,3,0,0,-5,-3,3,-1,-1,-3,-12,10,-4,5,3,15,-7,4
2020-02-26,4,6,-3,2,2,4,3,5,3,3,7,3,2,1,-1,5,4,2,11,3,2
2020-02-27,6,3,-1,-1,4,2,8,5,3,6,4,6,6,7,-2,6,5,6,1,-2,0
2020-02-28,10,10,10,8,8,3,8,5,8,17,7,8,11,12,9,10,11,8,7,1,4
2020-02-29,7,10,6,6,5,5,7,6,5,12,6,9,7,7,5,5,9,6,3,6,4
2020-03-01,3,3,13,9,3,1,4,-5,7,9,3,0,4,9,6,-1,8,6,2,-5,0
2020-03-02,9,12,5,10,7,8,9,7,5,8,4,9,11,8,4,10,8,8,7,4,2
2020-03-03,7,10,3,4,4,5,7,7,4,7,5,8,5,8,3,6,7,5,4,3,3
2020-03-04,7,9,4,3,6,2,7,6,6,8,3,7,6,6,1,7,8,7,-3,2,1
2020-03-05,8,9,4,2,7,2,11,9,5,6,5,7,7,10,5,10,8,8,5,-1,6
2020-03-06,7,7,7,6,9,1,5,5,4,6,7,8,8,10,4,8,9,5,7,-1,3
2020-03-07,4,5,5,4,5,6,6,1,3,6,7,6,4,8,3,3,5,5,5,0,3
2020-03-08,6,7,14,12,7,10,12,1,7,5,7,6,6,9,4,3,10,9,26,0,5
2020-03-09,11,15,9,9,15,9,12,10,5,9,5,11,11,11,6,14,9,11,14,7,6
2020-03-10,17,23,8,12,20,12,17,16,11,11,16,16,15,11,10,20,16,13,15,14,14
2020-03-11,26,33,10,15,29,11,24,26,22,16,24,24,26,20,12,29,26,29,18,19,20
2020-03-12,28,32,20,15,29,17,28,29,25,17,23,30,29,32,17,30,26,32,22,21,26
2020-03-13,23,24,28,21,27,16,28,20,21,17,29,28,23,25,24,21,24,27,25,18,24
2020-03-14,-10,-11,2,-3,-6,-7,-6,-6,-7,-6,-7,-7,-13,6,-15,-11,-10,-8,-21,-12,-9
2020-03-15,-33,-38,-15,-21,-34,-30,-25,-35,-21,-23,-25,-31,-34,-17,-31,-37,-29,-29,-44,-40,-27
2020-03-16,-16,-11,-9,-13,-9,-12,-17,-12,-13,-17,-7,-14,-22,-14,-16,-15,-14,-16,-12,-19,-10
2020-03-17,-20,-12,-25,-22,-11,-25,-16,-18,-16,-27,-11,-18,-26,-21,-21,-17,-18,-19,-19,-21,-17
2020-03-18,-19,-12,-25,-24,-10,-28,-15,-16,-15,-24,-12,-16,-26,-25,-21,-15,-16,-16,-28,-25,-17
2020-03-19,-36,-33,-39,-36,-31,-45,-35,-35,-35,-38,-36,-35,-40,-40,-35,-34,-35,-31,-39,-43,-36
2020-03-20,-42,-39,-37,-42,-36,-51,-46,-44,-40,-47,-40,-42,-43,-44,-42,-40,-41,-38,-42,-45,-40
2020-03-21,-48,-45,-44,-47,-43,-52,-48,-44,-45,-49,-47,-48,-49,-50,-50,-46,-47,-47,-58,-50,-47
