date,PE,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao Region,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima Region,Loreto,Madre de Dios,Metropolitan Municipality of Lima,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali
2020-02-15,3,-9,2,-4,11,4,-3,3,0,-10,-11,9,0,-4,-4,11,-1,7,2,4,0,4,5,2,8,-2,0
2020-02-16,2,1,10,0,15,10,2,5,-3,-24,-7,9,-5,-5,-2,12,3,3,1,15,0,5,-11,-4,9,0,5
2020-02-17,2,8,6,2,5,8,2,8,0,-17,-2,8,-5,-1,5,9,0,-13,1,8,0,3,1,0,8,1,4
2020-02-18,1,1,11,-4,3,9,7,4,-1,-8,-5,5,-2,-4,3,3,-1,3,0,7,0,4,2,1,10,8,0
2020-02-19,0,3,8,0,6,9,9,4,-3,-12,0,7,0,1,1,5,9,-3,-1,6,0,7,2,4,9,9,5
2020-02-20,3,-1,13,0,-2,12,15,4,-4,-2,-1,6,2,3,4,9,-1,10,1,6,0,5,6,4,11,-1,4
2020-02-21,1,-5,13,4,-8,10,37,6,-9,-7,-7,9,3,4,5,7,7,2,0,5,0,5,-4,8,5,-1,12
2020-02-22,4,-7,6,-10,7,28,98,3,-2,-6,-13,10,2,0,-1,17,1,10,2,-2,0,4,-2,1,-19,5,-1
2020-02-23,0,-5,8,0,4,39,80,3,-5,-14,-12,8,-1,-7,0,14,-8,7,-3,-4,0,0,-2,4,-15,8,-3
2020-02-24,1,6,8,-2,-1,21,33,5,-5,-15,-9,8,2,1,3,8,1,2,0,-1,0,1,1,0,-11,-8,1
2020-02-25,0,-3,8,-7,4,14,34,5,-6,-10,-10,6,10,2,4,6,3,8,-2,-3,0,5,8,5,-13,-9,8
2020-02-26,-1,0,13,-2,7,16,26,5,-7,-2,-8,8,9,2,3,3,2,-5,-3,-6,0,4,5,5,-21,-5,4
2020-02-27,2,3,6,-17,-1,13,18,5,-5,-4,-5,7,8,1,12,9,-2,10,1,-2,0,0,6,5,-5,-2,-3
2020-02-28,2,5,14,6,2,11,13,12,-8,10,-7,7,8,-1,14,3,13,2,0,-3,0,2,23,6,-6,3,9
2020-02-29,6,-6,8,-2,-1,5,10,4,-2,-18,-9,8,10,-1,8,15,9,7,7,-2,0,2,2,0,-4,-2,3
2020-03-01,3,1,14,0,1,3,1,5,-4,-16,-8,6,9,-2,9,16,7,2,3,-2,0,3,2,0,-7,3,-3
2020-03-02,1,6,5,-9,-3,-1,1,2,-8,-6,-9,1,3,-8,5,3,4,5,1,-7,0,0,41,-2,-4,-2,4
2020-03-03,1,0,4,-13,-3,-1,1,-2,-6,-10,-9,-4,5,-9,-4,-2,-6,13,2,-17,0,1,11,-2,-4,3,14
2020-03-04,1,-1,4,-11,2,-5,0,8,-7,-8,-7,-4,1,-5,-7,-4,7,15,2,-7,0,-1,14,-5,-4,-1,4
2020-03-05,0,-3,3,-17,-3,-4,-6,-1,-5,-8,-7,-5,2,-7,0,-5,3,15,1,-5,0,-2,7,1,-5,-5,4
2020-03-06,1,0,6,-11,3,-12,-4,6,-6,-12,-8,-1,0,-4,-1,-7,6,10,3,-6,0,-2,0,2,-5,1,9
2020-03-07,3,0,1,-16,2,-7,-5,-3,-6,-12,-14,-5,5,-5,-6,-2,5,8,6,-13,0,-4,-2,2,-6,-2,1
2020-03-08,-3,3,-3,0,-6,-7,-2,-3,-4,-16,-14,-8,-2,-11,-10,-5,-3,15,-1,-14,0,-5,-1,1,-1,4,6
2020-03-09,-1,10,-3,-7,-5,-4,-5,-1,-7,-17,-4,-8,-2,-5,-7,-4,3,3,1,-5,0,-8,4,-8,-4,-11,-1
2020-03-10,-2,-8,1,-16,-2,-6,-7,-1,-7,-8,-13,-9,-3,-7,-8,-8,-6,20,0,-12,0,-5,-16,-2,-10,2,3
2020-03-11,-5,-7,1,0,-3,-6,-6,-11,-10,-12,-21,-10,0,-10,-10,-9,4,5,-2,-12,0,-5,-17,-5,-11,2,7
2020-03-12,-7,-5,-3,-6,-9,-11,-6,-11,-8,-14,-18,-9,-7,-13,-10,-11,-1,14,-7,-16,0,-10,3,-3,-10,-12,3
2020-03-13,-9,-1,-4,-13,-3,-16,-11,-11,-13,-19,-22,-20,-5,-16,-12,-16,-1,13,-8,-15,0,-9,-2,-3,-7,-8,11
2020-03-14,-10,-15,-7,-14,-2,-16,-17,-14,-14,-14,-26,-21,-8,-18,-15,-17,-11,10,-10,-21,0,-14,-6,-6,-15,-16,1
2020-03-15,-16,3,-9,0,-13,-17,-15,-9,-13,-14,-28,-23,-11,-27,-16,-27,-4,8,-18,-23,0,-18,-2,-8,-4,-3,-6
2020-03-16,-36,25,11,9,-7,-20,-10,-28,-14,-8,-36,-13,-5,-14,-15,11,-6,26,-51,-9,0,-14,10,-11,1,-13,11
2020-03-17,-76,-60,-73,-49,-61,-76,-76,-85,-78,-56,-78,-81,-67,-70,-78,-75,-66,-57,-77,-84,0,-78,-68,-76,-76,-79,-79
