date,MN
2020-02-15,-18
2020-02-16,2
2020-02-17,-8
2020-02-18,-6
2020-02-19,-12
2020-02-20,1
2020-02-21,-9
2020-02-22,-16
2020-02-23,-22
2020-02-24,-35
2020-02-25,-37
2020-02-26,-40
2020-02-27,-30
2020-02-28,-32
2020-02-29,-24
2020-03-01,-20
2020-03-02,-22
2020-03-03,-16
2020-03-04,-14
2020-03-05,-9
2020-03-06,-9
2020-03-07,-8
2020-03-08,-3
2020-03-09,-13
2020-03-10,-32
2020-03-11,-40
2020-03-12,-41
2020-03-13,-41
2020-03-14,-26
2020-03-15,-18
2020-03-16,-17
2020-03-17,-18
2020-03-18,-22
2020-03-19,-22
2020-03-20,-24
2020-03-21,-13
2020-03-22,8
2020-03-23,-2
2020-03-24,-13
2020-03-25,-24
2020-03-26,-25
2020-03-27,-24
2020-03-28,-8
2020-03-29,5
2020-03-30,-13
2020-03-31,-13
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,23
2020-04-05,21
2020-04-06,-11
2020-04-07,-9
2020-04-08,0
2020-04-09,1
2020-04-10,-2
2020-04-11,14
