date,total
2020-02-29,-0.06286501408078088
2020-03-01,-0.9178292055794007
2020-03-02,12.697161218965718
2020-03-03,-0.25224586899913326
2020-03-04,-0.6718698379883455
2020-03-05,0.47305923095787605
2020-03-06,2.1287665393104422
2020-03-07,0.4117658422291147
2020-03-08,1.1252837520459775
2020-03-09,4.618221096909364
2020-03-10,7.944566154458682
2020-03-11,5.15728859265206
2020-03-12,5.690069586986678
2020-03-13,8.036506237551825
2020-03-14,6.069617109499394
2020-03-15,15.200760404732815
2020-03-16,16.898115784913898
2020-03-17,21.210655750855466
2020-03-18,25.70393263227928
2020-03-19,28.197316253258254
2020-03-20,18.748704636916887
2020-03-21,15.327276245570385
2020-03-22,26.701128918135666
2020-03-23,27.3321364969715
2020-03-24,27.781621347649086
2020-03-25,28.29868608846351
2020-03-26,32.90433418255672
2020-03-27,19.734899545309137
2020-03-28,16.715021431403624
2020-03-29,29.574845874303364
2020-03-30,30.886367230563653
2020-03-31,30.50446227002291
2020-04-01,30.752779075641993
2020-04-02,31.602242578408546
2020-04-03,18.846931221418107
2020-04-04,15.835697046948702
2020-04-05,29.264449867279506
2020-04-06,28.7968913250537
2020-04-07,28.66958967154012
2020-04-08,38.28636520054757
2020-04-09,40.41906080323806
2020-04-10,20.385552441045217
2020-04-11,15.999931896234742
