date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-02-15,29,0,0,44,27,77,17,0,0,0,0,42,0,60,16,0,21,0,0,0,58,30
2020-02-16,32,6,0,36,51,51,41,0,0,0,0,0,0,79,64,0,62,0,0,0,52,25
2020-02-17,18,23,0,23,18,22,20,0,0,0,0,0,0,0,32,0,13,0,0,0,24,16
2020-02-18,7,15,0,2,21,12,-6,0,0,0,0,0,0,-4,34,0,15,0,0,0,29,-15
2020-02-19,12,16,0,14,18,19,12,0,0,0,0,0,0,5,23,0,12,0,0,0,10,11
2020-02-20,11,8,0,24,4,24,7,0,0,0,0,8,0,15,22,0,-6,0,0,0,7,15
2020-02-21,15,15,0,12,11,35,18,0,0,0,0,12,0,24,25,0,6,0,0,0,22,6
2020-02-22,36,23,0,43,20,74,15,0,0,0,0,39,0,69,24,0,30,0,0,0,58,74
2020-02-23,18,7,0,-1,35,15,23,0,0,0,0,0,0,75,58,0,47,0,0,0,48,35
2020-02-24,19,5,0,23,19,31,18,0,0,0,0,0,0,17,32,0,10,0,0,0,21,16
2020-02-25,16,17,0,15,24,23,10,0,0,0,0,0,0,2,30,0,18,0,0,0,35,36
2020-02-26,-9,0,0,-26,3,16,-4,0,0,0,0,0,0,-11,6,0,-4,0,0,0,-14,-32
2020-02-27,5,4,0,11,9,10,2,0,0,0,0,12,0,5,13,0,-2,0,0,0,-6,-8
2020-02-28,1,-2,0,-4,-1,22,17,0,0,0,0,-5,0,15,4,0,-15,0,0,0,3,-7
2020-02-29,2,1,0,9,22,19,9,0,0,0,0,24,0,0,14,0,3,0,0,0,8,1
2020-03-01,-39,-12,0,-22,-8,-68,7,0,0,0,0,-6,0,-62,-24,0,-25,-36,0,0,-44,-33
2020-03-02,4,8,0,26,10,-12,8,0,0,0,0,0,0,-14,12,0,-6,0,0,0,-7,20
2020-03-03,2,0,0,6,-8,8,20,0,0,0,0,-2,0,12,26,0,-4,0,0,0,15,4
2020-03-04,5,4,0,-2,16,4,13,0,0,0,0,0,0,-3,17,0,11,0,0,0,2,-2
2020-03-05,18,15,0,32,21,13,20,0,0,0,0,0,0,13,36,0,9,0,0,0,5,21
