date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-02-15,21,17,7,16,1,0,34,-11,19,47,35,43,30,6,31,3,30,47,5,32,23
2020-02-16,-14,-34,15,26,-46,21,23,-35,19,53,44,0,-14,10,28,-39,-4,-13,-40,-12,-14
2020-02-17,8,0,14,4,3,0,5,-53,2,16,15,17,12,8,-3,15,5,5,14,18,2
2020-02-18,6,15,10,8,5,0,21,-46,12,27,8,16,8,-7,9,16,5,11,11,25,9
2020-02-19,24,26,2,14,11,0,28,-41,11,30,15,30,25,5,-1,19,24,22,19,21,15
2020-02-20,24,32,16,17,17,0,25,-25,14,32,0,29,26,5,17,39,33,32,23,17,7
2020-02-21,36,39,20,36,28,47,51,25,17,44,65,56,33,-5,47,39,63,51,27,47,24
2020-02-22,47,52,34,41,29,0,57,39,24,55,62,58,46,37,74,38,65,99,32,55,52
2020-02-23,55,56,63,72,48,0,106,58,39,80,193,68,34,22,85,56,50,84,64,104,75
2020-02-24,80,129,55,68,92,0,0,36,17,84,0,139,65,27,87,80,88,146,106,103,67
2020-02-25,33,66,58,36,12,0,61,-19,-16,83,0,85,28,35,60,-10,51,122,61,40,9
2020-02-26,25,28,15,15,12,0,34,22,4,31,34,31,15,12,11,17,13,14,13,16,13
2020-02-27,27,32,3,17,15,0,33,32,13,36,0,35,26,19,19,25,26,35,17,10,5
2020-02-28,25,16,5,26,5,24,42,16,17,61,37,23,26,20,40,23,12,16,2,2,12
2020-02-29,-5,-19,10,6,-22,35,16,-9,3,10,9,-12,5,12,19,-20,-9,-3,-28,-8,-9
2020-03-01,-33,-57,20,19,-36,26,-11,-39,-1,21,7,-49,-38,6,1,-47,-38,-46,-44,-24,-30
2020-03-02,8,-11,17,5,-11,0,2,13,8,20,0,3,9,6,13,2,9,5,-6,-5,-9
2020-03-03,-3,-12,7,4,-31,0,13,15,6,19,-8,-7,0,8,-4,-20,-8,4,-29,5,-9
2020-03-04,15,-4,17,14,-17,0,10,16,9,25,9,10,16,15,12,-14,11,15,-10,9,-9
2020-03-05,14,4,25,12,-2,0,10,22,12,16,11,15,13,17,17,10,10,15,4,3,-7
2020-03-06,14,4,12,12,3,40,28,10,3,30,12,8,15,20,19,11,1,8,2,-4,6
2020-03-07,27,23,8,27,14,0,29,25,12,30,41,13,33,19,35,16,37,69,23,28,30
2020-03-08,-4,-37,32,29,-45,0,15,-9,19,50,34,-3,4,13,25,-43,12,16,-33,-2,-2
2020-03-09,21,6,20,12,2,0,23,17,7,29,15,18,24,12,17,18,20,24,8,23,13
2020-03-10,20,25,27,19,7,0,42,-1,13,36,20,24,23,19,19,15,18,41,8,25,14
