date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-15,8,8,5,-9,-3,10,0,1,-1,4,-7,0,2,10,6,6,7,7,-9,13,-1,3,0,-3,-1,11,-11,-6
2020-02-16,3,4,-12,-13,6,11,-3,-2,-4,0,-6,0,-4,3,1,9,5,3,-10,6,-8,-2,-14,-11,-7,10,-19,-8
2020-02-17,9,11,13,-7,0,12,4,4,-6,2,-7,3,7,8,2,7,8,7,-3,13,7,2,-1,-3,5,8,-9,-3
2020-02-18,9,14,2,-5,-1,13,4,3,-5,4,-2,4,5,9,1,0,10,4,-4,12,4,4,-7,-3,5,9,-6,1
2020-02-19,8,9,-1,-2,-12,10,1,1,-6,1,0,2,4,10,-1,3,8,8,-8,12,1,4,-11,-5,6,8,-7,1
2020-02-20,11,12,3,-6,-10,12,5,2,0,5,2,4,2,16,2,3,15,3,3,13,6,9,-7,-8,10,13,-1,8
2020-02-21,12,12,12,7,-1,13,0,6,8,5,10,8,9,23,12,6,19,9,13,8,12,13,0,0,9,10,4,19
2020-02-22,6,-3,-2,4,-11,5,6,-13,12,-1,18,1,6,25,24,-2,10,10,5,9,2,12,8,4,21,2,7,22
2020-02-23,2,-6,-29,-15,-40,12,-4,-19,-3,-6,-8,-11,-1,19,-5,-19,5,4,-27,23,-5,-4,-27,-11,-3,-1,-39,-17
2020-02-24,-27,-34,-27,-36,-54,-9,-28,-49,-37,-22,-40,-18,-16,-21,-19,-38,-26,-25,-42,-27,-25,-27,-33,-33,-17,-30,-53,-28
2020-02-25,-35,-35,-36,-31,-24,-16,-30,-49,-35,-24,-34,-27,-32,-21,-23,-34,-38,-29,-41,-33,-24,-31,-30,-37,-18,-41,-49,-21
2020-02-26,-17,-17,-18,-20,-22,-17,-17,-26,-21,-12,-8,-8,-17,-11,-2,-13,-12,-20,-14,-32,-16,-3,-12,-10,-1,-17,-15,0
2020-02-27,1,5,-7,-5,-6,4,-4,-5,-15,-3,-5,1,8,5,1,-3,11,-2,-7,-12,2,3,-11,-8,7,5,-10,-5
2020-02-28,2,4,-10,-10,-14,7,-7,-6,-19,-5,-14,-2,7,2,-6,-6,10,0,-14,-5,-3,3,-9,-3,2,3,-18,-9
2020-02-29,-2,-5,-2,-10,-14,3,-11,-14,-14,-7,-14,-5,-2,-4,-1,-4,2,-1,-10,-4,-9,2,-7,-10,-6,1,-19,-11
2020-03-01,-10,-4,1,-6,-3,2,-12,-16,-19,-6,-8,-5,-5,-6,-3,-14,-2,-4,-9,-22,-22,-1,-13,-10,-15,-5,-20,-7
2020-03-02,6,9,7,-3,-9,12,4,-1,-18,0,-5,2,9,3,2,-2,7,7,-3,-3,2,6,-6,4,-1,7,-14,-3
2020-03-03,6,11,1,-4,-8,16,2,1,-5,3,-6,5,7,4,-1,-1,10,6,-6,5,2,8,-11,2,0,6,-6,-1
2020-03-04,7,10,2,-5,-25,12,2,1,-7,2,-1,4,9,6,1,0,11,9,-10,6,1,7,-9,5,5,8,-7,-1
2020-03-05,10,10,9,-4,2,15,4,2,-2,2,-2,7,13,9,5,1,15,12,-6,9,3,9,-7,5,6,13,-11,1
2020-03-06,13,11,14,-1,-3,17,2,7,2,6,-3,8,15,14,5,1,17,-20,-1,17,1,14,-2,8,7,14,-11,1
2020-03-07,8,6,15,-7,-3,14,-7,-5,-9,6,-9,6,8,8,4,-1,11,0,-8,11,-5,11,-2,2,0,12,-11,-2
2020-03-08,2,6,4,-13,-11,12,-12,-3,-15,3,-8,3,1,4,-4,-2,9,-1,-13,6,-9,5,-7,-8,-6,6,-18,-11
2020-03-09,12,15,9,-4,-7,19,4,3,-1,7,-6,7,13,11,-4,-2,12,10,-5,14,3,11,-7,3,-1,12,-11,2
2020-03-10,11,17,11,-3,-8,19,3,3,-3,8,-4,11,13,11,3,1,14,9,-4,12,1,11,-8,0,8,11,-11,1
2020-03-11,10,13,3,-2,-28,14,4,1,-2,4,-2,7,13,11,-5,-1,14,10,-9,10,0,9,-12,5,9,11,-19,5
2020-03-12,10,3,7,-5,-3,14,1,-1,-3,5,-3,8,12,11,1,-3,15,3,-7,9,-3,12,-9,1,8,13,-15,6
2020-03-13,10,2,5,-5,-6,13,0,2,-1,3,-4,8,13,16,4,-2,15,5,-8,13,-5,9,-3,5,4,9,-13,9
2020-03-14,0,-2,25,-8,-8,-6,-8,-11,-9,0,-12,3,3,6,-1,-3,7,-1,-12,-3,-8,3,-3,-9,-6,2,-19,10
2020-03-15,-7,-5,6,-20,-2,3,-17,-13,-15,-3,-13,0,-5,2,-14,-11,3,-14,-16,-10,-17,-8,-17,-9,-12,-3,-26,3
2020-03-16,-4,-8,6,-12,-8,9,-5,-6,-8,-7,-12,0,3,4,-2,-4,2,-7,-7,-11,-2,-3,-11,-4,-6,-6,-23,-4
2020-03-17,-15,-13,-6,-11,-13,-3,-16,-15,-21,-11,-11,-4,-6,-4,-4,-9,-3,-14,-10,-26,-6,-9,-11,-12,-14,-18,-45,-8
2020-03-18,-22,-21,-15,-21,-26,-9,-23,-23,-26,-18,-16,-9,-12,-13,-7,-16,-16,-21,-20,-34,-17,-21,-21,-14,-32,-23,-32,-11
2020-03-19,-31,-30,-27,-22,-24,-23,-30,-56,-34,-26,-23,-15,-23,-20,-12,-24,-22,-28,-26,-41,-22,-29,-23,-24,-70,-29,-36,-32
2020-03-20,-37,-40,-28,-26,-35,-19,-42,-44,-40,-38,-29,-26,-27,-29,-18,-29,-32,-30,-36,-43,-28,-39,-27,-27,-77,-37,-45,-33
2020-03-21,-50,-52,-41,-41,-43,-25,-56,-60,-57,-47,-40,-36,-52,-46,-26,-43,-49,-43,-51,-57,-41,-53,-34,-37,-79,-48,-55,-40
2020-03-22,-60,-62,-52,-56,-53,-39,-68,-63,-67,-57,-55,-53,-64,-57,-50,-58,-62,-56,-64,-62,-61,-67,-59,-53,-82,-57,-68,-57
2020-03-23,-58,-60,-64,-59,-51,-43,-63,-68,-64,-53,-58,-62,-65,-53,-46,-64,-60,-55,-67,-59,-53,-62,-57,-53,-83,-57,-69,-59
2020-03-24,-63,-62,-70,-64,-64,-40,-67,-70,-68,-56,-62,-66,-69,-56,-53,-64,-63,-59,-70,-65,-58,-65,-61,-59,-82,-63,-71,-66
2020-03-25,-63,-64,-67,-64,-68,-46,-67,-76,-68,-58,-64,-64,-69,-56,-56,-66,-63,-59,-76,-65,-59,-65,-63,-64,-80,-63,-75,-72
2020-03-26,-62,-62,-58,-65,-53,-45,-68,-69,-68,-53,-64,-61,-68,-56,-52,-61,-62,-59,-76,-65,-59,-64,-63,-66,-79,-62,-75,-69
2020-03-27,-60,-59,-59,-68,-65,-42,-67,-68,-65,-53,-66,-60,-66,-54,-53,-65,-61,-58,-75,-61,-57,-64,-63,-62,-78,-61,-74,-68
2020-03-28,-59,-59,-70,-69,-68,-42,-68,-68,-65,-54,-64,-58,-66,-54,-55,-61,-59,-55,-77,-59,-58,-63,-66,-65,-75,-59,-72,-69
2020-03-29,-62,-56,-75,-76,-73,-46,-73,-68,-69,-50,-66,-59,-68,-57,-64,-64,-64,-59,-76,-61,-66,-67,-71,-72,-76,-62,-83,-71
2020-03-30,-59,-57,-73,-65,-65,-46,-64,-67,-65,-47,-64,-55,-64,-52,-53,-64,-59,-58,-74,-60,-58,-61,-58,-58,-77,-60,-73,-62
2020-03-31,-58,-56,-48,-62,-67,-45,-63,-67,-64,-45,-60,-53,-62,-50,-50,-61,-57,-55,-72,-61,-57,-59,-57,-60,-75,-60,-70,-58
2020-04-01,-57,-56,-64,-61,-66,-41,-62,-64,-64,-45,-59,-51,-61,-50,-47,-60,-57,-55,-72,-60,-56,-57,-57,-54,-74,-59,-71,-58
2020-04-02,-57,-55,-68,-64,-62,-41,-63,-65,-64,-44,-60,-49,-60,-49,-46,-61,-56,-56,-73,-60,-55,-60,-59,-51,-74,-58,-68,-56
2020-04-03,-55,-52,-71,-64,-65,-35,-62,-64,-62,-44,-61,-48,-58,-48,-48,-58,-54,-53,-73,-56,-53,-58,-57,-57,-72,-57,-68,-55
2020-04-04,-53,-49,-70,-68,-70,-38,-63,-65,-63,-41,-62,-46,-54,-47,-48,-58,-52,-51,-73,-53,-56,-56,-59,-62,-68,-53,-70,-57
2020-04-05,-57,-53,-65,-71,-73,-47,-71,-66,-68,-45,-64,-52,-58,-52,-62,-60,-56,-57,-77,-57,-64,-62,-66,-67,-72,-55,-79,-63
2020-04-06,-53,-52,-70,-63,-69,-43,-65,-62,-58,-43,-59,-46,-47,-45,-48,-60,-54,-52,-71,-54,-52,-56,-54,-63,-73,-55,-72,-54
2020-04-07,-53,-51,-57,-58,-71,-40,-58,-61,-56,-39,-55,-42,-45,-44,-44,-59,-49,-50,-72,-55,-52,-49,-55,-63,-68,-55,-68,-52
2020-04-08,-52,-51,-66,-59,-69,-47,-57,-62,-57,-38,-58,-49,-41,-44,-49,-57,-48,-49,-75,-57,-50,-48,-57,-60,-66,-54,-66,-54
2020-04-09,-49,-47,-68,-58,-60,-44,-57,-62,-57,-35,-61,-37,-38,-40,-48,-57,-44,-48,-77,-53,-49,-45,-52,-57,-63,-50,-61,-50
2020-04-10,-69,-64,-78,-76,-78,-60,-76,-76,-74,-51,-80,-61,-68,-66,-80,-68,-70,-65,-89,-70,-67,-72,-67,-75,-76,-71,-85,-74
2020-04-11,-52,-46,-72,-69,-77,-50,-68,-66,-57,-39,-68,-43,-42,-44,-57,-57,-46,-53,-80,-54,-56,-49,-64,-72,-62,-53,-72,-64
