date,AO
2020-02-15,3
2020-02-16,-4
2020-02-17,-6
2020-02-18,-3
2020-02-19,-10
2020-02-20,-4
2020-02-21,-2
2020-02-22,0
2020-02-23,-1
2020-02-24,-9
2020-02-25,-17
2020-02-26,-3
2020-02-27,2
2020-02-28,6
2020-02-29,7
2020-03-01,5
2020-03-02,6
2020-03-03,4
2020-03-04,7
2020-03-05,5
2020-03-06,6
2020-03-07,7
2020-03-08,5
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,-5
2020-03-16,-4
2020-03-17,-6
2020-03-18,-4
2020-03-19,-4
2020-03-20,-5
2020-03-21,-10
2020-03-22,-33
2020-03-23,-43
2020-03-24,-26
2020-03-25,-22
2020-03-26,-10
2020-03-27,-48
2020-03-28,-51
2020-03-29,-61
2020-03-30,-55
2020-03-31,-55
2020-04-01,-55
2020-04-02,-55
2020-04-03,-58
2020-04-04,-58
2020-04-05,-62
2020-04-06,-52
2020-04-07,-53
2020-04-08,-54
2020-04-09,-51
2020-04-10,-60
2020-04-11,-53
