date,NI
2020-02-15,5
2020-02-16,7
2020-02-17,5
2020-02-18,0
2020-02-19,-5
2020-02-20,-2
2020-02-21,0
2020-02-22,0
2020-02-23,-1
2020-02-24,0
2020-02-25,-3
2020-02-26,-6
2020-02-27,-4
2020-02-28,2
2020-02-29,7
2020-03-01,7
2020-03-02,5
2020-03-03,2
2020-03-04,-2
2020-03-05,2
2020-03-06,4
2020-03-07,4
2020-03-08,4
2020-03-09,3
2020-03-10,2
2020-03-11,-1
2020-03-12,1
2020-03-13,6
2020-03-14,10
2020-03-15,9
2020-03-16,10
2020-03-17,7
2020-03-18,3
2020-03-19,10
2020-03-20,-3
2020-03-21,-12
2020-03-22,-23
2020-03-23,-15
2020-03-24,-19
2020-03-25,-22
2020-03-26,-24
2020-03-27,-21
2020-03-28,-20
2020-03-29,-25
2020-03-30,-16
2020-03-31,-15
2020-04-01,-16
2020-04-02,-16
2020-04-03,-12
2020-04-04,-13
2020-04-05,-20
2020-04-06,-12
2020-04-07,-14
2020-04-08,-11
2020-04-09,-36
2020-04-10,-53
2020-04-11,-38
