date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-15,4,-14,8,2,-1,-1,2,2,-4,-10,-3,-3,-8,12,4,-1,1,6,7,-3,6,10,3,4,-6,-7,6,9,0,4,5,-2,1
2020-02-16,6,1,5,2,4,8,5,6,-2,11,-2,2,-2,5,7,4,9,6,6,0,6,11,4,6,-1,-3,6,12,7,1,13,-2,3
2020-02-17,5,-5,3,3,0,0,8,4,-9,-4,5,-3,-5,6,4,1,3,-1,15,1,4,11,3,8,0,3,8,16,3,7,8,8,-1
2020-02-18,2,-4,3,4,-5,-6,5,0,-7,-4,2,-8,-8,5,2,-1,-2,-2,8,-3,2,10,1,2,2,1,5,15,-1,3,3,2,-3
2020-02-19,3,-2,1,6,1,-5,6,-1,-8,1,2,-3,-11,5,2,1,-1,-1,4,-3,2,9,3,2,0,1,6,14,-4,1,4,4,-3
2020-02-20,3,0,-1,8,2,-4,8,-5,-6,7,1,-4,-9,5,3,0,0,-1,2,-1,3,9,3,1,7,3,3,12,-1,6,7,5,1
2020-02-21,4,-8,3,8,6,-4,2,-3,-5,4,2,0,-7,6,4,2,8,7,7,0,6,9,1,0,15,8,5,18,-4,11,14,12,8
2020-02-22,4,-16,-2,8,10,-6,3,0,-14,-9,-5,-1,-13,4,6,0,12,3,6,1,4,8,10,-2,14,-1,3,8,-3,11,8,5,-6
2020-02-23,7,-6,0,6,5,1,-1,-2,-12,1,-5,1,-6,2,12,1,29,1,3,-1,3,9,5,3,23,0,5,4,0,14,14,3,3
2020-02-24,4,-4,-2,3,0,-3,5,-3,-13,3,3,-2,-10,4,2,-2,1,5,14,0,3,7,5,4,14,0,6,17,-2,9,9,3,-6
2020-02-25,2,-7,-2,13,7,-5,3,-1,-6,1,0,-6,-11,4,0,-1,1,3,8,1,3,9,11,0,16,2,0,16,-3,8,10,4,-6
2020-02-26,1,-4,-1,8,-4,-6,4,-1,-9,5,0,-2,-13,4,1,-1,3,-1,6,0,0,10,7,-2,9,7,0,14,-6,1,-7,7,-5
2020-02-27,2,0,0,5,-6,-3,7,0,-5,9,1,0,-10,4,2,-3,6,2,3,-4,2,12,0,3,5,5,4,-1,-3,5,-1,-1,-2
2020-02-28,6,-7,6,4,-8,1,7,5,-6,2,3,0,-3,6,6,1,9,4,13,0,4,11,-2,5,3,9,9,23,2,16,1,3,6
2020-02-29,5,-12,6,4,0,-2,5,10,-11,-1,-3,1,-8,7,6,0,6,0,14,0,5,14,1,9,-4,4,4,12,2,12,-1,-5,-2
2020-03-01,7,-2,-4,0,5,-1,3,8,-6,4,-1,0,-2,4,11,3,16,3,9,3,5,14,-4,11,-1,5,5,12,6,12,8,-5,5
2020-03-02,4,-7,-10,0,2,0,5,3,-14,-1,3,-4,-8,5,5,-3,5,-2,15,5,3,12,-2,6,-2,4,3,22,-1,11,3,2,-6
2020-03-03,2,-11,-3,3,-6,-9,5,2,-10,-2,-1,-6,-10,5,2,-6,-1,-2,7,-1,0,13,-6,2,-1,2,2,18,-1,10,4,-2,-8
2020-03-04,3,-6,-3,2,-5,-8,7,1,-7,9,1,-4,-9,6,3,-2,2,-1,4,-1,2,12,-2,2,-3,9,3,17,1,5,2,-1,-7
2020-03-05,3,-5,-3,-1,-2,-7,10,-2,-10,10,0,-7,-9,5,3,-4,4,-1,3,-4,3,14,-2,4,-3,6,5,19,1,4,3,-2,-4
2020-03-06,3,-10,4,3,-4,-5,7,3,-11,1,2,-4,-7,5,3,-1,3,8,11,-5,3,11,-6,4,0,10,4,20,0,11,3,2,1
2020-03-07,2,-18,-1,6,-8,-8,5,3,-15,-2,-5,-2,-9,6,2,-4,-2,4,9,-5,3,12,-4,3,-9,3,3,6,3,5,0,-4,-5
2020-03-08,4,-10,-2,-2,-10,-8,-1,-2,-12,0,-6,-8,-12,4,9,-3,-2,-1,7,-6,1,9,-6,-1,-10,-8,3,4,-1,0,-1,-11,-10
2020-03-09,-17,-10,-6,4,-5,-7,0,-3,-20,-5,-10,-4,-17,-12,-24,-5,-12,-3,-11,-6,-11,-4,-7,1,-8,-2,-16,10,-2,-4,1,-7,-7
2020-03-10,3,-2,-8,5,-4,-8,10,5,-9,6,1,-6,-6,7,3,-3,3,1,7,-2,3,15,-3,6,4,10,4,20,1,11,4,0,-4
2020-03-11,2,1,0,6,-8,-8,7,3,-10,9,0,-4,-9,6,1,-2,0,-2,3,-1,1,13,0,2,-2,10,2,15,1,2,-1,4,-5
2020-03-12,3,3,-3,0,-4,-3,12,4,-11,17,2,-1,-9,7,2,-2,2,1,3,1,5,14,-1,7,3,12,2,19,3,3,9,0,1
2020-03-13,5,8,2,3,10,4,14,11,-5,31,4,7,-4,10,3,10,13,16,11,2,6,12,-2,15,12,18,7,26,8,11,13,8,12
2020-03-14,4,-4,-7,2,13,1,8,16,-7,23,0,26,-3,10,0,14,22,21,6,-4,9,19,-2,28,10,14,5,23,8,15,19,2,7
2020-03-15,-4,-21,-8,-6,-8,-14,-4,-8,-14,2,-11,-10,-15,-5,-2,-9,14,-5,-7,-13,-4,3,-9,-6,-11,-10,-3,2,-4,-10,-3,-15,-10
2020-03-16,-30,10,-16,-8,-1,6,-1,1,-8,23,-19,30,-10,-18,-44,8,3,17,-38,-4,-7,-15,-9,18,6,13,-35,6,-2,-3,18,-21,4
2020-03-17,-9,1,-2,-1,2,0,0,5,-15,9,-8,5,-6,-7,-13,4,7,4,-19,-5,3,11,-11,1,8,11,-8,23,-2,-1,14,-14,1
2020-03-18,-17,-14,-15,-6,-12,-6,-11,2,-14,5,-16,-4,-15,-17,-20,-2,-7,-5,-31,-11,-6,-5,-15,-8,-8,-8,-16,16,-10,-14,-3,-25,-11
2020-03-19,-22,-21,-24,-20,-6,-7,-14,-9,-25,0,-21,-15,-19,-26,-25,-12,-10,-13,-37,-14,-10,-10,-23,-13,-15,-18,-19,10,-18,-24,-5,-34,-12
2020-03-20,-26,-35,-27,-19,-16,-12,-20,-21,-33,-20,-26,-25,-24,-32,-28,-22,-21,-20,-37,-14,-16,-16,-29,-25,-26,-23,-22,-2,-26,-41,-15,-39,-17
2020-03-21,-29,-42,-35,-20,-24,-20,-25,-22,-39,-23,-28,-23,-38,-36,-31,-23,-24,-23,-42,-16,-17,-15,-34,-24,-29,-28,-24,-11,-30,-32,-19,-46,-28
2020-03-22,-33,-50,-40,-37,-36,-29,-35,-37,-44,-31,-34,-35,-43,-47,-32,-31,-32,-33,-47,-24,-23,-22,-44,-34,-38,-44,-27,-26,-39,-40,-27,-56,-43
2020-03-23,-37,-42,-38,-39,-35,-28,-35,-34,-43,-35,-28,-31,-43,-49,-39,-29,-29,-29,-46,-25,-26,-20,-47,-32,-39,-38,-34,-24,-35,-42,-26,-48,-39
2020-03-24,-41,-43,-43,-40,-35,-31,-35,-34,-43,-26,-33,-31,-46,-51,-44,-29,-30,-29,-50,-28,-29,-23,-52,-36,-39,-36,-39,-26,-38,-43,-27,-54,-40
2020-03-25,-44,-48,-45,-47,-41,-34,-43,-37,-39,-33,-35,-31,-48,-52,-47,-30,-29,-32,-54,-29,-33,-24,-55,-36,-44,-36,-41,-34,-40,-45,-32,-55,-44
2020-03-26,-46,-49,-45,-54,-44,-39,-47,-43,-45,-33,-38,-39,-50,-50,-49,-34,-36,-33,-55,-36,-34,-25,-62,-39,-47,-42,-43,-40,-42,-48,-33,-60,-46
2020-03-27,-47,-55,-50,-54,-48,-44,-50,-41,-50,-43,-40,-45,-53,-51,-50,-39,-40,-39,-52,-39,-37,-30,-65,-44,-53,-49,-44,-40,-49,-48,-42,-60,-48
2020-03-28,-43,-57,-52,-59,-46,-40,-48,-37,-49,-41,-37,-40,-49,-48,-44,-35,-42,-35,-50,-39,-31,-25,-70,-40,-50,-47,-39,-37,-46,-39,-40,-62,-44
2020-03-29,-47,-62,-56,-63,-51,-49,-55,-45,-53,-43,-45,-49,-53,-55,-46,-46,-43,-42,-56,-46,-37,-34,-74,-50,-56,-57,-41,-44,-53,-47,-45,-69,-54
2020-03-30,-47,-55,-47,-56,-49,-40,-49,-38,-49,-46,-38,-41,-50,-47,-51,-35,-38,-40,-49,-37,-36,-29,-70,-42,-49,-46,-45,-39,-44,-39,-37,-61,-48
2020-03-31,-48,-53,-48,-56,-47,-43,-47,-32,-49,-31,-41,-40,-52,-47,-53,-31,-38,-33,-51,-37,-36,-31,-71,-43,-47,-41,-47,-38,-42,-34,-35,-60,-45
2020-04-01,-50,-53,-49,-60,-46,-42,-49,-35,-44,-36,-42,-38,-52,-50,-56,-34,-39,-37,-53,-38,-37,-32,-72,-42,-46,-40,-49,-39,-44,-37,-37,-65,-48
2020-04-02,-52,-55,-50,-59,-48,-47,-52,-41,-48,-36,-44,-45,-53,-53,-57,-38,-40,-38,-55,-43,-38,-31,-74,-47,-50,-45,-49,-44,-45,-38,-38,-68,-51
2020-04-03,-52,-61,-51,-59,-51,-45,-52,-41,-50,-46,-44,-54,-55,-55,-57,-42,-45,-43,-50,-46,-39,-32,-77,-50,-56,-51,-46,-48,-49,-38,-46,-69,-51
2020-04-04,-48,-61,-54,-65,-50,-45,-52,-38,-54,-45,-42,-49,-51,-52,-52,-38,-48,-39,-49,-45,-33,-28,-80,-43,-52,-50,-39,-42,-51,-34,-42,-71,-52
2020-04-05,-51,-68,-55,-69,-55,-51,-59,-50,-60,-47,-50,-58,-55,-59,-53,-50,-51,-48,-57,-53,-39,-36,-83,-50,-58,-62,-42,-49,-55,-40,-48,-77,-57
2020-04-06,-54,-60,-55,-67,-52,-47,-57,-47,-52,-45,-45,-50,-52,-56,-59,-40,-44,-44,-54,-45,-38,-38,-79,-46,-57,-54,-49,-48,-49,-38,-44,-70,-55
2020-04-07,-56,-59,-58,-64,-53,-48,-55,-41,-52,-38,-48,-47,-52,-56,-62,-37,-44,-41,-58,-43,-38,-34,-80,-44,-53,-49,-52,-47,-48,-38,-42,-71,-47
2020-04-08,-55,-54,-58,-67,-48,-46,-55,-42,-51,-39,-45,-44,-48,-55,-61,-36,-41,-41,-58,-43,-36,-32,-80,-41,-53,-44,-50,-50,-48,-36,-41,-71,-46
2020-04-09,-62,-60,-61,-70,-54,-54,-58,-53,-61,-49,-54,-53,-52,-62,-69,-45,-44,-52,-67,-52,-39,-37,-82,-51,-60,-54,-57,-53,-54,-40,-45,-75,-55
2020-04-10,-72,-77,-74,-78,-67,-66,-69,-63,-73,-65,-65,-71,-66,-73,-76,-65,-60,-63,-72,-65,-57,-56,-86,-67,-73,-69,-67,-68,-66,-61,-62,-82,-71
2020-04-11,-63,-74,-67,-78,-62,-61,-66,-58,-69,-60,-57,-62,-61,-66,-67,-55,-58,-60,-64,-59,-49,-47,-87,-59,-72,-66,-58,-59,-61,-51,-56,-79,-64
