date,total,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region
2020-02-29,9.876836889573772,12.132516422739213,10.779298576271676,11.224575850097127,10.571281457198614,5.622510402704876,13.011524862886978
2020-03-01,-3.558811938703358,-5.237970478729158,-8.42380076809481,0.9260728565615559,-2.937378435026251,-0.18639217671304611,-2.802601139471388
2020-03-02,2.009738197443479,-1.5344715279096433,4.881865744241973,-5.476241139419675,2.9084292388860447,2.133902188039564,1.9836467058836078
2020-03-03,-2.0033732308640855,-4.364013950615206,-0.3031255376096459,-4.481428854329839,-3.1554623792824708,2.8016473571919716,-4.147888316343766
2020-03-04,-0.6794601823502499,-1.3306444828489636,3.517800824998566,-9.316101994152229,0.2528229796244671,-3.2445689729894673,0.13713623769984046
2020-03-05,2.2683149647313376,0.9451037042200371,4.124051900217858,-3.153421283734865,0.8771606430482465,2.0887453204853723,3.9914371155876105
2020-03-06,-4.467410917911772,-2.3651628813644874,-3.730181774916152,-9.778183708147893,-4.848990353484531,-7.098275265752498,-1.5374710592827185
2020-03-07,-1.5466868787926062,-0.6182112734623437,-3.542900391807008,1.1437477135677774,-4.128155369593397,-7.7391184712556,5.135848676674307
2020-03-08,5.200973316186866,0.31439360252284043,3.9000865348502214,4.72201685417882,4.926188209858414,1.5872158553090319,11.209438809732735
2020-03-09,-1.0629494187587047,0.07307007275760205,-6.032584345613622,-0.2940519998154219,-0.20264437298144305,-0.9338824523973238,3.2333248156272245
2020-03-10,-6.521703881411004,-4.64956410336531,-13.129969544677689,-7.354164138240892,-4.249741993382263,-2.2155688634035275,-0.49253155793604675
2020-03-11,-13.401437132912893,-9.595254291064059,-20.479315779780343,-12.683379277752856,-8.730112582681503,-9.671255931925373,-8.571980604392845
2020-03-12,-12.425210383798422,-13.979458656520181,-20.308445651892104,-15.115991276225891,-6.388122614938824,-10.198726576334971,-4.059039486284715
2020-03-13,-37.61774810503766,-36.113922012119055,-43.81322460004388,-38.128424404638,-32.63732372846842,-37.92312168577651,-33.00251162617358
2020-03-14,-68.79415003172916,-70.47608517470718,-70.5819126012473,-67.49161695763513,-67.11581633145396,-72.63049793104496,-67.3850773627209
2020-03-15,-73.66573632743241,-76.26592699242138,-75.0061939352123,-73.152117954082,-73.1382141018215,-78.235714214261,-71.22102902570518
2020-03-16,-64.8303670944119,-67.27830804323634,-68.54112474613012,-65.94593453003392,-63.787623748534905,-67.20975225570987,-62.09374323344327
2020-03-17,-70.48723114184781,-72.10862443184413,-74.3700164534137,-70.78060766985632,-69.93160814269133,-70.95681147829173,-67.55794628207492
2020-03-18,-69.48872700970547,-71.7163535149349,-72.68544937338558,-70.37771824153778,-68.95216033994768,-71.38724289668062,-65.4197798717408
2020-03-19,-68.47033235700252,-71.31446811476809,-72.06954461862458,-68.61913452835594,-68.07692964330879,-69.60883094257831,-64.67518804591982
2020-03-20,-70.59225309040781,-73.49791726256431,-72.04154894795363,-70.0664813845903,-70.80104900010218,-73.51538037822391,-67.87084868358725
2020-03-21,-81.14457205821972,-85.7775352791445,-81.96456614887576,-80.00314766406728,-81.75252989994218,-83.54500889733467,-79.91759114181126
2020-03-22,-80.02592918189131,-82.76051043291613,-81.12083455693043,-79.07802952179084,-80.62254627726946,-82.43626368121686,-79.53225762883775
2020-03-23,-68.4265732117692,-70.49242979624506,-72.02127622091604,-70.12662838455255,-67.10230670658851,-70.4101251455612,-64.59213370477768
2020-03-24,-68.76312081965463,-70.67798932311634,-71.92087795368226,-69.97673824178949,-67.80577217279551,-69.91339960246508,-65.09721998870033
2020-03-25,-69.38847878608003,-71.29620059657869,-74.00800347059963,-69.19960081370587,-68.76206061862699,-68.90553675003217,-65.21407551519104
2020-03-26,-68.27063153057406,-71.24716673196502,-72.80515499970276,-67.74938981461618,-67.82603661009367,-69.2398897268164,-63.72875485616038
2020-03-27,-67.72881375050318,-70.84431988347247,-69.80286066223142,-66.8729621008806,-67.56838876444583,-70.01620353498207,-64.30240925893294
2020-03-28,-71.98777201293983,-78.8224180906117,-71.51252730906799,-68.70696824258653,-74.05976351228473,-76.26802773019749,-69.8506323968596
2020-03-29,-81.05705376775306,-80.97990813361248,-83.02454016255534,-80.46713880663319,-81.57014996425889,-82.53042055398943,-78.37239409730601
2020-03-30,-60.58732124842374,-62.45760613788612,-65.61219837317577,-63.88566110275575,-58.17340964374426,-60.74271235130001,-55.773887321416815
2020-03-31,-61.573891068229734,-63.23830217840155,-67.3035230288831,-61.70318424698284,-59.177946749809415,-60.20563386272994,-57.3644745291044
2020-04-01,-61.29940188449339,-63.3123336994849,-66.81504684407265,-61.73468981839164,-59.08337937575141,-59.934692657404796,-56.71066302964812
2020-04-02,-60.039138501773486,-62.94025319741659,-65.87284772080191,-61.333709818643335,-57.30493375953808,-59.96255540547014,-54.79848168707287
2020-04-03,-61.49273774434246,-65.36310297832655,-64.97409015546886,-60.38663324780925,-59.69517238751443,-61.1443202372075,-58.48087939375944
2020-04-04,-67.51638299091593,-73.56714154201889,-67.89336284888148,-63.77300481711218,-67.17853958975773,-70.31500748837257,-66.70036192237453
2020-04-05,-76.73126335623279,-77.83693355670982,-78.71899908695337,-76.11459638079386,-78.25450203300059,-78.14251812590446,-73.05691626420797
2020-04-06,-50.51953536146817,-54.20261081292859,-56.87561838792961,-50.81371311096108,-47.21517393147156,-49.87431903698053,-44.751803653330334
2020-04-07,-61.08776674572856,-63.523852331151645,-66.81408147611847,-60.78379439041709,-56.15082580674853,-62.6815753028821,-56.16984406407128
2020-04-08,-70.20637699153208,-72.20669216107144,-76.7641289797574,-70.20968852735756,-65.66256668521561,-71.19604679788733,-65.0769392774912
2020-04-09,-69.6542161407697,-72.59800162965492,-75.63657920928584,-71.33816081236348,-64.69469856092805,-71.69757626306367,-64.74279041661694
2020-04-10,-91.62448953119102,-93.92004114998835,-90.27928033814926,-92.7667229417698,-93.47984925633969,-94.3528727934432,-92.14203126015337
2020-04-11,-79.00037394178655,-83.9998173248181,-78.99992116161708,-76.99961652309547,-77.99974910696679,-84.99963650322925,-77.99961531031913
