date,US,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-15,3,7,2,3,-3,1,-1,8,20,-2,2,4,4,0,3,7,0,2,9,13,13,1,3,5,5,8,1,2,-1,2,18,2,2,-4,4,5,1,2,-1,3,2,5,3,4,3,0,8,4,8,0,3,-5
2020-02-16,2,3,6,3,0,1,3,3,4,3,2,-5,4,0,3,5,-4,6,3,8,17,-1,-1,4,-3,4,3,8,0,1,11,0,7,0,-1,4,0,1,3,0,7,11,1,3,4,-8,12,-1,5,3,-1,-12
2020-02-17,-9,7,-6,1,-1,-12,-4,-1,6,-39,0,0,-2,0,-13,2,-7,2,3,4,12,-18,-26,-2,-6,1,-2,-2,1,-2,13,-15,7,-22,6,1,-1,2,-3,-11,-13,8,4,4,2,-7,19,-6,-7,3,-7,6
2020-02-18,1,-1,4,6,-2,3,1,0,7,-3,6,1,6,9,2,4,-1,0,0,3,4,4,-4,2,6,0,2,1,6,4,12,2,4,-5,6,6,3,2,5,2,-3,2,0,-1,3,2,9,4,7,5,3,5
2020-02-19,1,4,4,7,0,1,-2,4,5,-3,5,3,2,7,2,5,0,4,3,11,13,1,-2,4,3,2,7,3,-2,8,15,2,3,-3,3,9,3,5,6,2,0,1,1,4,0,1,10,3,7,2,0,-2
2020-02-20,0,-1,1,5,1,1,0,3,6,-1,4,-1,2,7,0,5,-2,-2,2,1,8,0,-2,5,0,0,3,5,3,4,17,1,5,-3,-7,5,2,2,4,1,1,-1,6,-1,-1,4,7,1,5,2,0,6
2020-02-21,1,9,5,4,2,0,3,1,1,-3,0,4,2,7,5,6,4,4,3,16,4,-1,-3,9,8,9,9,4,7,2,12,0,3,-6,-5,7,6,3,7,1,-1,5,4,3,2,4,11,-2,4,-2,4,16
2020-02-22,5,13,3,-6,2,-4,5,10,16,5,2,4,0,9,10,12,3,6,10,41,10,6,5,17,5,12,8,5,8,-2,27,6,-1,3,4,9,8,4,9,6,5,7,3,5,3,4,25,6,9,3,9,14
2020-02-23,5,16,1,7,1,3,-3,14,11,7,4,3,2,9,7,8,3,1,6,33,33,6,6,18,6,12,6,8,7,5,28,5,1,3,4,11,6,0,3,4,8,12,6,2,3,7,7,7,3,9,8,0
2020-02-24,1,2,4,5,-1,1,3,3,3,2,3,-2,4,4,0,1,-3,-4,-3,14,8,-1,1,6,5,2,-3,3,4,4,13,1,5,-1,3,-3,2,1,3,2,3,-1,-1,0,2,5,7,1,3,4,-1,-3
