date,total,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-29,-4.1313420650533015,-5.032818808586349,-11.585573139083886,-3.705977956287734,0.6842215233034001,-2.2612170492292742,-5.693002080168784,-5.429516901976579
2020-03-01,-9.668929409942054,-19.959571787502043,-11.106317308343018,3.6056097114050383,-2.2646768729056204,-12.899323723310864,-7.166810426995321,-17.71676022760728
2020-03-02,-1.7160959347144484,-2.3075035439670923,-3.259715771840718,2.6717070899727156,-0.44811691314941,-0.774702680582975,-1.338351527894907,-2.9743889564523522
2020-03-03,-1.0240961388180203,-4.8153277759180995,-2.4952348110637876,1.9242026376082562,2.6222067111388054,-2.7128887227794953,0.1297332913711385,-1.2299813890141067
2020-03-04,-2.972182820262385,-6.598181898974939,-0.36283741031798467,4.833925851159937,1.3684430466068003,-5.659236432942544,0.5151174804442264,-6.726218979545697
2020-03-05,0.2725096785217851,-0.6095472362939115,0.05917936371496541,7.1041599616018685,2.4699433298966404,2.576624905653585,-0.6410350867750374,-1.9716446951256004
2020-03-06,-2.4104791971868686,-4.639808696922669,-1.9470980815727146,0.784784086178032,-1.4330104297917692,-1.0586650407474603,-3.6277625520914687,-3.6764066360311585
2020-03-07,-6.558505528272117,-9.10314440681189,-9.079666639481333,-5.709519301755646,-5.897796792418041,-4.339478483855927,-5.155944410742674,-7.3943928315965985
2020-03-08,-10.65330110582687,-20.305840405302806,-13.575357974811658,7.488426956295617,0.6292910629818596,-12.899323723310864,-8.619632506100055,-17.71676022760728
2020-03-09,-3.7015235925160255,-5.4840173105691665,-2.2371739791263976,-3.2786959995014007,-2.1259051836722547,-2.324108041748925,-1.6951180791655376,-4.730400121900165
2020-03-10,-5.114124783220789,-9.140346820294617,-7.485704433191363,-4.570100750325421,-2.6781008637466885,-7.235322821238043,-4.853551371296711,-4.526370190231945
2020-03-11,-6.050032658727095,-9.304419002833823,-7.317867877081707,-0.9664028150133864,-3.119471930891699,-6.675021251517515,-5.408733544664377,-6.515420282371895
2020-03-12,-6.4433046437658215,-20.260052819477913,-4.526736247443092,-1.1461097677557375,-2.312861487222761,-5.510584996077915,-5.246566930450454,-2.4986414380601034
2020-03-13,-33.39633917394529,-43.23397400711886,-31.95491609907428,-34.92336977894567,-37.47606563129947,-29.26718097346309,-31.599595661473042,-28.366929267388233
2020-03-14,-46.76440870982738,-53.63252552956006,-49.65439661736656,-50.58750719697175,-49.743868436443535,-42.23416015842389,-44.11504259374759,-41.41130736314319
2020-03-15,-70.74208246430982,-78.14986992271517,-68.8343313820365,-68.50754040474223,-64.91045763890679,-71.88821602526544,-65.66316993773763,-72.6733343339184
