date,NO,Agder,Innlandet,Møre og Romsdal,Nordland,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-15,7,-2,20,19,13,-1,4,32,13,13,23,5
2020-02-16,-5,-18,-1,2,14,-13,-5,15,8,-8,2,-6
2020-02-17,-5,-11,2,-1,7,-8,0,15,-3,-2,1,-5
2020-02-18,-5,-10,2,-6,7,-10,-1,16,-6,-1,5,-6
2020-02-19,-1,-1,4,4,9,-10,3,24,3,10,10,-5
2020-02-20,-9,-18,-1,6,12,-15,0,23,-4,-7,5,-12
2020-02-21,-4,-8,5,-2,17,-11,0,15,-2,0,4,-7
2020-02-22,2,-6,17,9,24,-5,-4,23,10,-8,13,2
2020-02-23,7,-1,14,12,16,1,-5,29,9,9,15,9
2020-02-24,3,10,4,7,15,-3,-3,30,3,13,7,3
2020-02-25,-1,-2,-2,10,22,-5,-8,29,3,-2,9,0
2020-02-26,1,7,0,6,10,-4,-6,30,2,5,8,1
2020-02-27,0,7,-3,11,12,-3,-9,35,1,6,3,-1
2020-02-28,1,12,-1,8,22,-2,-12,27,4,9,4,-1
2020-02-29,2,-12,5,12,30,-8,-9,35,18,2,17,1
2020-03-01,-1,-13,1,17,19,-12,-5,29,6,-4,14,-2
2020-03-02,0,5,1,4,13,-5,3,16,0,-1,8,0
2020-03-03,-2,-11,-4,11,8,-6,0,25,-3,-4,14,-2
2020-03-04,1,4,-2,12,6,-5,5,25,2,-2,10,-1
2020-03-05,3,7,2,12,9,1,6,20,4,5,12,3
2020-03-06,2,8,5,10,7,-5,4,16,4,8,10,-2
2020-03-07,1,1,14,20,17,-8,-2,36,6,5,13,-5
2020-03-08,-9,-23,-3,5,20,-19,-12,31,3,-12,2,-10
2020-03-09,-2,5,1,1,8,-8,-1,17,-3,2,9,-4
2020-03-10,-7,-11,-8,4,7,-11,-7,4,-3,-10,5,-8
2020-03-11,-9,-7,-10,-1,4,-15,-11,5,-9,-4,-2,-11
2020-03-12,-20,-16,-15,-4,1,-32,-17,8,-22,-9,-6,-23
2020-03-13,-39,-27,-40,-29,-17,-52,-33,-15,-41,-28,-26,-43
2020-03-14,-37,-17,-37,-25,-13,-55,-38,-16,-38,-23,-26,-33
2020-03-15,-54,-57,-59,-40,-31,-70,-49,-29,-45,-60,-43,-52
2020-03-16,-49,-30,-44,-35,-44,-61,-45,-40,-48,-42,-45,-52
2020-03-17,-53,-40,-49,-48,-49,-64,-54,-45,-58,-40,-50,-54
2020-03-18,-55,-40,-51,-52,-54,-64,-55,-51,-60,-46,-53,-56
2020-03-19,-56,-40,-51,-46,-54,-65,-58,-56,-62,-41,-53,-58
2020-03-20,-55,-36,-54,-52,-58,-64,-50,-59,-64,-48,-53,-59
2020-03-21,-42,-21,-43,-26,-46,-57,-38,-57,-40,-42,-34,-43
2020-03-22,-57,-39,-56,-55,-70,-66,-54,-69,-58,-55,-64,-59
2020-03-23,-58,-39,-51,-44,-62,-67,-57,-61,-58,-51,-53,-63
2020-03-24,-59,-40,-53,-48,-59,-68,-59,-61,-62,-49,-50,-63
2020-03-25,-58,-38,-51,-47,-62,-67,-58,-59,-61,-47,-57,-62
2020-03-26,-56,-34,-51,-40,-65,-66,-54,-61,-56,-43,-53,-62
2020-03-27,-57,-38,-54,-51,-65,-65,-55,-63,-61,-47,-56,-63
2020-03-28,-50,-25,-47,-53,-62,-60,-49,-67,-62,-43,-40,-50
2020-03-29,-57,-39,-54,-67,-71,-64,-58,-71,-68,-52,-66,-59
2020-03-30,-53,-33,-49,-41,-61,-62,-47,-60,-58,-41,-43,-60
2020-03-31,-52,-32,-46,-42,-59,-61,-53,-60,-62,-33,-45,-55
2020-04-01,-54,-33,-47,-38,-55,-63,-56,-56,-60,-39,-50,-58
2020-04-02,-58,-41,-53,-43,-59,-66,-58,-55,-59,-47,-56,-63
2020-04-03,-53,-31,-51,-41,-55,-61,-53,-60,-60,-43,-55,-59
2020-04-04,-46,-32,-37,-30,-50,-57,-44,-56,-52,-41,-38,-47
2020-04-05,-52,-23,-53,-44,-66,-67,-43,-63,-53,-51,-52,-59
2020-04-06,-46,-19,-42,-22,-62,-57,-46,-56,-51,-30,-44,-52
2020-04-07,-44,-22,-45,-16,-54,-57,-40,-52,-53,-26,-34,-50
2020-04-08,-52,-22,-49,-36,-64,-62,-48,-54,-60,-34,-49,-57
2020-04-09,-58,-32,-58,-55,-74,-66,-56,-71,-72,-38,-57,-61
2020-04-10,-58,-38,-57,-54,-81,-67,-56,-77,-73,-44,-55,-61
2020-04-11,-55,-40,-50,-26,-57,-66,-57,-56,-41,-52,-54,-61
