date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-02-15,0,9,0,0,6,56,0,13,6,1,12,0,2,7,6,0,-1,-2,-5
2020-02-16,-8,7,0,0,0,14,0,3,9,-3,6,0,-18,-3,5,3,-12,-8,-13
2020-02-17,-10,-4,0,0,0,21,0,6,6,8,6,-3,-12,4,-4,5,-12,-8,-14
2020-02-18,-9,-6,0,0,4,31,0,2,2,10,9,-1,-14,3,2,7,-9,-5,-15
2020-02-19,-8,5,0,0,0,19,0,2,5,9,3,0,-13,6,3,13,-9,-1,-14
2020-02-20,-10,6,0,0,2,22,0,0,5,1,6,-3,-14,7,7,0,-11,-4,-16
2020-02-21,-12,10,-4,7,-1,16,0,6,4,11,1,-1,-19,3,2,3,-16,-10,-19
2020-02-22,-7,27,0,0,0,70,0,14,7,4,4,-5,-5,0,13,0,-9,-10,-15
2020-02-23,1,18,0,0,9,27,0,10,11,10,7,3,3,7,6,5,5,2,-2
2020-02-24,-4,3,0,0,-9,25,0,4,-3,-3,-6,-13,-4,-4,-6,-11,1,-5,-3
2020-02-25,-1,-4,0,0,-11,29,0,8,9,1,-3,-13,0,3,-9,-5,3,-4,-1
2020-02-26,-3,9,0,0,0,15,0,5,8,1,-1,-13,1,4,0,-3,2,-1,-4
2020-02-27,-3,7,0,0,-6,17,0,4,0,2,-6,-15,-3,-1,-5,-9,0,1,-3
2020-02-28,-5,-9,-13,-2,-11,18,0,10,3,1,-10,-14,-1,-8,-7,-24,2,-16,-5
2020-02-29,4,16,0,0,1,51,0,16,16,1,24,-2,13,-1,2,0,10,2,0
2020-03-01,-4,8,0,0,-2,17,0,-1,-1,4,10,1,-11,0,1,2,-8,-2,-6
2020-03-02,-4,0,0,0,5,26,0,-8,-10,1,1,1,-3,6,-4,-2,-1,-4,-5
2020-03-03,-7,-8,0,0,-9,18,0,-12,-18,0,2,-3,-5,-4,-2,-2,-4,-9,-8
2020-03-04,-8,2,0,0,0,19,0,-13,-20,5,0,-1,-7,-4,0,-8,-6,-7,-10
2020-03-05,-6,-3,0,0,-1,12,0,-15,-19,1,0,-1,-10,-5,-3,-8,-4,-3,-8
2020-03-06,-6,-5,2,-15,-1,18,0,-14,-20,-1,-3,1,-2,-4,-5,-3,1,-8,-8
2020-03-07,1,5,0,0,-4,62,0,4,-2,-4,8,7,8,4,0,0,13,-2,-4
2020-03-08,0,9,0,0,5,20,0,3,7,1,8,6,-8,7,6,-2,3,5,-4
2020-03-09,-7,-10,0,0,8,20,0,2,-1,-4,-3,-5,-3,-8,-6,-7,-4,-3,-9
2020-03-10,-9,-17,0,0,-1,15,0,0,-2,-4,-3,-6,-8,-11,-3,-5,-8,-8,-11
2020-03-11,-10,-7,0,0,-4,16,0,-1,-10,-8,-4,-7,-8,-9,-3,-5,-7,-8,-13
2020-03-12,-13,-7,0,0,-7,11,0,-5,-7,-9,-5,-11,-8,-8,-5,-8,-10,-7,-17
2020-03-13,-26,-26,-20,-22,-19,5,0,-19,-21,-17,-19,-22,-14,-17,-24,-17,-18,-26,-30
2020-03-14,-27,-30,0,0,-25,41,0,-14,-17,-20,-19,-27,-17,-38,-22,-19,-18,-32,-34
2020-03-15,-32,-31,-42,0,-30,-12,0,-30,-20,-31,-19,-26,-27,-26,-28,-26,-28,-34,-37
2020-03-16,-34,-42,0,0,-26,-4,0,-28,-25,-27,-24,-33,-18,-24,-23,-21,-26,-32,-39
2020-03-17,-44,-47,0,-44,-42,-18,0,-39,-35,-36,-35,-44,-36,-38,-33,-34,-38,-43,-48
2020-03-18,-47,-51,0,-44,-49,-15,0,-42,-38,-34,-40,-45,-37,-44,-38,-43,-43,-48,-51
2020-03-19,-48,-54,0,-54,-52,-31,0,-45,-45,-44,-43,-48,-33,-47,-38,-43,-41,-48,-53
2020-03-20,-52,-62,-51,-57,-57,-36,-41,-46,-46,-42,-47,-49,-42,-50,-44,-56,-47,-56,-56
2020-03-21,-51,-57,0,0,-60,-22,0,-32,-34,-38,-39,-47,-31,-55,-39,-43,-40,-58,-58
2020-03-22,-52,-62,-53,0,-59,-62,0,-50,-44,-50,-40,-46,-40,-52,-48,-53,-40,-56,-57
2020-03-23,-54,-59,0,0,-51,-49,0,-46,-46,-52,-44,-50,-40,-49,-42,-48,-49,-53,-59
2020-03-24,-54,-58,0,-50,-54,-46,0,-48,-44,-45,-45,-50,-41,-46,-42,-53,-47,-53,-60
2020-03-25,-54,-58,0,-56,-55,-50,0,-49,-46,-48,-46,-50,-38,-52,-43,-45,-44,-55,-60
2020-03-26,-55,-60,0,-54,-46,-58,0,-47,-46,-53,-44,-53,-39,-52,-45,-49,-44,-48,-61
2020-03-27,-58,-69,-62,-61,-64,-60,-54,-50,-52,-57,-53,-53,-43,-57,-53,-56,-48,-59,-63
2020-03-28,-54,-63,0,0,-60,-62,0,-44,-40,-46,-46,-51,-31,-61,-41,-50,-37,-56,-61
