date,AF
2020-02-15,-2
2020-02-16,10
2020-02-17,9
2020-02-18,9
2020-02-19,0
2020-02-20,4
2020-02-21,7
2020-02-22,7
2020-02-23,7
2020-02-24,9
2020-02-25,9
2020-02-26,3
2020-02-27,3
2020-02-28,4
2020-02-29,4
2020-03-01,10
2020-03-02,8
2020-03-03,7
2020-03-04,-1
2020-03-05,4
2020-03-06,4
2020-03-07,4
2020-03-08,7
2020-03-09,-9
2020-03-10,6
2020-03-11,0
2020-03-12,-2
2020-03-13,4
2020-03-14,5
2020-03-15,6
2020-03-16,4
2020-03-17,-3
2020-03-18,-6
2020-03-19,-6
2020-03-20,-19
2020-03-21,-24
2020-03-22,-14
2020-03-23,-17
2020-03-24,-18
2020-03-25,-23
2020-03-26,-23
2020-03-27,-16
2020-03-28,-32
2020-03-29,-34
2020-03-30,-39
2020-03-31,-42
2020-04-01,-38
2020-04-02,-35
2020-04-03,-32
2020-04-04,-38
2020-04-05,-36
2020-04-06,-40
2020-04-07,-46
2020-04-08,-52
2020-04-09,-51
2020-04-10,-48
2020-04-11,-50
