date,AW
2020-02-15,3
2020-02-16,-9
2020-02-17,-1
2020-02-18,-5
2020-02-19,-8
2020-02-20,-1
2020-02-21,9
2020-02-22,10
2020-02-23,-15
2020-02-24,-30
2020-02-25,3
2020-02-26,-1
2020-02-27,2
2020-02-28,6
2020-02-29,13
2020-03-01,6
2020-03-02,6
2020-03-03,2
2020-03-04,3
2020-03-05,1
2020-03-06,5
2020-03-07,8
2020-03-08,0
2020-03-09,3
2020-03-10,-1
2020-03-11,-1
2020-03-12,3
2020-03-13,40
2020-03-14,15
2020-03-15,-13
2020-03-16,1
2020-03-17,8
2020-03-18,-59
2020-03-19,-5
2020-03-20,-7
2020-03-21,-19
2020-03-22,-36
2020-03-23,-19
2020-03-24,-21
2020-03-25,-20
2020-03-26,-15
2020-03-27,-3
2020-03-28,-3
2020-03-29,-66
2020-03-30,-43
2020-03-31,-38
2020-04-01,-36
2020-04-02,-36
2020-04-03,-31
2020-04-04,-32
2020-04-05,-50
2020-04-06,-31
2020-04-07,-29
2020-04-08,-21
2020-04-09,-11
2020-04-10,-96
2020-04-11,-18
