date,SK,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region,Trnava Region,Žilina Region
2020-02-15,12,21,9,12,13,14,22,17,8
2020-02-16,17,19,16,16,15,25,17,25,20
2020-02-17,5,10,3,10,-7,24,6,3,10
2020-02-18,3,12,1,8,-7,25,8,-2,4
2020-02-19,0,4,-4,4,-6,18,7,-6,4
2020-02-20,1,12,-3,5,-4,18,8,-4,6
2020-02-21,-5,0,-9,4,-14,3,8,-8,2
2020-02-22,10,14,6,12,16,3,22,17,5
2020-02-23,6,1,5,12,12,0,15,12,3
2020-02-24,5,-5,10,5,3,9,-3,7,-5
2020-02-25,7,-4,12,5,11,12,3,11,-3
2020-02-26,0,-9,4,1,2,-1,-6,2,-9
2020-02-27,4,-6,7,7,7,5,-1,2,-4
2020-02-28,-2,-10,2,4,2,2,-4,-1,-15
2020-02-29,11,14,14,11,15,-9,18,8,3
2020-03-01,8,13,5,12,15,3,28,12,9
2020-03-02,4,2,10,-7,1,-2,5,3,4
2020-03-03,-1,-4,2,-8,-3,-3,0,1,-2
2020-03-04,-1,-2,5,-15,3,-14,4,1,-1
2020-03-05,3,7,6,-7,8,0,7,3,2
2020-03-06,-5,-2,-3,-17,-2,-14,2,1,-3
2020-03-07,-2,-4,-2,-4,2,-14,3,0,-7
2020-03-08,8,10,9,4,9,-2,12,10,1
2020-03-09,-2,5,-9,9,2,7,7,2,1
2020-03-10,-11,2,-17,-14,-1,0,-3,-10,-2
2020-03-11,-22,-8,-28,-24,-8,-11,-17,-19,-17
2020-03-12,-24,-18,-30,-27,-8,-14,-15,-24,-26
2020-03-13,-44,-39,-51,-44,-35,-40,-34,-37,-46
2020-03-14,-50,-41,-54,-50,-39,-63,-37,-42,-55
2020-03-15,-56,-51,-61,-55,-50,-64,-52,-51,-60
2020-03-16,-58,-49,-64,-55,-53,-52,-51,-54,-59
2020-03-17,-60,-53,-66,-59,-53,-57,-50,-57,-60
2020-03-18,-61,-55,-66,-60,-54,-58,-49,-60,-61
2020-03-19,-60,-53,-66,-60,-52,-59,-53,-57,-62
2020-03-20,-63,-62,-67,-62,-56,-63,-56,-61,-67
2020-03-21,-70,-64,-72,-70,-61,-80,-64,-66,-72
2020-03-22,-69,-67,-71,-71,-65,-76,-68,-64,-74
2020-03-23,-66,-59,-70,-65,-57,-63,-59,-63,-68
2020-03-24,-63,-57,-67,-64,-56,-62,-56,-62,-64
2020-03-25,-65,-59,-71,-64,-57,-63,-55,-61,-64
2020-03-26,-63,-57,-70,-60,-57,-61,-54,-62,-64
2020-03-27,-62,-57,-67,-60,-56,-62,-55,-63,-65
2020-03-28,-54,-55,-57,-50,-41,-68,-43,-52,-60
2020-03-29,-61,-59,-64,-60,-58,-71,-57,-62,-68
2020-03-30,-62,-55,-68,-62,-56,-57,-51,-59,-64
2020-03-31,-60,-52,-66,-58,-52,-55,-52,-57,-62
2020-04-01,-60,-51,-66,-58,-51,-56,-54,-55,-60
2020-04-02,-59,-53,-65,-59,-51,-57,-52,-55,-61
2020-04-03,-60,-57,-66,-59,-54,-59,-55,-54,-64
2020-04-04,-52,-42,-56,-52,-40,-66,-44,-50,-56
2020-04-05,-55,-52,-58,-55,-50,-62,-52,-53,-58
2020-04-06,-54,-49,-60,-51,-49,-48,-45,-55,-53
2020-04-07,-46,-38,-53,-43,-38,-41,-36,-44,-46
2020-04-08,-59,-52,-66,-56,-51,-57,-51,-51,-57
2020-04-09,-61,-52,-68,-60,-54,-61,-55,-57,-59
2020-04-10,-80,-83,-79,-81,-80,-85,-82,-82,-83
2020-04-11,-56,-49,-59,-54,-48,-73,-54,-66,-58
