date,US,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-15,6,5,5,3,3,1,2,4,7,-2,2,5,2,3,4,9,8,4,8,8,4,2,2,2,6,8,5,4,9,3,3,3,5,3,6,7,5,4,2,5,1,7,7,7,3,2,10,2,2,7,7,4
2020-02-16,7,0,15,7,5,5,7,5,6,6,4,-2,4,11,8,8,10,15,3,5,14,5,6,9,9,3,13,9,11,6,10,4,10,7,3,9,6,5,14,9,9,3,15,6,8,5,22,4,15,7,12,5
2020-02-17,6,3,3,9,1,9,5,11,12,-10,5,4,5,10,2,5,-2,7,3,2,15,8,11,1,4,2,4,6,7,5,21,14,8,7,5,9,5,3,10,8,13,6,3,6,6,18,19,8,12,5,-6,2
2020-02-18,0,-4,-2,2,-3,0,-5,-1,4,-5,3,-4,0,1,1,1,-3,3,-3,3,-9,2,-4,-2,-2,-2,0,-2,5,2,-12,1,4,-2,1,-2,0,0,4,1,0,-1,-5,-3,-1,1,-5,1,5,3,-1,2
2020-02-19,2,4,0,4,4,0,-6,2,2,-2,3,2,-1,2,1,4,-3,4,2,4,6,2,3,2,0,3,9,1,-6,1,7,2,2,3,2,0,3,5,5,1,4,1,-5,3,-2,3,6,2,4,4,-1,0
2020-02-20,1,-7,3,5,2,2,2,2,3,1,2,-6,2,5,0,3,-1,-2,0,0,8,1,3,2,-2,-5,1,6,1,4,7,1,4,2,-10,4,2,2,4,1,4,-7,1,-5,-1,4,7,-2,4,2,0,5
2020-02-21,2,3,-1,2,5,1,3,1,1,-3,0,2,1,4,2,4,9,9,2,8,3,-1,0,-1,2,1,10,4,8,2,1,-1,3,-1,-8,4,2,3,4,0,2,2,4,0,2,4,4,-3,3,0,2,3
2020-02-22,7,5,5,-2,3,0,3,10,8,0,3,5,3,6,11,13,10,5,9,9,6,5,5,9,5,6,7,8,11,0,4,7,2,8,3,12,9,3,6,9,8,5,7,6,3,3,9,4,4,8,11,7
2020-02-23,7,3,12,6,0,4,-4,9,6,3,5,2,2,12,11,9,14,13,4,17,14,6,9,12,11,4,12,10,11,5,6,6,2,9,3,11,7,0,10,11,12,5,13,3,4,11,12,5,10,8,15,8
2020-02-24,2,-2,4,5,3,2,0,4,2,-2,3,-5,1,5,1,1,1,0,-2,16,6,1,4,1,4,2,-2,1,4,3,5,1,4,3,-1,1,2,0,5,3,7,-1,-5,-2,2,5,8,1,3,4,2,-2
2020-02-25,4,7,6,5,7,3,-3,1,1,3,3,5,1,6,-1,2,-2,2,5,16,4,1,2,4,5,10,2,4,2,5,4,-1,4,-1,5,1,4,4,8,4,4,6,-9,8,6,7,4,4,6,10,0,-1
