date,total,Harju County,Ida-Viru County,Lääne-Viru County,Pärnu County
2020-02-29,0.9987363048284196,-1.6012886812211868,1.2079044579134235,-0.4741075443546443,4.5773835381337875
2020-03-01,0.3587617471462088,-0.30640136861880113,2.6023024782125304,1.1378581064511464,1.5846281146844512
2020-03-02,2.1486538699171414,0.7152617936228702,-1.6947004746022063,0.2844645266127866,2.9869367155618787
2020-03-03,1.4820463441061724,-0.2868853578787501,0.33760116678023633,3.337979291543897,2.5621710397774295
2020-03-04,-0.7018570424519718,-2.355582496324159,-5.534555105261268,-0.5689290532255732,1.1482250231250857
2020-03-05,5.885102633863464,4.328651182143318,6.489975971021767,3.501404380565682,5.297933531530696
2020-03-06,9.498569750862288,8.588996326696456,9.843034584992047,5.326390702222062,12.437488109441913
2020-03-07,13.745744844807142,10.853829373079378,16.603665315783807,11.616290284906787,13.731180829753455
2020-03-08,24.261067320114364,23.928580768376566,34.19909383256225,10.99995047724575,22.977107662924546
2020-03-09,3.3291210160947324,1.1436382293669902,0.33855754402323984,0.2844645266127866,7.604081424259965
2020-03-10,5.691621953633959,4.354997796642387,4.728329089409316,1.820616666869701,6.954325710160465
2020-03-11,4.326290675739107,2.5907504257417737,0.3462085619672679,0.8533935798383598,1.4129762320044343
2020-03-12,18.158984328260726,17.732247358410365,0.9735920333775655,3.7930788375764886,17.307746611244433
2020-03-13,21.264075083037085,24.99317915424635,26.247773434231124,3.6316200932087086,24.572403408736
2020-03-14,-3.9307127667678508,-5.204920064371609,-2.7170677473729508,-3.3189712932218445,-4.5773835381337875
2020-03-15,-3.744281989866546,-4.499416276118764,1.8582409831558053,-5.310441462250684,-6.338512458737805
2020-03-16,-5.1237130744177986,-5.861633825774326,-9.148704706571506,-5.974192024347187,-10.499858382918331
2020-03-17,-14.747614440003654,-16.98868734921442,-8.44289830123492,-8.800047774892333,-14.274260232582886
2020-03-18,-19.807878384467646,-23.174286953273594,-17.641334624442607,-10.810307459503893,-22.605680142775125
2020-03-19,-15.090709735309416,-17.219952076484024,-12.655740056665348,-7.00259027839203,-15.541768767400866
2020-03-20,-15.6805516471022,-16.876470287459128,-11.930806106468692,-5.992326091711903,-17.822702259284483
2020-03-21,-16.373792141041925,-20.373739412076272,-12.075219070162222,-8.949271485857413,-18.307594583239332
2020-03-22,-13.336067129179485,-14.725805903905503,-6.690815192052503,-4.836115435156707,-15.449639225849443
2020-03-23,-17.306729348140475,-21.44419260116807,-12.876663199799157,-11.094771986116678,-14.8454633902017
2020-03-24,-18.628194560882076,-21.248056693230556,-11.48226517950005,-10.620664441762035,-18.666414902965922
2020-03-25,-17.235446992266446,-21.007033960590928,-7.609893722578869,-10.810307459503893,-14.834795759074694
2020-03-26,-21.61657024944711,-24.852663876917983,-13.9535439754211,-10.21210171920757,-20.13272929060539
2020-03-27,-22.830720267081663,-25.336660943271248,-17.598297648507447,-13.074007121742818,-24.875946003531737
2020-03-28,-23.582709955423063,-26.77889413696102,-18.717259022821548,-13.275885172887378,-25.827304743131155
2020-03-29,-27.261192847559734,-28.991033954345802,-21.56056856627096,-12.13802706643623,-30.900248236346798
2020-03-30,-28.07349837548685,-32.261917354378355,-22.02536790637066,-13.086242155145518,-27.155909710767443
2020-03-31,-24.884592103364106,-29.000791959715826,-19.58660593671173,-11.531082016566552,-21.59516453965322
2020-04-01,-23.666525472769447,-26.376864315715967,-23.868306853638412,-11.663701039342252,-23.31168336645339
2020-04-02,-27.135077910244146,-29.69361034098764,-29.204891869597954,-11.962803909490411,-24.371657986618693
2020-04-03,-24.355066031157037,-27.225810782908187,-21.177061291826554,-12.589849371378813,-23.661775624348792
2020-04-04,-22.301977517466618,-25.711368349480228,-20.226422312281073,-12.801777628532733,-23.538612974064257
2020-04-05,-21.696469153833387,-23.622179399757762,-16.3559636098459,-10.99995047724575,-25.749721971298378
2020-04-06,-21.391756665536718,-26.01874551863603,-17.28173678107329,NA,-21.000686550484573
2020-04-07,-15.876382295107772,-20.52986749799668,-8.780499468015154,NA,-12.810855198887149
2020-04-08,-11.552441587144731,-16.250006342703486,-3.459216487943668,NA,-7.417882771861302
2020-04-09,-6.160048863663288,-11.821823505785911,-4.867960166887827,NA,1.7659778438435652
2020-04-10,-22.892602751851424,-25.12198482513069,-16.70312854905617,NA,-25.178518813679563
2020-04-11,-19.999792419513106,-25.00000975800537,-16.000191275448596,NA,-17.000324877857057
