date,total,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-02-29,0.5490858796654718,-0.8839857999247325,0.13052290425562876,0.10003750597108982,1.0026268429486358,1.3419197056859882,0.15699148425170759,0.5401409239854309,1.0421395258126451,-0.3611925390490114
2020-03-01,1.5650157010729526,-0.4214462029911427,-1.8829848393348794,4.772663148950828,0.8558067272181998,3.179347118787636,0.4129351767590369,2.4806472064516085,0.26681865410416516,5.207757305644995
2020-03-02,2.748654572363573,3.6907601722262884,1.7457438444190343,3.719841241449262,1.5184290916331942,2.728184459117347,1.3796221343331878,2.319652821701101,2.607282283039614,0.8995921414920417
2020-03-03,1.933491834710428,2.6596026823681407,1.2677996803065115,1.1373196067198659,2.449577720344644,1.5154438055591766,1.6783816861818919,1.1545869486249423,3.314931756968052,1.006110048450195
2020-03-04,1.522282145093114,2.498096087571082,1.0489818702308986,0.9974613459447499,2.3684402879672977,2.5026031292822024,1.475719951966051,1.991948275226695,1.4665358633189076,1.011920116102458
2020-03-05,1.4908366982400254,3.0800932250350406,0.833043241866807,1.1849102649002872,1.8449106647706113,2.0446923101724,1.747838524669011,1.6261385489296836,1.1620145733087193,0.11232797461041641
2020-03-06,1.1328423802202465,3.558879047480761,-0.932854874532876,0.40209249972845806,0.9794447194122512,1.5289401244382022,1.6346143632995978,1.6337595848942046,0.47273305020629264,1.0709891372337978
2020-03-07,-0.04515243650699915,1.1783291797915623,-0.7840971527709462,-0.14957063999561002,-0.3757435856522344,1.4065092317498973,-1.80016901941958,0.1800469746618103,-0.22621581543614006,NA
2020-03-08,1.2287913077976198,NA,0.1881065384860532,2.4960814596669985,-0.34193632216167347,4.207959421924812,-1.7535473059145277,4.341132611290315,0.5336373082083303,1.0961660970602702
2020-03-09,1.3787619004815812,3.1498564287047763,1.0912098686665432,2.3183449199319552,-0.5206318577546385,1.2985386807176913,-0.49951835898270597,1.3279655168177966,1.069208084924662,-0.11232797461041641
2020-03-10,0.946588579628875,1.2414027611915972,0.17467035716562082,0.2165860566170197,1.0934234934661422,1.0286123031371763,-0.7364327806716464,0.9411979416183522,2.2534575460753947,-0.3350472346138282
2020-03-11,-1.1288109126749786,0.8916310825186762,-0.8301640601552858,-0.9974613459447499,NA,-0.39524933860003963,-1.297796269814116,0.19909956457311298,-2.8953690907317924,-1.011920116102458
2020-03-12,-2.867179718194446,-0.2714075320849989,-2.5442369057475864,-2.520362407718234,-2.152073801627708,-1.988778989102151,-3.199771888112076,-1.7490277538575858,-5.20199702077722,-3.530584443358433
2020-03-13,-5.666630781628393,-4.0529554351143675,-5.271781713795359,-5.761383353597134,-4.195964360085621,-4.280261130205308,-5.376720469735754,-3.974370255497738,-9.736947406294027,-4.401126246589159
2020-03-14,-9.518294874377231,-10.603051297475576,-10.846837234537618,-8.568260948319944,-6.26496888570795,-10.035477109332714,-11.82098303238312,-7.803940827669577,-10.24254942113634,-9.94199409763056
2020-03-15,-18.49153533663426,-23.19961003132195,-20.70995405097215,-16.813099668597435,-15.229689241590695,-17.110440270273422,-26.504919859392835,-16.302348557606134,-16.594960204174274,-13.704981247079512
2020-03-16,-43.77689978055378,-43.203491938375464,-40.58206622389162,-42.7228137151097,-40.13405137236591,-42.673432249925256,-46.20877832829352,-38.773925728492074,-51.88946108348212,-37.16506608230846
2020-03-17,-55.47460600990278,-54.78227242690309,-51.23119964757146,-56.00254982329136,-53.10831317822919,-54.31497130586203,-54.79668824863238,-50.921857055938666,-63.081343542047044,-46.18519611244664
2020-03-18,-58.003948747803776,-57.623450570877395,-53.72361128251166,-57.737180752071616,-56.40500432946589,-56.54089989812421,-57.389426397637855,-53.056699755500134,-65.56005016930459,-50.20963630624742
2020-03-19,-60.09869928432492,-58.87727691628415,-56.455954726745304,-59.44850197072269,-59.069982614336105,-58.73983585262833,-60.91840467090805,-55.23155289387533,-67.01401848732148,-53.85254872421627
2020-03-20,-59.9584042137496,-58.12708356175343,-56.63350426562244,-59.27950657228609,-59.726809447867005,-58.59619645884442,-61.75569258691717,-55.21535819245072,-66.33827124377505,-53.5872223014296
2020-03-21,-53.93377911410143,-52.424658406995725,-51.48840654713402,-50.65977001409752,-59.518170336039546,-51.45567974906272,-62.78612760173292,-48.62601997162669,-55.42674171887031,-52.42327208175959
2020-03-22,-54.45383842744098,-53.570495135763025,-52.1506183407839,-49.410758046341975,-60.74682288346793,-49.83515746080256,-66.52062199984172,-48.46407295738062,-54.582782715127784,-57.28726705131236
2020-03-23,-60.37122649038502,-60.03458156894237,-56.37821682053423,-59.66994421694995,-59.35492954947083,-58.78032480926541,-61.26949471750733,-55.406836721059314,-68.10739492859615,-53.58334892299476
2020-03-24,-61.769339435083886,-61.78535128295546,-57.87635103776243,-61.79986898000433,-60.23874800929549,-60.393134915308984,-62.09917092518908,-56.96629120529944,-68.67583466994851,-54.851880360405495
2020-03-25,-62.10475753485017,-61.81593241333123,-58.181544299183685,-61.69983147403323,-60.39619326498011,-60.39795502919435,-61.84513015976359,-56.90341765859214,-69.80691374712922,-54.707597013707634
2020-03-26,-62.276498052278576,-61.232023955218786,-59.044339085402875,-61.51529626884385,-60.914893279106714,-60.974440649884166,-61.92600456074174,-57.62455818673495,-69.58263140020108,-55.42223533493597
2020-03-27,-60.94692005584926,-59.21462501074192,-58.266000296054976,-60.21675116706378,-60.33244242525505,-59.14665346455325,-61.53590450896477,-56.51188693591487,-67.6849320595979,-55.13270029693154
