date,total,Auckland,Bay Of Plenty,Northland,Otago,Southland,Taranaki,Tasman,Waikato
2020-02-29,-2.177925117880698,-2.5697315750611507,-5.9621029830361225,-18.83728566325283,-0.36766199367820906,9.92408295278674,-38.73594931230978,-14.237332999940355,-14.31967581730614
2020-03-01,-1.377347118748125,-8.399786006787217,-12.148812282361678,-30.981216921623517,-0.3772365247635791,10.825835331912376,-23.533793688445925,-9.060381930611864,-9.969954156290864
2020-03-02,-10.405909623995734,-15.042754025226781,-22.74449578187089,-42.59389913410528,-1.715755970498309,7.301502472771024,-33.202242267694096,-27.02710973155803,-23.31608422843384
2020-03-03,-5.894436009645441,5.9369660527274855,1.0083389944057564,-26.78971948555764,-16.46340620129376,-10.10577932768519,-35.39774794843327,-19.55970941810232,-7.567323985601915
2020-03-04,-17.46030133178316,-12.836136694467749,-31.17726824409078,-28.93581220162157,-13.370832660719243,6.675659403676365,-21.48363507367903,-15.834141599960546,-28.95842092127977
2020-03-05,-14.905350502888124,-11.456880466773757,-15.482543479032085,-44.72656678402762,-11.770928516353912,10.69509085050397,-33.4556434024484,-28.0297792419362,-23.997470144841227
2020-03-06,-8.938718080495258,0.8495139614707402,-15.317194999380712,-34.13131279841977,-2.867572060068323,0.8863706754305313,-20.341895621238884,-16.478988212551084,-22.891299214256033
2020-03-07,2.3439768671997796,-5.866654806483309,1.2482376556340455,-36.93139802223865,-2.2040570558521804,9.92408295278674,-29.177467263238004,-14.949151812651571,5.241577980375012
2020-03-08,-6.047652841142757,-4.914081895038228,-2.3664903792878227,-31.782885156936047,-24.509842125438734,-13.53301518225118,-22.438909540167895,-15.332806844771461,-12.701264134330062
2020-03-09,-18.257670601460294,-29.36602173614671,-27.25000290948106,-34.67886371033778,3.430554487888081,5.21535890912216,-57.181639461028716,-30.405378854788285,-36.453666001761015
2020-03-10,-10.835077188660991,1.578631953345287,-1.0083389944057564,-35.975341526297754,-22.189933243453574,-9.1876838883835,-41.15999412967641,-14.902271272567097,-17.730449607616173
2020-03-11,-14.21226494051283,-11.657219360181823,-21.616685342630326,-28.93581220162157,-13.80934618442919,4.768328145483118,-17.577432675674007,-22.353406908850644,-22.82210346534019
2020-03-12,-15.126752835313564,-8.8621065300366,-25.282069270162154,-33.91747067345003,-9.63102081877371,2.916755563184633,-22.81088328137327,-32.70156857321157,-21.311329614010983
2020-03-13,-11.690203588536066,-3.8237759943751004,-26.80461336313691,-39.141739269123086,-12.083058229736974,0.8863706754305313,55.41548136332608,-23.541685088134695,-26.248254088742634
2020-03-14,0.34654278118764703,-3.511709641181767,-14.28209440133196,-43.128024979881694,4.224283114865256,5.413398344196661,47.79145401466169,-26.339209561747058,-16.621395520826155
2020-03-15,-7.666456851412831,-10.247141764271207,-13.56908881855784,-32.31701100271246,-10.369217165455739,-0.901752379125638,42.689007014476914,-17.423296234252657,-17.754475909323062
2020-03-16,-19.535547107089744,-26.0960672019141,-31.112275778100646,-42.217038348844724,-23.524622876754158,-13.560894520198561,-17.523883756631587,-33.783647978018536,-29.422609070256872
2020-03-17,-22.221253661294007,-10.371390404894479,-20.416236264930202,-47.07403549221551,-22.42833906747929,-13.781045154334779,-51.86212809258271,-23.285277236244095,-28.97379775437218
2020-03-18,-21.593947052755258,-17.157870419092706,-31.593028872115905,-31.710965159748923,-29.153489701843196,-15.259611422026921,-16.601121133847048,-27.010845054385868,-30.109761299073913
2020-03-19,-33.970016562391876,-35.44746295238962,-40.764612749194235,-38.38993556519363,-33.17383530459007,-26.2508000686617,-50.944146623284105,-40.48756521009851,-41.01097490952382
2020-03-20,-37.46352075700345,-36.78145029551545,-42.2957587861971,-49.78781671940984,-33.176707663915685,-33.676317527474524,-45.59499210322533,-33.74346465794613,-43.64521862866718
2020-03-21,-37.88145776857466,-34.12888629337211,-44.094520859629924,-46.59840457748462,-54.73472185573483,-39.69537045466601,-53.82813840599724,-48.4065495015108,-38.99564872234993
