date,NA
2020-02-15,-5
2020-02-16,-12
2020-02-17,-13
2020-02-18,-15
2020-02-19,-13
2020-02-20,-4
2020-02-21,-2
2020-02-22,-1
2020-02-23,-6
2020-02-24,-9
2020-02-25,-1
2020-02-26,0
2020-02-27,2
2020-02-28,13
2020-02-29,20
2020-03-01,23
2020-03-02,7
2020-03-03,2
2020-03-04,4
2020-03-05,2
2020-03-06,5
2020-03-07,8
2020-03-08,2
2020-03-09,-7
2020-03-10,-9
2020-03-11,-7
2020-03-12,-7
2020-03-13,-4
2020-03-14,-1
2020-03-15,-8
2020-03-16,-8
2020-03-17,-19
2020-03-18,-19
2020-03-19,-20
2020-03-20,-9
2020-03-21,-24
2020-03-22,-21
2020-03-23,-17
2020-03-24,-16
2020-03-25,-1
2020-03-26,1
2020-03-27,-9
2020-03-28,-51
2020-03-29,-56
2020-03-30,-50
2020-03-31,-46
2020-04-01,-46
2020-04-02,-50
2020-04-03,-51
2020-04-04,-54
2020-04-05,-56
2020-04-06,-51
2020-04-07,-52
2020-04-08,-52
2020-04-09,-48
2020-04-10,-71
2020-04-11,-55
