date,VE
2020-02-15,8
2020-02-16,5
2020-02-17,6
2020-02-18,3
2020-02-19,5
2020-02-20,6
2020-02-21,8
2020-02-22,8
2020-02-23,17
2020-02-24,-17
2020-02-25,-31
2020-02-26,-2
2020-02-27,1
2020-02-28,7
2020-02-29,10
2020-03-01,8
2020-03-02,7
2020-03-03,6
2020-03-04,7
2020-03-05,4
2020-03-06,7
2020-03-07,8
2020-03-08,9
2020-03-09,5
2020-03-10,-1
2020-03-11,7
2020-03-12,5
2020-03-13,4
2020-03-14,-6
2020-03-15,-21
2020-03-16,-35
2020-03-17,-51
2020-03-18,-57
2020-03-19,-62
2020-03-20,-63
2020-03-21,-63
2020-03-22,-64
2020-03-23,-63
2020-03-24,-65
2020-03-25,-64
2020-03-26,-64
2020-03-27,-64
2020-03-28,-61
2020-03-29,-62
2020-03-30,-62
2020-03-31,-62
2020-04-01,-63
2020-04-02,-64
2020-04-03,-65
2020-04-04,-63
2020-04-05,-65
2020-04-06,-62
2020-04-07,-62
2020-04-08,-59
2020-04-09,-68
2020-04-10,-75
2020-04-11,-66
