date,DE,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
2020-02-15,45,52,37,46,48,93,51,42,50,51,61,36,36,33,34,31,47
2020-02-16,9,64,33,-2,-14,7,-2,35,-5,-26,-9,32,20,4,-5,-40,5
2020-02-17,7,-11,10,15,9,14,23,5,14,45,2,1,-6,11,12,19,5
2020-02-18,10,16,25,3,8,4,13,6,7,23,9,8,2,22,11,6,13
2020-02-19,6,3,1,8,-2,1,-9,5,5,18,12,7,-19,-7,6,2,5
2020-02-20,14,18,11,11,10,-2,-8,0,2,16,23,21,-3,6,4,-3,2
2020-02-21,15,16,13,11,0,19,15,17,22,26,19,23,14,-5,8,26,9
2020-02-22,26,57,50,28,25,10,0,25,13,-6,10,37,30,17,13,-10,24
2020-02-23,-24,5,0,-24,-42,-28,-26,-12,-32,-35,-43,-1,-24,-44,-45,-44,-25
2020-02-24,17,44,22,10,5,-7,0,1,4,26,19,54,2,7,10,10,1
2020-02-25,15,18,34,11,11,4,7,12,17,24,17,12,-3,14,8,5,13
2020-02-26,0,-7,-1,6,0,5,4,-6,9,14,-9,0,-25,-7,1,19,-1
2020-02-27,-3,-22,-9,9,9,-5,10,-12,6,25,-19,-7,-14,5,2,20,0
2020-02-28,9,8,-5,9,5,25,16,15,26,31,7,12,13,-3,5,40,5
2020-02-29,9,3,3,27,34,27,11,6,27,16,5,-3,-8,8,12,15,12
2020-03-01,21,40,29,11,23,26,1,37,29,26,20,16,-2,39,10,13,19
2020-03-02,9,-2,10,6,11,12,20,13,22,42,-5,-2,-8,29,16,42,21
2020-03-03,8,9,5,-8,3,12,-2,12,18,27,24,11,2,5,8,29,4
2020-03-04,14,11,7,9,17,4,-7,8,14,33,19,11,-20,22,16,25,12
2020-03-05,0,-24,-14,12,26,12,11,-17,14,52,-15,-16,-22,29,11,41,11
2020-03-06,-11,-21,-14,-15,-7,-13,-22,-8,-11,12,-9,0,-9,-3,-8,2,-7
2020-03-07,19,7,-11,5,19,42,29,31,44,48,46,30,27,-2,11,76,7
2020-03-08,31,54,47,18,43,25,9,53,36,45,14,30,9,48,29,14,33
2020-03-09,7,5,0,-3,5,23,4,18,17,36,4,12,9,8,10,35,11
2020-03-10,-13,-17,-14,-17,0,-21,-24,-13,-9,19,-15,-9,-20,6,-9,-3,-9
2020-03-11,17,20,11,14,30,47,37,3,36,62,2,7,-17,3,20,69,-2
2020-03-12,4,-7,5,-8,10,-7,-22,0,3,21,11,2,-11,9,4,9,8
2020-03-13,-3,8,-2,-22,-4,-7,-24,7,-2,13,-4,9,6,-8,-6,23,0
2020-03-14,33,10,3,25,78,43,40,27,57,91,44,21,24,57,48,110,37
2020-03-15,75,111,75,23,66,60,36,127,82,52,90,107,89,90,65,43,81
2020-03-16,40,49,39,10,39,42,37,48,46,60,46,39,37,58,45,52,39
2020-03-17,31,36,11,-1,45,8,14,35,36,54,67,33,22,50,30,46,28
2020-03-18,44,54,41,16,65,11,-2,39,36,19,67,29,2,93,62,-4,63
2020-03-19,15,27,16,-27,22,-15,-1,23,1,19,12,22,22,54,20,37,33
2020-03-20,-14,3,-3,-43,-15,-15,-4,-2,-16,-13,-21,6,15,-30,-21,13,-22
2020-03-21,-31,-64,-72,-26,25,-20,-2,-35,-13,-16,8,-48,-54,-20,-13,2,-31
2020-03-22,1,-7,-36,-12,29,36,16,32,23,-19,32,8,-5,15,8,-14,14
2020-03-23,-5,-9,-24,-28,-1,0,16,2,1,4,12,-5,-1,4,-1,17,3
2020-03-24,9,5,-9,-23,10,8,24,16,14,17,40,8,8,29,12,31,19
2020-03-25,11,2,-19,-15,12,31,21,16,20,12,44,8,-11,23,19,27,19
2020-03-26,3,-13,-33,-16,19,12,27,5,14,21,27,2,8,14,8,36,7
2020-03-27,21,12,-3,-10,21,42,51,36,31,13,51,23,24,32,23,42,27
2020-03-28,33,36,6,6,76,14,45,54,31,17,66,40,42,46,38,35,40
2020-03-29,-49,-55,-50,-63,-53,-22,-34,-26,-42,-50,-50,-38,-29,-50,-56,-27,-50
2020-03-30,-13,2,-21,-51,-22,-31,-20,13,-25,-22,0,7,18,7,-16,3,0
2020-03-31,7,13,-13,-36,-3,18,22,16,21,13,47,15,12,4,7,47,4
2020-04-01,20,31,6,-17,11,-13,-18,36,10,-18,60,27,2,38,32,-16,39
2020-04-02,6,20,-2,-28,0,-12,-7,21,-5,-7,8,20,25,34,12,1,30
2020-04-03,-13,-10,-25,-32,-8,-4,-5,-9,-1,-18,-1,-9,-8,-15,-7,3,-14
2020-04-04,21,20,-10,5,41,20,28,38,28,-4,64,24,27,17,17,6,19
2020-04-05,61,69,21,33,70,111,80,96,89,23,107,71,54,63,47,37,77
2020-04-06,49,49,22,13,37,86,113,57,68,46,76,39,35,65,48,78,54
2020-04-07,50,59,37,11,46,53,81,56,56,45,81,49,33,82,47,73,61
2020-04-08,57,52,27,24,54,71,68,60,67,42,102,44,7,73,67,51,67
2020-04-09,37,35,8,-1,47,38,41,39,43,28,68,34,27,56,42,38,51
2020-04-10,72,81,39,16,64,66,90,103,76,39,134,93,67,71,63,73,83
2020-04-11,35,30,5,10,69,31,45,54,36,13,77,35,28,54,39,26,51
