date,NL,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-15,11,18,4,10,15,9,27,10,3,17,8,3,17
2020-02-16,-31,-38,-30,-48,-21,-39,-16,-24,-44,-31,-34,-22,-27
2020-02-17,8,52,3,21,12,2,18,6,5,14,-2,2,20
2020-02-18,21,45,30,32,21,3,27,14,24,15,13,12,37
2020-02-19,20,49,27,30,22,3,21,14,16,24,26,12,32
2020-02-20,-5,18,3,6,0,-9,4,-7,-13,-4,-7,-4,20
2020-02-21,22,37,21,32,24,13,42,14,12,23,14,6,68
2020-02-22,-2,3,0,11,-2,-10,4,-3,-8,0,-8,-23,44
2020-02-23,-26,-35,-21,-21,-37,-22,6,-38,-24,-42,-29,-37,19
2020-02-24,4,48,-3,10,9,-9,87,5,-9,4,-17,-23,71
2020-02-25,35,60,37,37,36,8,117,29,27,25,17,9,102
2020-02-26,9,51,16,26,18,11,19,3,8,19,-3,-12,52
2020-02-27,-9,24,-4,10,-3,5,4,-17,-12,-3,-17,-17,25
2020-02-28,11,24,10,29,18,21,19,5,3,19,-1,-1,32
2020-02-29,-6,14,-2,14,-2,19,-2,-13,-11,9,-15,-22,5
2020-03-01,2,-2,9,12,4,21,0,-3,3,0,2,11,-12
2020-03-02,-12,3,-16,1,-6,1,-8,-13,-19,-3,-15,-16,-8
2020-03-03,20,16,33,37,17,22,20,13,16,21,19,24,24
2020-03-04,21,19,43,35,20,16,12,13,23,26,28,20,20
2020-03-05,-11,4,-1,17,-8,15,-16,-18,-13,0,-14,-7,-13
2020-03-06,10,4,5,31,11,4,1,5,6,5,10,10,16
2020-03-07,39,47,67,72,37,57,32,28,30,45,41,31,42
2020-03-08,-5,-17,-7,9,-13,2,-14,-21,-8,-13,19,-9,-7
2020-03-09,6,14,1,24,7,25,8,-1,7,14,1,1,17
2020-03-10,-6,-8,2,1,-5,-7,-3,-15,-11,-7,-5,-5,9
2020-03-11,18,32,32,40,17,43,-6,3,21,31,20,21,18
2020-03-12,-5,-4,3,3,-2,0,5,-4,-12,3,-5,-5,12
2020-03-13,-2,1,-3,31,1,9,-1,-5,-12,7,-8,-20,34
2020-03-14,21,20,27,59,30,36,14,12,11,40,20,-4,35
2020-03-15,15,13,13,28,33,29,27,15,-5,32,14,15,28
2020-03-16,33,31,50,51,35,37,32,27,31,59,28,27,43
2020-03-17,51,33,72,46,61,25,66,63,31,68,49,47,67
2020-03-18,34,28,59,26,52,11,60,58,12,64,27,29,52
2020-03-19,3,9,23,31,10,18,18,14,-12,21,-3,-1,15
2020-03-20,-6,-8,17,20,0,9,-24,-20,-16,18,0,-11,-11
2020-03-21,24,11,55,39,26,27,-11,26,9,45,46,14,2
2020-03-22,15,11,52,29,26,48,-3,16,-5,34,22,30,-8
2020-03-23,4,13,30,19,11,17,2,0,-4,31,-2,-2,7
2020-03-24,25,25,61,34,28,24,30,21,13,50,21,16,26
2020-03-25,27,39,79,52,34,40,20,26,17,61,25,22,23
2020-03-26,11,19,49,32,17,26,9,13,-3,46,12,12,4
2020-03-27,22,1,55,40,32,37,9,26,2,48,24,23,1
2020-03-28,1,0,39,17,13,7,-4,11,-20,28,3,-9,-24
2020-03-29,-30,-27,-5,-11,-29,2,-59,-33,-35,-25,-22,-17,-46
2020-03-30,-8,-11,10,8,-3,-2,5,1,-19,1,-10,-19,-12
2020-03-31,41,43,86,63,46,54,39,39,32,65,32,38,13
2020-04-01,16,12,53,19,28,5,31,35,1,41,11,12,6
2020-04-02,-4,1,21,14,0,3,1,0,-14,20,-6,-2,-18
2020-04-03,1,-13,24,29,5,11,-14,4,-16,15,8,0,-23
2020-04-04,13,5,61,58,18,40,-4,16,-2,41,18,4,-26
2020-04-05,41,21,99,83,42,108,18,40,27,54,54,55,-5
2020-04-06,30,39,67,61,44,75,37,34,15,70,17,29,-8
2020-04-07,61,54,107,84,64,64,62,58,51,85,56,60,29
2020-04-08,65,65,128,99,76,86,48,64,58,106,62,63,23
2020-04-09,34,39,90,64,44,51,29,37,23,66,33,43,-4
2020-04-10,40,14,87,72,51,49,15,43,20,68,46,47,-12
2020-04-11,33,26,91,106,41,64,1,35,16,60,39,22,-16
