date,PE,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao Region,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima Region,Loreto,Madre de Dios,Metropolitan Municipality of Lima,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali
2020-02-15,1,-13,1,3,1,0,-2,4,-4,0,-8,0,-5,1,-1,3,-7,-1,1,4,-5,-1,-1,-5,8,5,-5
2020-02-16,0,-14,-2,-4,-3,-1,1,1,-3,0,-6,0,-4,-1,-3,4,-2,-3,1,5,0,-3,-8,-5,7,-6,6
2020-02-17,1,-2,0,6,2,4,4,1,-3,0,-4,3,-2,0,-2,1,-2,-1,1,1,0,-2,-2,-3,6,3,0
2020-02-18,0,-11,0,-1,1,4,4,0,-2,0,-6,4,-1,1,0,2,-2,-4,0,1,-4,-2,-1,-4,5,-1,-5
2020-02-19,-1,-2,1,2,2,3,3,-1,-2,0,-5,0,-5,0,-1,-3,-6,-2,-1,-3,0,-4,0,-5,6,-7,0
2020-02-20,-1,5,0,1,0,6,16,-1,-2,0,-6,0,-1,1,1,0,-4,-2,-1,-1,2,-2,0,-3,6,0,0
2020-02-21,-2,6,-1,4,-9,22,34,-2,-9,0,-6,3,-2,-2,-1,-2,2,-15,-1,-10,2,-3,-7,-4,-5,-2,-1
2020-02-22,-1,-1,-1,3,3,17,66,-2,-1,0,-7,0,-5,-4,-2,-1,-2,-1,-2,4,-4,-4,-1,-6,13,-2,-10
2020-02-23,-2,4,-6,-6,-4,6,82,-4,-5,0,-7,-1,-5,-3,-6,-1,-10,-6,-2,0,0,-7,1,-4,4,-5,5
2020-02-24,-1,5,0,3,-8,17,43,-2,-5,0,-2,1,0,-2,-3,-2,1,0,-2,4,0,0,-4,-2,5,4,0
2020-02-25,0,-13,-7,-2,-1,16,29,-1,-1,0,-3,2,1,0,0,1,8,-2,-1,-2,-21,-1,4,-3,2,-1,-1
2020-02-26,-1,2,3,-3,-3,8,21,-1,-1,0,-3,-3,4,0,0,-4,-5,-3,-1,-8,-8,-4,10,-4,-3,-6,0
2020-02-27,0,17,0,2,3,1,25,1,0,0,5,0,-2,-1,1,1,4,1,-1,-1,4,1,16,-1,-1,-6,-14
2020-02-28,2,6,1,0,1,8,21,2,-1,0,1,2,0,1,2,1,6,1,1,-2,6,0,16,1,-5,1,0
2020-02-29,5,0,-2,7,6,8,19,8,-1,0,-6,2,3,4,7,5,9,4,5,2,-9,4,6,0,1,2,0
2020-03-01,6,-8,2,-1,1,4,14,8,3,0,1,3,6,5,6,6,9,-1,8,4,0,5,-2,-2,-1,0,-11
2020-03-02,4,7,-2,7,1,1,12,3,-1,0,-2,1,3,0,2,2,5,2,5,-4,18,3,18,1,-5,6,1
2020-03-03,3,-7,-1,2,3,1,12,4,2,0,1,-1,3,2,5,1,0,-4,4,-3,12,1,9,-2,-10,-6,0
2020-03-04,3,2,0,5,2,3,9,5,1,0,-1,-2,2,1,2,-3,0,1,4,-2,12,-2,9,-1,-7,-6,2
2020-03-05,4,-2,0,6,1,-1,14,6,2,0,-3,2,4,4,4,1,0,2,5,-1,14,4,8,7,-7,-6,-2
2020-03-06,2,-2,-1,-1,3,0,9,1,3,0,2,2,3,3,1,-1,0,5,2,-3,14,-1,1,-1,-8,-9,-3
2020-03-07,3,11,2,5,6,6,8,2,-2,0,0,1,4,3,6,-4,9,6,2,0,5,-1,3,6,-1,-2,1
2020-03-08,5,1,2,4,4,0,11,5,2,0,7,-1,7,4,7,-1,5,-3,7,2,0,0,0,4,2,-2,-5
2020-03-09,2,3,1,6,2,0,10,2,1,0,-1,-1,3,1,1,0,-3,3,3,-4,18,-2,0,-2,-7,-6,-2
2020-03-10,2,-11,2,4,4,0,9,3,4,0,0,2,4,3,2,0,-1,-1,3,0,0,-1,-19,0,-9,-10,6
2020-03-11,0,0,0,7,-1,5,8,-1,6,0,-7,-1,1,0,-5,-2,-4,-4,2,-4,4,-6,-17,-1,-7,-8,5
2020-03-12,5,11,0,15,9,4,14,3,20,0,-2,7,15,1,0,0,-4,5,6,7,8,-1,17,2,-2,-7,2
2020-03-13,1,8,2,7,-5,11,9,-1,8,0,-7,9,9,1,-4,-2,-6,7,2,-3,20,-5,4,2,-7,-7,4
2020-03-14,0,3,-1,4,-9,10,6,-1,-3,0,-9,-1,0,0,-3,-5,-12,2,1,-6,11,-4,1,3,-4,-5,5
2020-03-15,12,9,5,8,5,5,14,9,6,0,3,11,11,8,5,7,6,-1,17,5,0,9,1,0,5,20,18
2020-03-16,1,16,15,23,6,44,22,-5,9,0,1,28,22,14,-8,14,5,8,-5,-1,18,8,29,23,-5,9,50
2020-03-17,-47,-46,-48,-52,-51,-42,-49,-41,-58,0,-56,-32,-54,-45,-55,-43,-43,-45,-46,-62,-47,-45,-61,-50,-58,-39,-29
2020-03-18,-54,-44,-54,-57,-55,-47,-52,-50,-59,0,-63,-44,-60,-53,-63,-51,-49,-51,-54,-62,-40,-55,-60,-54,-58,-47,-26
2020-03-19,-60,-45,-60,-58,-65,-48,-57,-57,-64,0,-66,-49,-62,-59,-64,-53,-59,-62,-61,-66,-47,-57,-67,-60,-61,-56,-37
2020-03-20,-61,-45,-60,-63,-62,-51,-58,-57,-64,0,-72,-49,-66,-59,-65,-54,-59,-59,-62,-68,-44,-56,-64,-59,-62,-42,-37
2020-03-21,-61,-45,-60,-56,-60,-46,-57,-59,-65,0,-64,-47,-70,-60,-65,-62,-59,-64,-62,-51,-45,-59,-58,-59,-59,-46,-58
2020-03-22,-61,-44,-61,-48,-60,-54,-55,-61,-64,0,-67,-55,-77,-56,-63,-63,-55,-55,-62,-83,0,-63,-61,-60,-59,-59,-47
2020-03-23,-61,-51,-60,-64,-63,-48,-55,-56,-64,0,-67,-53,-66,-56,-65,-56,-53,-65,-62,-61,-50,-59,-64,-62,-61,-49,-26
2020-03-24,-61,-56,-60,-62,-62,-55,-57,-56,-65,0,-67,-49,-59,-57,-65,-54,-54,-64,-62,-64,-54,-59,-68,-61,-62,-57,-27
2020-03-25,-60,-48,-58,-60,-63,-60,-59,-56,-64,0,-66,-52,-62,-58,-66,-56,-53,-63,-61,-63,-48,-60,-64,-57,-61,-59,-24
2020-03-26,-57,-47,-59,-61,-59,-46,-56,-53,-59,0,-62,-47,-62,-56,-63,-53,-51,-60,-58,-62,-37,-55,-63,-53,-59,-49,-28
2020-03-27,-56,-36,-56,-62,-57,-40,-53,-51,-60,0,-62,-47,-60,-54,-61,-51,-56,-70,-58,-60,-40,-55,-60,-50,-60,-44,-25
2020-03-28,-56,-47,-58,-52,-57,-34,-54,-52,-64,0,-61,-45,-60,-55,-62,-56,-56,-64,-57,-49,-38,-56,-57,-56,-56,-47,-24
2020-03-29,-57,-49,-58,-49,-58,-55,-56,-56,-64,0,-62,-50,-63,-54,-60,-59,-58,-45,-58,-81,0,-60,-60,-56,-58,-54,-24
2020-03-30,-57,-31,-57,-62,-58,-53,-54,-51,-62,0,-62,-48,-68,-55,-63,-52,-58,-57,-58,-56,-54,-55,-61,-56,-60,-52,-33
2020-03-31,-56,-37,-56,-59,-58,-51,-52,-52,-62,0,-61,-42,-57,-56,-62,-50,-58,-63,-57,-59,-56,-55,-63,-58,-64,-50,-31
2020-04-01,-57,-28,-59,-65,-57,-46,-55,-51,-61,0,-68,-48,-63,-56,-63,-51,-62,-58,-57,-58,-56,-56,-62,-58,-63,-52,-35
2020-04-02,-56,-24,-56,-57,-56,-46,-49,-51,-60,0,-60,-43,-58,-55,-62,-48,-54,-54,-56,-57,-45,-55,-61,-51,-60,-48,-29
2020-04-03,-57,-23,-57,-67,-59,-47,-52,-54,-59,0,-62,-49,-62,-57,-62,-55,-59,-62,-57,-63,-48,-54,-64,-53,-64,-54,-36
2020-04-04,-64,-40,-62,-59,-64,-48,-58,-61,-80,0,-66,-55,-68,-64,-71,-61,-65,-60,-65,-64,-53,-67,-66,-60,-63,-64,-38
2020-04-05,-95,-81,-93,-88,-94,-91,-89,-95,-94,0,-94,-95,-94,-94,-94,-94,-93,-94,-96,-96,0,-94,-93,-94,-94,-89,-93
2020-04-06,-53,0,-53,-59,-59,-41,-45,-49,-57,0,-58,-44,-57,-51,-59,-48,-53,-56,-53,-57,0,-51,-59,-48,-59,0,-26
2020-04-07,-60,0,-58,-63,-60,-47,-53,-56,-56,0,-62,-48,-61,-60,-67,-52,-62,-73,-61,-61,0,-60,-61,-54,-63,0,-33
2020-04-08,-39,0,-40,-40,-34,-22,-29,-37,-39,0,-41,-26,-41,-37,-52,-35,-45,-32,-40,-43,0,-40,-34,-33,-45,0,-7
2020-04-09,-95,0,-94,-88,-95,-91,-90,-95,-93,0,-93,-95,-94,-94,-95,-93,-93,-94,-96,-97,0,-94,-93,-94,-95,-87,-93
2020-04-10,-95,0,-94,-89,-95,-91,-91,-95,-94,0,-94,-95,-95,-94,-96,-93,-94,-92,-97,-96,0,-94,-92,-94,-95,-86,-92
2020-04-11,-51,0,-50,-50,-54,-34,-43,-48,-63,0,-53,-40,-52,-47,-59,-51,-58,-41,-51,-50,0,-52,-52,-40,-51,-47,-7
