date,NP
2020-02-15,2
2020-02-16,5
2020-02-17,6
2020-02-18,5
2020-02-19,4
2020-02-20,7
2020-02-21,-5
2020-02-22,1
2020-02-23,7
2020-02-24,4
2020-02-25,2
2020-02-26,2
2020-02-27,6
2020-02-28,8
2020-02-29,4
2020-03-01,7
2020-03-02,6
2020-03-03,2
2020-03-04,5
2020-03-05,7
2020-03-06,10
2020-03-07,-2
2020-03-08,5
2020-03-09,-6
2020-03-10,-5
2020-03-11,2
2020-03-12,2
2020-03-13,-2
2020-03-14,-5
2020-03-15,0
2020-03-16,0
2020-03-17,-2
2020-03-18,2
2020-03-19,4
2020-03-20,3
2020-03-21,-2
2020-03-22,-8
2020-03-23,-25
2020-03-24,-63
2020-03-25,-70
2020-03-26,-73
2020-03-27,-73
2020-03-28,-72
2020-03-29,-74
2020-03-30,-73
2020-03-31,-73
2020-04-01,-72
2020-04-02,-73
2020-04-03,-72
2020-04-04,-71
2020-04-05,-73
2020-04-06,-72
2020-04-07,-71
2020-04-08,-71
2020-04-09,-71
2020-04-10,-70
2020-04-11,-71
