date,GE
2020-02-15,4
2020-02-16,8
2020-02-17,4
2020-02-18,5
2020-02-19,5
2020-02-20,4
2020-02-21,12
2020-02-22,5
2020-02-23,8
2020-02-24,5
2020-02-25,3
2020-02-26,6
2020-02-27,5
2020-02-28,12
2020-02-29,8
2020-03-01,7
2020-03-02,-7
2020-03-03,-35
2020-03-04,-6
2020-03-05,-7
2020-03-06,-1
2020-03-07,3
2020-03-08,8
2020-03-09,-11
2020-03-10,-10
2020-03-11,-11
2020-03-12,-13
2020-03-13,-10
2020-03-14,-5
2020-03-15,1
2020-03-16,-24
2020-03-17,-30
2020-03-18,-37
2020-03-19,-37
2020-03-20,-37
2020-03-21,-33
2020-03-22,-32
2020-03-23,-52
2020-03-24,-55
2020-03-25,-55
2020-03-26,-55
2020-03-27,-51
2020-03-28,-41
2020-03-29,-38
2020-03-30,-58
2020-03-31,-62
2020-04-01,-62
2020-04-02,-64
2020-04-03,-60
2020-04-04,-52
2020-04-05,-43
2020-04-06,-62
2020-04-07,-64
2020-04-08,-63
2020-04-09,-70
2020-04-10,-59
2020-04-11,-50
