date,MT
2020-02-15,3
2020-02-16,12
2020-02-17,5
2020-02-18,4
2020-02-19,3
2020-02-20,3
2020-02-21,6
2020-02-22,3
2020-02-23,9
2020-02-24,10
2020-02-25,23
2020-02-26,15
2020-02-27,6
2020-02-28,7
2020-02-29,7
2020-03-01,10
2020-03-02,7
2020-03-03,4
2020-03-04,5
2020-03-05,5
2020-03-06,8
2020-03-07,14
2020-03-08,11
2020-03-09,12
2020-03-10,16
2020-03-11,17
2020-03-12,37
2020-03-13,25
2020-03-14,1
2020-03-15,-16
2020-03-16,-7
2020-03-17,-6
2020-03-18,-7
2020-03-19,-33
2020-03-20,-13
2020-03-21,-30
2020-03-22,-39
2020-03-23,-26
2020-03-24,-28
2020-03-25,-39
2020-03-26,-27
2020-03-27,-12
2020-03-28,-23
2020-03-29,-38
2020-03-30,-29
2020-03-31,-39
2020-04-01,-23
2020-04-02,-31
2020-04-03,-28
2020-04-04,-25
2020-04-05,-32
2020-04-06,-27
2020-04-07,-26
2020-04-08,-21
2020-04-09,-13
2020-04-10,-57
2020-04-11,-11
